Index,game_id,date,season,arena,away_name,home_name,pace,attendance,ref1,ref2,ref3,away_q1,away_q2,away_q3,away_q4,away_ot,away_final,away_ortg,away_drtg,home_q1,home_q2,home_q3,home_q4,home_ot,home_final,home_ortg,home_drtg
0,200904010BOS,"7:30 PM, April 1, 2009",2009,"TD Banknorth Garden, Boston, Massachusetts",Charlotte Bobcats,Boston Celtics,"18,624",81.1,Dick Bavetta, Kevin Fehr, Mark Lindsay,33,18,26,16,16,109,111.2,113.2,26,28,17,22,18,111,113.2,111.2
1,200904010DAL,"8:30 PM, April 1, 2009",2009,"American Airlines Center, Dallas, Texas",Miami Heat,Dallas Mavericks,"20,021",85.1,Jim Clark, Joe Crawford, Eric Dalen,27,20,26,23,0,96,112.9,115.2,26,20,25,27,0,98,115.2,112.9
2,200904010GSW,"10:30 PM, April 1, 2009",2009,"Oracle Arena, Oakland, California",Sacramento Kings,Golden State Warriors,"18,743",108.1,Bob Delaney, Joe Forte, Eli Roe,40,36,30,26,9,141,118.2,119.8,37,30,43,22,11,143,119.8,118.2
3,200904010LAC,"10:30 PM, April 1, 2009",2009,"STAPLES Center, Los Angeles, California",New Orleans Hornets,Los Angeles Clippers,"19,060",92.8,Ron Garretson, Olandis Poole, Leroy Richardson,29,22,27,26,0,104,112.1,105.6,25,23,21,29,0,98,105.6,112.1
4,200904010MEM,"8:00 PM, April 1, 2009",2009,"FedEx Forum, Memphis, Tennessee",Washington Wizards,Memphis Grizzlies,"10,013",92.3,Mike Callahan, Ed Malloy, Zach Zarba,27,23,23,34,0,107,115.9,121.3,27,30,31,24,0,112,121.3,115.9
5,200904010MIL,"8:00 PM, April 1, 2009",2009,"Bradley Center, Milwaukee, Wisconsin",Los Angeles Lakers,Milwaukee Bucks,"18,717",96.4,Bennie Adams, Tony Brothers, John Goble,22,33,25,24,0,104,107.9,101.7,31,26,24,17,0,98,101.7,107.9
6,200904010NJN,"7:30 PM, April 1, 2009",2009,"Izod Center, East Rutherford, New Jersey",Detroit Pistons,New Jersey Nets,"15,105",87.0,Steve Javie, Rodney Mott, Derek Richardson,21,27,27,23,0,98,112.6,127.6,32,27,27,25,0,111,127.6,112.6
7,200904010ORL,"7:00 PM, April 1, 2009",2009,"Amway Arena, Orlando, Florida",Toronto Raptors,Orlando Magic,"17,461",93.5,Tony Brown, Dan Crawford, Luis Grillo,32,21,27,19,0,99,105.8,101.6,28,24,21,22,0,95,101.6,105.8
8,200904010PHO,"10:00 PM, April 1, 2009",2009,"US Airways Center, Phoenix, Arizona",Houston Rockets,Phoenix Suns,"18,422",96.2,Marc Davis, Scott Foster, Scott Wall,30,26,32,21,0,109,113.3,118.5,33,34,21,26,0,114,118.5,113.3
9,200904020DEN,"10:30 PM, April 2, 2009",2009,"Pepsi Center, Denver, Colorado",Utah Jazz,Denver Nuggets,"17,969",102.6,Eric Lewis, Phil Robinson, Tom Washington,24,19,29,32,0,104,101.3,111.1,21,33,29,31,0,114,111.1,101.3
10,200904020PHI,"7:00 PM, April 2, 2009",2009,"Wachovia Center, Philadelphia, Pennsylvania",Milwaukee Bucks,Philadelphia 76ers,"17,640",92.4,Dick Bavetta, Rodney Mott, Derek Richardson,24,35,20,16,0,95,102.8,113.6,24,26,30,25,0,105,113.6,102.8
11,200904020WAS,"8:00 PM, April 2, 2009",2009,"Verizon Center, Washington, District of Columbia",Cleveland Cavaliers,Washington Wizards,"20,173",88.4,James Capers, Bennett Salvatore, Leon Wood,19,22,29,31,0,101,114.2,123.2,22,27,31,29,0,109,123.2,114.2
12,200904030BOS,"7:30 PM, April 3, 2009",2009,"TD Banknorth Garden, Boston, Massachusetts",Atlanta Hawks,Boston Celtics,"18,624",91.3,Bennie Adams, Mark Ayotte, Mark Wunderlich,23,25,23,21,0,92,100.7,113.9,21,31,28,24,0,104,113.9,100.7
13,200904030CHA,"7:00 PM, April 3, 2009",2009,"Time Warner Cable Arena, Charlotte, North Carolina",Miami Heat,Charlotte Bobcats,"19,568",89.3,David Jones, Eddie F. Rush, Michael Smith,16,29,22,30,0,97,108.6,103.0,28,17,26,21,0,92,103.0,108.6
14,200904030GSW,"10:30 PM, April 3, 2009",2009,"Oracle Arena, Oakland, California",New Orleans Hornets,Golden State Warriors,"19,596",93.5,Marc Davis, Scott Foster, Scott Wall,20,26,25,32,0,103,110.1,118.7,31,24,19,37,0,111,118.7,110.1
15,200904030IND,"7:00 PM, April 3, 2009",2009,"Conseco Fieldhouse, Indianapolis, Indiana",San Antonio Spurs,Indiana Pacers,"16,414",96.3,Curtis Blair, Dan Crawford, Luis Grillo,35,28,30,33,0,126,130.8,125.6,25,30,26,40,0,121,125.6,130.8
16,200904030LAL,"10:30 PM, April 3, 2009",2009,"STAPLES Center, Los Angeles, California",Houston Rockets,Los Angeles Lakers,"18,997",89.5,Joe Forte, Bill Kennedy, Eli Roe,21,23,18,19,0,81,90.5,103.9,20,24,23,26,0,93,103.9,90.5
17,200904030MEM,"8:00 PM, April 3, 2009",2009,"FedEx Forum, Memphis, Tennessee",Dallas Mavericks,Memphis Grizzlies,"15,126",87.5,David Guthrie, Ken Mauer, Jack Nies,32,29,24,17,0,102,116.6,122.3,27,34,23,23,0,107,122.3,116.6
18,200904030OKC,"8:00 PM, April 3, 2009",2009,"Ford Center, Oklahoma City, Oklahoma",Portland Trail Blazers,Oklahoma City Thunder,"19,136",84.4,Mike Callahan, Ed Malloy, Haywoode Workman,25,22,29,31,0,107,126.8,85.3,14,21,15,22,0,72,85.3,126.8
19,200904030ORL,"8:00 PM, April 3, 2009",2009,"Amway Arena, Orlando, Florida",Cleveland Cavaliers,Orlando Magic,"17,461",93.0,Jim Clark, Derrick Collins, Joe Crawford,22,16,22,27,0,87,93.6,124.8,27,28,37,24,0,116,124.8,93.6
20,200904030PHO,"10:00 PM, April 3, 2009",2009,"US Airways Center, Phoenix, Arizona",Sacramento Kings,Phoenix Suns,"18,422",101.8,Eric Lewis, Phil Robinson, Tom Washington,25,40,28,18,0,111,109.1,136.6,39,30,37,33,0,139,136.6,109.1
21,200904030UTA,"9:00 PM, April 3, 2009",2009,"EnergySolutions Arena, Salt Lake City, Utah",Minnesota Timberwolves,Utah Jazz,"19,911",92.4,Pat Fraher, Leroy Richardson, Greg Willard,19,27,26,31,0,103,111.4,110.4,27,29,21,25,0,102,110.4,111.4
22,200904040ATL,"7:00 PM, April 4, 2009",2009,"Philips Arena, Atlanta, Georgia",Orlando Magic,Atlanta Hawks,"19,608",90.3,Kevin Fehr, Mark Lindsay, Monty McCutchen,22,18,22,26,0,88,97.5,90.8,18,26,17,21,0,82,90.8,97.5
23,200904040CHI,"2:00 PM, April 4, 2009",2009,"United Center, Chicago, Illinois",New Jersey Nets,Chicago Bulls,"21,424",90.4,Matt Boland, Tony Brothers, Zach Zarba,16,28,25,25,0,94,104.0,114.0,22,32,19,30,0,103,114.0,104.0
24,200904040DEN,"9:00 PM, April 4, 2009",2009,"Pepsi Center, Denver, Colorado",Los Angeles Clippers,Denver Nuggets,"17,880",93.8,Tommy Nunez, Greg Willard, Gary Zielinski,21,26,29,28,0,104,110.9,127.9,32,34,30,24,0,120,127.9,110.9
25,200904040MIL,"8:30 PM, April 4, 2009",2009,"Bradley Center, Milwaukee, Wisconsin",Memphis Grizzlies,Milwaukee Bucks,"18,717",92.7,Mark Ayotte, Tony Brown, Sean Corbin,16,38,28,25,0,107,115.4,110.0,20,18,35,29,0,102,110.0,115.4
26,200904040NYK,"1:00 PM, April 4, 2009",2009,"Madison Square Garden (IV), New York, New York",Toronto Raptors,New York Knicks,"19,763",92.5,Brian Forte, John Goble, Bennett Salvatore,23,25,29,25,0,102,110.3,102.7,30,20,23,22,0,95,102.7,110.3
27,200904040PHI,"3:00 PM, April 4, 2009",2009,"Wachovia Center, Philadelphia, Pennsylvania",Detroit Pistons,Philadelphia 76ers,"19,832",83.5,Jason Phillips, Derrick Stafford, Leon Wood,19,31,24,16,0,90,107.8,113.8,21,25,22,27,0,95,113.8,107.8
28,200904040WAS,"7:00 PM, April 4, 2009",2009,"Verizon Center, Washington, District of Columbia",Miami Heat,Washington Wizards,"20,173",93.2,Joe DeRosa, Courtney Kirkland, Ron Olesiak,30,32,18,38,0,118,126.6,111.5,28,24,25,27,0,104,111.5,126.6
29,200904050CLE,"1:00 PM, April 5, 2009",2009,"Quicken Loans Arena, Cleveland, Ohio",San Antonio Spurs,Cleveland Cavaliers,"20,562",82.9,David Jones, Michael Smith, Mark Wunderlich,27,15,21,18,0,81,97.7,121.8,28,27,23,23,0,101,121.8,97.7
30,200904050DAL,"3:30 PM, April 5, 2009",2009,"American Airlines Center, Dallas, Texas",Phoenix Suns,Dallas Mavericks,"20,301",96.3,Dick Bavetta, Ed Malloy, Derek Richardson,33,26,25,32,0,116,120.4,145.4,39,42,33,26,0,140,145.4,120.4
31,200904050DET,"6:00 PM, April 5, 2009",2009,"The Palace of Auburn Hills, Auburn Hills, Michigan",Charlotte Bobcats,Detroit Pistons,"22,076",88.2,Marc Davis, Bill Kennedy, Haywoode Workman,17,27,25,28,0,97,109.9,117.9,24,27,17,36,0,104,117.9,109.9
32,200904050HOU,"7:00 PM, April 5, 2009",2009,"Toyota Center, Houston, Texas",Portland Trail Blazers,Houston Rockets,"18,214",78.4,Derrick Collins, Ken Mauer, Gary Zielinski,25,18,21,24,0,88,112.3,130.2,31,23,18,30,0,102,130.2,112.3
33,200904050LAL,"9:30 PM, April 5, 2009",2009,"STAPLES Center, Los Angeles, California",Los Angeles Clippers,Los Angeles Lakers,"18,997",87.9,Scott Foster, Bill Spooner, Scott Wall,17,27,12,29,0,85,96.7,100.1,30,24,14,20,0,88,100.1,96.7
34,200904050MIN,"7:00 PM, April 5, 2009",2009,"Target Center, Minneapolis, Minnesota",Denver Nuggets,Minnesota Timberwolves,"16,839",93.0,Mike Callahan, Kevin Fehr, Sean Wright,27,33,27,23,0,110,118.3,93.5,20,20,22,25,0,87,93.5,118.3
