Index,game_id,date,season,arena,away_name,home_name,att,pace,ref1,ref2,ref3,away_q1,away_q2,away_q3,away_q4,away_ot,away_final,away_ortg,away_drtg,home_q1,home_q2,home_q3,home_q4,home_ot,home_final,home_ortg,home_drtg
0,201604010ATL,"8:00 PM, April 1, 2016",2016,"Philips Arena, Atlanta, Georgia",Cleveland Cavaliers,Atlanta Hawks,"19,427",101.4,Ron Garretson, Tre Maddox, Sean Wright,32,23,22,19,14,110,98.2,96.4,23,18,30,25,12,108,96.4,98.2
1,201604010CHO,"7:00 PM, April 1, 2016",2016,"Time Warner Cable Arena, Charlotte, North Carolina",Philadelphia 76ers,Charlotte Hornets,"19,244",97.3,Eric Dalen, Michael Smith, Scott Twardoski,25,25,16,25,0,91,93.5,102.7,25,34,22,19,0,100,102.7,93.5
2,201604010DET,"7:30 PM, April 1, 2016",2016,"The Palace of Auburn Hills, Auburn Hills, Michigan",Dallas Mavericks,Detroit Pistons,"19,031",90.3,Pat Fraher, Ben Taylor, Tom Washington,25,26,20,27,0,98,108.5,98.5,25,11,25,28,0,89,98.5,108.5
3,201604010GSW,"10:30 PM, April 1, 2016",2016,"Oracle Arena, Oakland, California",Boston Celtics,Golden State Warriors,"19,596",100.7,Mark Ayotte, Nick Buchert, Monty McCutchen,21,24,37,27,0,109,108.2,105.2,23,20,36,27,0,106,105.2,108.2
4,201604010MEM,"8:00 PM, April 1, 2016",2016,"FedEx Forum, Memphis, Tennessee",Toronto Raptors,Memphis Grizzlies,"17,077",88.5,Bennie Adams, Mike Callahan, Leroy Richardson,27,18,29,25,0,99,111.9,107.4,23,30,19,23,0,95,107.4,111.9
5,201604010MIL,"8:00 PM, April 1, 2016",2016,"BMO Harris Bradley Center, Milwaukee, Wisconsin",Orlando Magic,Milwaukee Bucks,"16,268",104.5,Matt Boland, Kane Fitzgerald, Jason Phillips,22,35,28,25,0,110,105.3,108.2,31,27,26,29,0,113,108.2,105.3
6,201604010NYK,"7:30 PM, April 1, 2016",2016,"Madison Square Garden (IV), New York, New York",Brooklyn Nets,New York Knicks,"19,812",96.1,Steve Anderson, David Jones, Ed Malloy,17,29,24,21,0,91,94.7,109.3,18,29,30,28,0,105,109.3,94.7
7,201604010PHO,"10:30 PM, April 1, 2016",2016,"Talking Stick Resort Arena, Phoenix, Arizona",Washington Wizards,Phoenix Suns,"17,345",98.9,James Capers, Eric Lewis, Scott Wall,25,25,27,29,0,106,107.2,100.1,26,26,27,20,0,99,100.1,107.2
8,201604010SAC,"10:00 PM, April 1, 2016",2016,"Sleep Train Arena, Sacramento, California",Miami Heat,Sacramento Kings,"17,317",95.6,Scott Foster, Josh Tiven, Justin Van Duyne,39,27,26,20,0,112,117.2,110.9,24,24,28,30,0,106,110.9,117.2
9,201604010UTA,"9:00 PM, April 1, 2016",2016,"Vivint Smart Home Arena, Salt Lake City, Utah",Minnesota Timberwolves,Utah Jazz,"19,911",85.8,Marc Davis, Leon Wood, Haywoode Workman,24,25,19,17,0,85,99.1,114.2,25,26,26,21,0,98,114.2,99.1
