Index,game_id,date,season,arena,away_name,home_name,pace,attendance,ref1,ref2,ref3,away_q1,away_q2,away_q3,away_q4,away_ot,away_final,away_ortg,away_drtg,home_q1,home_q2,home_q3,home_q4,home_ot,home_final,home_ortg,home_drtg
0,201412010LAC,"10:30 PM, December 1, 2014",2015,"STAPLES Center, Los Angeles, California",Minnesota Timberwolves,Los Angeles Clippers,"19,060",99.6,Brent Barnaky, Kevin Cutler, Bill Kennedy,34,16,18,33,0,101,101.4,127.5,31,34,36,26,0,127,127.5,101.4
1,201412010PHI,"7:00 PM, December 1, 2014",2015,"Wells Fargo Center, Philadelphia, Pennsylvania",San Antonio Spurs,Philadelphia 76ers,"12,843",99.4,Matt Boland, Eric Lewis, Ed Malloy,27,34,23,25,0,109,109.7,103.6,20,26,27,30,0,103,103.6,109.7
2,201412010UTA,"9:00 PM, December 1, 2014",2015,"EnergySolutions Arena, Salt Lake City, Utah",Denver Nuggets,Utah Jazz,"16,768",94.2,Curtis Blair, Marc Davis, Leroy Richardson,26,36,21,20,0,103,109.3,107.2,23,20,34,24,0,101,107.2,109.3
3,201412010WAS,"7:00 PM, December 1, 2014",2015,"Verizon Center, Washington, District of Columbia",Miami Heat,Washington Wizards,"15,150",87.1,Mike Callahan, Karl Lane, Leon Wood,22,27,17,20,0,86,98.8,122.9,30,34,17,26,0,107,122.9,98.8
4,201412020ATL,"7:30 PM, December 2, 2014",2015,"Philips Arena, Atlanta, Georgia",Boston Celtics,Atlanta Hawks,"12,705",98.9,Steve Anderson, Mark Ayotte, Monty McCutchen,42,24,19,20,0,105,106.2,110.2,30,20,30,29,0,109,110.2,106.2
5,201412020CHI,"8:00 PM, December 2, 2014",2015,"United Center, Chicago, Illinois",Dallas Mavericks,Chicago Bulls,"22,042",94.6,Tony Brothers, Eric Lewis, Eli Roe,25,34,21,28,24,132,115.5,112.8,26,21,27,34,21,129,112.8,115.5
6,201412020CLE,"7:00 PM, December 2, 2014",2015,"Quicken Loans Arena, Cleveland, Ohio",Milwaukee Bucks,Cleveland Cavaliers,"20,562",98.4,Dan Crawford, John Goble, Lauren Holtkamp,23,31,25,29,0,108,109.8,112.9,30,22,27,32,0,111,112.9,109.8
7,201412020DEN,"9:00 PM, December 2, 2014",2015,"Pepsi Center, Denver, Colorado",Portland Trail Blazers,Denver Nuggets,"12,822",97.5,Bennie Adams, Derek Richardson, Bill Spooner,23,27,28,27,0,105,107.7,105.6,31,25,29,18,0,103,105.6,107.7
8,201412020DET,"7:30 PM, December 2, 2014",2015,"The Palace of Auburn Hills, Auburn Hills, Michigan",Los Angeles Lakers,Detroit Pistons,"14,083",94.9,Nick Buchert, Justin Van Duyne, Zach Zarba,19,27,35,25,0,106,111.6,101.1,19,26,20,31,0,96,101.1,111.6
9,201412020GSW,"10:30 PM, December 2, 2014",2015,"Oracle Arena, Oakland, California",Orlando Magic,Golden State Warriors,"19,596",92.4,Joe Crawford, Brian Forte, James Williams,25,21,29,22,0,97,104.9,106.0,24,32,17,25,0,98,106.0,104.9
