Index,game_id,date,season,arena,away_name,home_name,att,pace,ref1,ref2,ref3,away_q1,away_q2,away_q3,away_q4,away_ot,away_final,away_ortg,away_drtg,home_q1,home_q2,home_q3,home_q4,home_ot,home_final,home_ortg,home_drtg
0,201612010BRK,"7:30 PM, December 1, 2016",2017,"Barclays Center, Brooklyn, New York",Milwaukee Bucks,Brooklyn Nets,"12,675",95.5,Brent Barnaky, Scott Foster, Aaron Smith,27,25,38,21,0,111,116.3,97.4,26,25,27,15,0,93,97.4,116.3
1,201612010CHO,"7:00 PM, December 1, 2016",2017,"Spectrum Center, Charlotte, North Carolina",Dallas Mavericks,Charlotte Hornets,"14,471",92.1,Kane Fitzgerald, Karl Lane, James Williams,14,27,19,27,0,87,94.5,105.4,23,21,24,29,0,97,105.4,94.5
2,201612010CLE,"8:00 PM, December 1, 2016",2017,"Quicken Loans Arena, Cleveland, Ohio",Los Angeles Clippers,Cleveland Cavaliers,"20,562",94.7,Eric Lewis, Sean Wright, Gary Zielinski,24,34,27,28,0,113,119.3,99.2,28,22,15,29,0,94,99.2,119.3
3,201612010GSW,"10:30 PM, December 1, 2016",2017,"Oracle Arena, Oakland, California",Houston Rockets,Golden State Warriors,"19,596",100.1,Bill Kennedy, Tre Maddox, Josh Tiven,32,32,22,27,19,132,109.1,105.0,30,29,23,31,14,127,105.0,109.1
4,201612010MEM,"8:00 PM, December 1, 2016",2017,"FedEx Forum, Memphis, Tennessee",Orlando Magic,Memphis Grizzlies,"13,344",93.2,Curtis Blair, Rodney Mott, Kevin Scott,28,21,19,26,0,94,100.9,102.0,30,20,15,30,0,95,102.0,100.9
5,201612010UTA,"9:00 PM, December 1, 2016",2017,"Vivint Smart Home Arena, Salt Lake City, Utah",Miami Heat,Utah Jazz,"19,073",85.0,Courtney Kirkland, Ed Malloy, Gediminas Petraitis,26,26,31,28,0,111,130.7,129.5,27,21,29,33,0,110,129.5,130.7
6,201612020ATL,"8:00 PM, December 2, 2016",2017,"Philips Arena, Atlanta, Georgia",Detroit Pistons,Atlanta Hawks,"15,500",95.7,Pat Fraher, Karl Lane, Rodney Mott,27,31,32,31,0,121,126.4,88.8,24,15,18,28,0,85,88.8,126.4
7,201612020BOS,"7:30 PM, December 2, 2016",2017,"TD Garden, Boston, Massachusetts",Sacramento Kings,Boston Celtics,"18,624",94.5,Tony Brown, J.T. Orr, Jason Phillips,29,17,26,20,0,92,97.3,102.6,29,18,22,28,0,97,102.6,97.3
8,201612020CHI,"8:00 PM, December 2, 2016",2017,"United Center, Chicago, Illinois",Cleveland Cavaliers,Chicago Bulls,"21,775",97.0,Nick Buchert, Bill Spooner, Dedric Taylor,33,27,20,25,0,105,108.2,114.4,30,29,29,23,0,111,114.4,108.2
9,201612020DEN,"10:30 PM, December 2, 2016",2017,"Pepsi Center, Denver, Colorado",Houston Rockets,Denver Nuggets,"15,549",98.4,Dan Crawford, Leroy Richardson, Ben Taylor,42,31,26,29,0,128,130.1,111.8,33,30,21,26,0,110,111.8,130.1
10,201612020NOP,"8:00 PM, December 2, 2016",2017,"Smoothie King Center, New Orleans, Louisiana",Los Angeles Clippers,New Orleans Pelicans,"16,538",91.9,Derrick Collins, Eric Dalen, Marc Davis,25,35,29,25,0,114,124.1,104.5,30,27,19,20,0,96,104.5,124.1
11,201612020NYK,"7:30 PM, December 2, 2016",2017,"Madison Square Garden (IV), New York, New York",Minnesota Timberwolves,New York Knicks,"19,812",98.6,Brent Barnaky, Kevin Cutler, Monty McCutchen,21,31,36,26,0,114,115.6,119.7,30,32,36,20,0,118,119.7,115.6
12,201612020PHI,"7:00 PM, December 2, 2016",2017,"Wells Fargo Center, Philadelphia, Pennsylvania",Orlando Magic,Philadelphia 76ers,"13,711",91.1,John Goble, Mark Lindsay, C.J. Washington,21,29,32,23,0,105,115.3,96.6,14,28,19,27,0,88,96.6,115.3
13,201612020SAS,"8:30 PM, December 2, 2016",2017,"AT&T Center, San Antonio, Texas",Washington Wizards,San Antonio Spurs,"18,418",95.8,Mike Callahan, Tyler Ford, Kevin Scott,28,32,14,31,0,105,109.6,111.7,24,33,23,27,0,107,111.7,109.6
14,201612020TOR,"7:30 PM, December 2, 2016",2017,"Air Canada Centre, Toronto, Canada",Los Angeles Lakers,Toronto Raptors,"19,800",91.7,Mark Ayotte, Sean Corbin, Derek Richardson,22,26,14,18,0,80,87.2,123.2,28,41,15,29,0,113,123.2,87.2
15,201612030CHO,"7:00 PM, December 3, 2016",2017,"Spectrum Center, Charlotte, North Carolina",Minnesota Timberwolves,Charlotte Hornets,"16,982",98.4,Marc Davis, Scott Twardoski, Gary Zielinski,19,30,25,32,19,125,115.0,110.4,29,23,32,22,14,120,110.4,115.0
