Index,game_id,date,season,arena,away_name,home_name,att,pace,ref1,ref2,ref3,away_q1,away_q2,away_q3,away_q4,away_ot,away_final,away_ortg,away_drtg,home_q1,home_q2,home_q3,home_q4,home_ot,home_final,home_ortg,home_drtg
0,200302010DAL,"8:30 PM, February 1, 2003",2003,"American Airlines Center, Dallas, Texas",Denver Nuggets,Dallas Mavericks,"19,889",95.5,James Capers, Joe Forte, Gary Zielinski,31,23,16,30,0,100,104.8,127.8,29,29,40,24,0,122,127.8,104.8
1,200302010DET,"7:30 PM, February 1, 2003",2003,"The Palace of Auburn Hills, Auburn Hills, Michigan",New Jersey Nets,Detroit Pistons,"22,076",84.0,Tim Donaghy, Michael Henderson, Tom Washington,25,16,20,23,0,84,99.9,126.1,34,25,17,30,0,106,126.1,99.9
2,200302010IND,"7:00 PM, February 1, 2003",2003,"Conseco Fieldhouse, Indianapolis, Indiana",Boston Celtics,Indiana Pacers,"18,345",96.5,Kevin Fehr, Scott Foster, Greg Willard,23,29,26,22,0,100,103.6,112.9,30,28,30,21,0,109,112.9,103.6
3,200302010LAL,"10:30 PM, February 1, 2003",2003,"STAPLES Center, Los Angeles, California",Utah Jazz,Los Angeles Lakers,"18,997",86.4,Bob Delaney, Violet Palmer, Blane Reichelt,14,21,29,23,0,87,100.6,114.5,23,22,28,26,0,99,114.5,100.6
4,200302010MIA,"8:00 PM, February 1, 2003",2003,"AmericanAirlines Arena, Miami, Florida",San Antonio Spurs,Miami Heat,"15,729",88.0,Luis Grillo, Ken Mauer, Tommy Nunez,18,13,22,14,0,67,76.1,73.8,10,22,18,15,0,65,73.8,76.1
5,200302010MIL,"8:30 PM, February 1, 2003",2003,"Bradley Center, Milwaukee, Wisconsin",New York Knicks,Milwaukee Bucks,"16,117",90.3,Ron Garretson, Bill Kennedy, Michael Smith,16,26,24,34,0,100,110.7,118.5,14,29,26,38,0,107,118.5,110.7
6,200302010PHO,"9:00 PM, February 1, 2003",2003,"America West Arena, Phoenix, Arizona",Golden State Warriors,Phoenix Suns,"16,174",98.3,Sean Corbin, Hue Hollins, Rodney Mott,21,37,18,31,0,107,108.9,118.1,34,23,24,35,0,116,118.1,108.9
7,200302010SEA,"10:00 PM, February 1, 2003",2003,"KeyArena at Seattle Center, Seattle, Washington",Chicago Bulls,Seattle SuperSonics,"16,055",87.6,Jim Clark, Nolan Fine, Jack Nies,22,20,12,23,0,77,87.9,102.8,21,24,25,20,0,90,102.8,87.9
8,200302010WAS,"7:00 PM, February 1, 2003",2003,"MCI Center, Washington, District of Columbia",New Orleans Hornets,Washington Wizards,"20,173",92.2,Dick Bavetta, Pat Fraher, David Jones,18,33,31,22,0,104,112.8,118.2,27,19,30,33,0,109,118.2,112.8
9,200302020ATL,"2:00 PM, February 2, 2003",2003,"Philips Arena, Atlanta, Georgia",Orlando Magic,Atlanta Hawks,"18,233",88.2,Ted Bernhardt, Tony Brothers, Marc Davis,16,20,28,25,0,89,100.9,110.0,24,23,24,26,0,97,110.0,100.9
