Index,game_id,date,season,arena,away_name,home_name,pace,attendance,ref1,ref2,ref3,away_q1,away_q2,away_q3,away_q4,away_ot,away_final,away_ortg,away_drtg,home_q1,home_q2,home_q3,home_q4,home_ot,home_final,home_ortg,home_drtg
0,201802010DEN,"10:30 PM, February 1, 2018",2018,"Pepsi Center, Denver, Colorado",Oklahoma City Thunder,Denver Nuggets,"18,407",102.4,Tony Brown, Justin Van Duyne, Zach Zarba,33,24,32,35,0,124,121.1,124.0,40,32,32,23,0,127,124.0,121.1
1,201802010DET,"7:00 PM, February 1, 2018",2018,"Little Caesars Arena, Detroit, Michigan",Memphis Grizzlies,Detroit Pistons,"17,481",95.8,Jason Goldenberg, Rodney Mott, Leroy Richardson,25,26,25,26,0,102,106.5,108.6,27,24,31,22,0,104,108.6,106.5
2,201802010MIN,"8:00 PM, February 1, 2018",2018,"Target Center, Minneapolis, Minnesota",Milwaukee Bucks,Minnesota Timberwolves,"17,199",93.6,Pat Fraher, Ken Mauer, Jonathan Sterling,17,22,22,28,0,89,95.1,115.4,23,37,19,29,0,108,115.4,95.1
3,201802010SAS,"8:00 PM, February 1, 2018",2018,"AT&T Center, San Antonio, Texas",Houston Rockets,San Antonio Spurs,"18,418",92.6,Mark Ayotte, Kevin Cutler, John Goble,27,27,28,20,0,102,110.1,98.3,14,24,32,21,0,91,98.3,110.1
4,201802010WAS,"7:00 PM, February 1, 2018",2018,"Capital One Arena, Washington, District of Columbia",Toronto Raptors,Washington Wizards,"15,599",99.5,Karl Lane, Tom Washington, Haywoode Workman,34,28,25,32,0,119,119.6,122.6,27,28,33,34,0,122,122.6,119.6
5,201802020BOS,"7:30 PM, February 2, 2018",2018,"TD Garden, Boston, Massachusetts",Atlanta Hawks,Boston Celtics,"18,624",100.1,Brian Forte, Jacyn Goble, Gediminas Petraitis,32,23,20,35,0,110,109.9,118.9,26,27,41,25,0,119,118.9,109.9
6,201802020BRK,"7:30 PM, February 2, 2018",2018,"Barclays Center, Brooklyn, New York",Los Angeles Lakers,Brooklyn Nets,"17,732",95.8,Mike Callahan, Jason Goldenberg, Dedric Taylor,24,35,26,17,0,102,106.5,103.3,26,31,28,14,0,99,103.3,106.5
7,201802020CHO,"7:00 PM, February 2, 2018",2018,"Spectrum Center, Charlotte, North Carolina",Indiana Pacers,Charlotte Hornets,"17,135",99.7,Mitchell Ervin, Scott Foster, Michael Smith,37,20,34,35,0,126,126.4,133.4,49,22,25,37,0,133,133.4,126.4
8,201802020MIL,"8:00 PM, February 2, 2018",2018,"BMO Harris Bradley Center, Milwaukee, Wisconsin",New York Knicks,Milwaukee Bucks,"18,717",93.3,Sean Corbin, David Guthrie, Haywoode Workman,29,26,19,16,0,90,96.5,98.7,28,27,19,18,0,92,98.7,96.5
9,201802020OKC,"9:00 PM, February 2, 2018",2018,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",New Orleans Pelicans,Oklahoma City Thunder,"18,203",103.9,Tyler Ford, Mark Lindsay, James Williams,22,32,36,24,0,114,109.8,96.3,32,26,25,17,0,100,96.3,109.8
