Index,game_id,date,season,arena,away_name,home_name,attendance,pace,ref1,ref2,ref3,away_q1,away_q2,away_q3,away_q4,away_ot,away_final,away_ortg,away_drtg,home_q1,home_q2,home_q3,home_q4,home_ot,home_final,home_ortg,home_drtg
0,201902010CHO,"7:00 PM, February 1, 2019",2019,"Spectrum Center, Charlotte, North Carolina",Memphis Grizzlies,Charlotte Hornets,"15,387",88.4,Tony Brothers,Brian Forte,Phenizee Ransom,29,16,28,19,0,92,104.1,113.1,17,28,25,30,0,100,113.1,104.1
1,201902010DEN,"10:00 PM, February 1, 2019",2019,"Pepsi Center, Denver, Colorado",Houston Rockets,Denver Nuggets,"20,106",89.2,Kevin Cutler,Jason Phillips,Scott Twardoski,43,28,24,27,0,122,136.7,152.4,35,48,30,23,0,136,152.4,136.7
2,201902010MIA,"8:00 PM, February 1, 2019",2019,"AmericanAirlines Arena, Miami, Florida",Oklahoma City Thunder,Miami Heat,"19,600",101.2,Ken Mauer,Ashley Moyer-Gleich,Gediminas Petraitis,31,41,22,24,0,118,116.6,100.8,24,29,21,28,0,102,100.8,116.6
3,201902010NYK,"7:30 PM, February 1, 2019",2019,"Madison Square Garden (IV), New York, New York",Boston Celtics,New York Knicks,"18,343",98.1,Nick Buchert,Marc Davis,Michael Smith,25,31,24,33,0,113,115.1,100.9,20,27,26,26,0,99,100.9,115.1
4,201902010UTA,"9:00 PM, February 1, 2019",2019,"Vivint Smart Home Arena, Salt Lake City, Utah",Atlanta Hawks,Utah Jazz,"18,306",105.4,Kane Fitzgerald,Tre Maddox,Derek Richardson,34,26,27,25,0,112,106.2,121.4,36,22,38,32,0,128,121.4,106.2
5,201902020CHO,"7:00 PM, February 2, 2019",2019,"Spectrum Center, Charlotte, North Carolina",Chicago Bulls,Charlotte Hornets,"19,114",90.8,Marc Davis,J.B. DeRosa,Aaron Smith,26,34,26,32,0,118,129.9,137.6,27,24,37,37,0,125,137.6,129.9
6,201902020CLE,"7:30 PM, February 2, 2019",2019,"Quicken Loans Arena, Cleveland, Ohio",Dallas Mavericks,Cleveland Cavaliers,"19,432",93.6,Brian Forte,Natalie Sago,Josh Tiven,40,18,28,25,0,111,118.6,104.7,31,24,25,18,0,98,104.7,118.6
7,201902020DET,"5:00 PM, February 2, 2019",2019,"Little Caesars Arena, Detroit, Michigan",Los Angeles Clippers,Detroit Pistons,"17,862",96.2,Brandon Adair,Kevin Scott,James Williams,22,25,29,35,0,111,115.3,105.0,40,25,22,14,0,101,105.0,115.3
8,201902020GSW,"8:30 PM, February 2, 2019",2019,"Oracle Arena, Oakland, California",Los Angeles Lakers,Golden State Warriors,"19,596",101.5,Mike Callahan,Mitchell Ervin,Tyler Ford,24,34,28,15,0,101,99.5,113.3,33,30,25,27,0,115,113.3,99.5
9,201902020MIA,"7:30 PM, February 2, 2019",2019,"AmericanAirlines Arena, Miami, Florida",Indiana Pacers,Miami Heat,"19,600",92.8,Pat Fraher,Jason Goldenberg,Dedric Taylor,21,32,31,11,0,95,102.3,94.8,27,27,23,11,0,88,94.8,102.3
10,201902020MIN,"9:00 PM, February 2, 2019",2019,"Target Center, Minneapolis, Minnesota",Denver Nuggets,Minnesota Timberwolves,"17,208",91.2,Tony Brothers,Derrick Collins,Matt Myers,29,32,28,18,0,107,117.3,116.2,38,26,24,18,0,106,116.2,117.3
11,201902020ORL,"7:00 PM, February 2, 2019",2019,"Amway Center, Orlando, Florida",Brooklyn Nets,Orlando Magic,"17,385",105.1,Curtis Blair,Scott Foster,Brett Nansel,21,27,22,19,0,89,84.7,97.1,26,18,34,24,0,102,97.1,84.7
12,201902020PHO,"9:00 PM, February 2, 2019",2019,"Talking Stick Resort Arena, Phoenix, Arizona",Atlanta Hawks,Phoenix Suns,"15,534",101.8,Ron Garretson,Justin Van Duyne,Tom Washington,33,25,28,32,0,118,115.9,110.0,30,27,31,24,0,112,110.0,115.9
13,201902020SAC,"10:00 PM, February 2, 2019",2019,"Golden 1 Center, Sacramento, California",Philadelphia 76ers,Sacramento Kings,"17,583",102.0,Kevin Cutler,Eric Dalen,Kane Fitzgerald,26,26,27,29,0,108,105.9,112.7,32,30,24,29,0,115,112.7,105.9
14,201902020SAS,"8:30 PM, February 2, 2019",2019,"AT&T Center, San Antonio, Texas",New Orleans Pelicans,San Antonio Spurs,"18,354",100.9,Rodney Mott,Jonathan Sterling,Zach Zarba,24,26,28,30,0,108,107.1,112.0,35,28,31,19,0,113,112.0,107.1
15,201902020UTA,"9:00 PM, February 2, 2019",2019,"Vivint Smart Home Arena, Salt Lake City, Utah",Houston Rockets,Utah Jazz,"18,306",106.0,Brent Barnaky,James Capers,Leon Wood,31,32,28,34,0,125,117.9,92.5,27,23,19,29,0,98,92.5,117.9
16,201902020WAS,"7:00 PM, February 2, 2019",2019,"Capital One Arena, Washington, District of Columbia",Milwaukee Bucks,Washington Wizards,"20,409",103.6,David Guthrie,Marat Kogut,C.J. Washington,38,35,27,31,0,131,126.4,111.0,26,24,34,31,0,115,111.0,126.4
17,201902030BOS,"2:00 PM, February 3, 2019",2019,"TD Garden, Boston, Massachusetts",Oklahoma City Thunder,Boston Celtics,"18,624",105.2,Mark Lindsay,Ed Malloy,Scott Wall,29,29,35,36,0,129,122.7,127.4,31,35,33,35,0,134,127.4,122.7
18,201902030NYK,"1:00 PM, February 3, 2019",2019,"Madison Square Garden (IV), New York, New York",Memphis Grizzlies,New York Knicks,"17,025",92.3,Matt Boland,Karl Lane,Ken Mauer,19,23,32,22,0,96,104.0,91.0,22,19,21,22,0,84,91.0,104.0
19,201902030TOR,"3:00 PM, February 3, 2019",2019,"Scotiabank Arena, Toronto, Canada",Los Angeles Clippers,Toronto Raptors,"19,800",103.2,Eric Lewis,Gediminas Petraitis,Ben Taylor,23,28,29,23,0,103,99.8,117.2,23,42,32,24,0,121,117.2,99.8
20,201902040BRK,"7:30 PM, February 4, 2019",2019,"Barclays Center, Brooklyn, New York",Milwaukee Bucks,Brooklyn Nets,"16,209",104.8,Nick Buchert,Mousa Dagher,Pat Fraher,23,28,36,26,0,113,107.8,89.7,17,25,22,30,0,94,89.7,107.8
21,201902040DET,"7:00 PM, February 4, 2019",2019,"Little Caesars Arena, Detroit, Michigan",Denver Nuggets,Detroit Pistons,"12,589",100.1,J.B. DeRosa,John Goble,Dedric Taylor,36,19,28,20,0,103,102.9,128.9,34,34,29,32,0,129,128.9,102.9
22,201902040NOP,"8:00 PM, February 4, 2019",2019,"Smoothie King Center, New Orleans, Louisiana",Indiana Pacers,New Orleans Pelicans,"15,780",100.9,Ray Acosta,Derrick Collins,Brian Forte,25,28,30,26,0,109,108.0,106.0,20,30,24,33,0,107,106.0,108.0
23,201902040PHO,"9:00 PM, February 4, 2019",2019,"Talking Stick Resort Arena, Phoenix, Arizona",Houston Rockets,Phoenix Suns,"15,740",97.0,Mike Callahan,Eric Dalen,Tre Maddox,32,31,31,24,0,118,121.6,113.4,28,29,23,30,0,110,113.4,121.6
24,201902040SAC,"10:00 PM, February 4, 2019",2019,"Golden 1 Center, Sacramento, California",San Antonio Spurs,Sacramento Kings,"16,245",98.2,Mitchell Ervin,Tyler Ford,Tom Washington,25,34,27,26,0,112,114.0,129.3,37,26,35,29,0,127,129.3,114.0
25,201902040WAS,"7:00 PM, February 4, 2019",2019,"Capital One Arena, Washington, District of Columbia",Atlanta Hawks,Washington Wizards,"15,025",100.4,Curtis Blair,Eric Lewis,Brett Nansel,35,26,38,38,0,137,136.4,128.5,20,37,32,40,0,129,128.5,136.4
26,201902050CHO,"7:00 PM, February 5, 2019",2019,"Spectrum Center, Charlotte, North Carolina",Los Angeles Clippers,Charlotte Hornets,"14,300",95.7,Leroy Richardson,Dedric Taylor,Sean Wright,26,27,31,33,0,117,122.3,120.2,25,33,34,23,0,115,120.2,122.3
27,201902050CLE,"7:00 PM, February 5, 2019",2019,"Quicken Loans Arena, Cleveland, Ohio",Boston Celtics,Cleveland Cavaliers,"19,432",92.2,Marat Kogut,Ken Mauer,Phenizee Ransom,28,31,26,18,0,103,111.7,104.1,30,21,28,17,0,96,104.1,111.7
28,201902050IND,"7:00 PM, February 5, 2019",2019,"Bankers Life Fieldhouse, Indianapolis, Indiana",Los Angeles Lakers,Indiana Pacers,"17,265",100.4,Gediminas Petraitis,Haywoode Workman,Zach Zarba,26,20,27,21,0,94,93.6,135.5,33,36,32,35,0,136,135.5,93.6
29,201902050MEM,"8:00 PM, February 5, 2019",2019,"FedEx Forum, Memphis, Tennessee",Minnesota Timberwolves,Memphis Grizzlies,"13,454",92.0,Brent Barnaky,J.B. DeRosa,Josh Tiven,19,35,29,23,0,106,115.3,117.5,32,34,19,23,0,108,117.5,115.3
30,201902050NYK,"7:30 PM, February 5, 2019",2019,"Madison Square Garden (IV), New York, New York",Detroit Pistons,New York Knicks,"17,853",90.8,David Guthrie,Matt Myers,Scott Twardoski,36,27,15,27,0,105,115.6,101.3,28,26,17,21,0,92,101.3,115.6
31,201902050OKC,"8:00 PM, February 5, 2019",2019,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",Orlando Magic,Oklahoma City Thunder,"18,203",113.6,Ron Garretson,Jason Phillips,Jonathan Sterling,32,37,23,30,0,122,107.4,116.2,31,31,36,34,0,132,116.2,107.4
32,201902050PHI,"8:00 PM, February 5, 2019",2019,"Wells Fargo Center, Philadelphia, Pennsylvania",Toronto Raptors,Philadelphia 76ers,"20,472",96.1,Tony Brown,Marc Davis,Aaron Smith,40,32,28,19,0,119,123.8,111.4,28,27,27,25,0,107,111.4,123.8
33,201902050POR,"10:30 PM, February 5, 2019",2019,"Moda Center, Portland, Oregon",Miami Heat,Portland Trail Blazers,"19,468",97.9,Kane Fitzgerald,Rodney Mott,J.T. Orr,34,28,32,24,0,118,120.6,110.3,30,25,24,29,0,108,110.3,120.6
34,201902060BRK,"7:30 PM, February 6, 2019",2019,"Barclays Center, Brooklyn, New York",Denver Nuggets,Brooklyn Nets,"14,516",108.7,Marat Kogut,Scott Wall,James Williams,35,25,27,43,0,130,119.6,124.2,30,42,36,27,0,135,124.2,119.6
35,201902060CHI,"8:00 PM, February 6, 2019",2019,"United Center, Chicago, Illinois",New Orleans Pelicans,Chicago Bulls,"18,116",94.6,Brent Barnaky,Pat Fraher,Jacyn Goble,37,27,27,34,0,125,132.1,126.9,39,26,17,38,0,120,126.9,132.1
36,201902060DAL,"8:30 PM, February 6, 2019",2019,"American Airlines Center, Dallas, Texas",Charlotte Hornets,Dallas Mavericks,"19,606",98.9,Mike Callahan,Kevin Cutler,Courtney Kirkland,20,26,25,22,0,93,94.0,100.1,27,25,22,25,0,99,100.1,94.0
37,201902060GSW,"10:30 PM, February 6, 2019",2019,"Oracle Arena, Oakland, California",San Antonio Spurs,Golden State Warriors,"19,596",101.1,Eric Dalen,Scott Foster,Mark Lindsay,31,21,31,19,0,102,100.9,139.5,33,33,49,26,0,141,139.5,100.9
38,201902060MIL,"8:00 PM, February 6, 2019",2019,"Fiserv Forum, Milwaukee, Wisconsin",Washington Wizards,Milwaukee Bucks,"17,360",111.0,Matt Boland,John Goble,Kevin Scott,35,30,42,22,0,129,116.2,133.3,50,35,35,28,0,148,133.3,116.2
39,201902060SAC,"10:00 PM, February 6, 2019",2019,"Golden 1 Center, Sacramento, California",Houston Rockets,Sacramento Kings,"17,583",100.1,Jason Goldenberg,Rodney Mott,J.T. Orr,32,44,28,23,0,127,126.9,100.9,28,17,29,27,0,101,100.9,126.9
40,201902060UTA,"9:00 PM, February 6, 2019",2019,"Vivint Smart Home Arena, Salt Lake City, Utah",Phoenix Suns,Utah Jazz,"18,306",96.7,Ray Acosta,Tyler Ford,Ed Malloy,24,22,25,17,0,88,91.0,120.0,30,26,23,37,0,116,120.0,91.0
41,201902070ATL,"7:30 PM, February 7, 2019",2019,"State Farm Arena, Atlanta, Georgia",Toronto Raptors,Atlanta Hawks,"16,036",96.9,Karl Lane,Leroy Richardson,Zach Zarba,22,38,28,31,0,119,122.7,104.2,33,35,17,16,0,101,104.2,122.7
42,201902070BOS,"8:00 PM, February 7, 2019",2019,"TD Garden, Boston, Massachusetts",Los Angeles Lakers,Boston Celtics,"18,624",99.3,Derrick Collins,Marc Davis,Scott Twardoski,24,33,42,30,0,129,129.9,128.9,30,36,27,35,0,128,128.9,129.9
43,201902070IND,"7:00 PM, February 7, 2019",2019,"Bankers Life Fieldhouse, Indianapolis, Indiana",Los Angeles Clippers,Indiana Pacers,"15,756",101.6,Mitchell Ervin,Ron Garretson,John Goble,31,22,20,19,0,92,90.6,114.2,36,35,27,18,0,116,114.2,90.6
44,201902070OKC,"8:00 PM, February 7, 2019",2019,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",Memphis Grizzlies,Oklahoma City Thunder,"18,203",99.7,Brian Forte,Justin Van Duyne,Tom Washington,32,21,19,23,0,95,95.2,117.3,27,24,32,34,0,117,117.3,95.2
45,201902070ORL,"7:00 PM, February 7, 2019",2019,"Amway Center, Orlando, Florida",Minnesota Timberwolves,Orlando Magic,"17,184",95.4,Mark Ayotte,Nick Buchert,Aaron Smith,31,27,27,27,0,112,117.5,127.9,32,39,31,20,0,122,127.9,117.5
46,201902070POR,"10:30 PM, February 7, 2019",2019,"Moda Center, Portland, Oregon",San Antonio Spurs,Portland Trail Blazers,"19,393",102.1,Ray Acosta,Tre Maddox,Ed Malloy,34,23,33,28,0,118,115.6,124.4,31,39,26,31,0,127,124.4,115.6
47,201902080BRK,"7:30 PM, February 8, 2019",2019,"Barclays Center, Brooklyn, New York",Chicago Bulls,Brooklyn Nets,"15,267",102.6,Mitchell Ervin,Kevin Scott,Ben Taylor,32,23,38,32,0,125,121.9,103.4,27,21,32,26,0,106,103.4,121.9
48,201902080DAL,"8:30 PM, February 8, 2019",2019,"American Airlines Center, Dallas, Texas",Milwaukee Bucks,Dallas Mavericks,"20,420",98.6,Jonathan Sterling,Dedric Taylor,Sean Wright,29,35,30,28,0,122,123.8,108.5,29,22,35,21,0,107,108.5,123.8
49,201902080DET,"7:00 PM, February 8, 2019",2019,"Little Caesars Arena, Detroit, Michigan",New York Knicks,Detroit Pistons,"14,430",96.9,Brent Barnaky,Mousa Dagher,Jason Phillips,22,32,30,19,0,103,106.3,123.8,41,22,26,31,0,120,123.8,106.3
50,201902080NOP,"9:30 PM, February 8, 2019",2019,"Smoothie King Center, New Orleans, Louisiana",Minnesota Timberwolves,New Orleans Pelicans,"16,980",104.5,Curtis Blair,Mike Callahan,Kevin Cutler,35,27,26,29,0,117,112.0,116.7,22,40,28,32,0,122,116.7,112.0
51,201902080PHI,"7:00 PM, February 8, 2019",2019,"Wells Fargo Center, Philadelphia, Pennsylvania",Denver Nuggets,Philadelphia 76ers,"20,627",101.0,Matt Boland,Courtney Kirkland,Josh Tiven,23,33,26,28,0,110,108.9,115.9,33,23,27,34,0,117,115.9,108.9
52,201902080PHO,"9:00 PM, February 8, 2019",2019,"Talking Stick Resort Arena, Phoenix, Arizona",Golden State Warriors,Phoenix Suns,"17,081",102.7,Rodney Mott,J.T. Orr,Leon Wood,26,34,22,35,0,117,113.9,104.1,31,22,32,22,0,107,104.1,113.9
53,201902080SAC,"10:00 PM, February 8, 2019",2019,"Golden 1 Center, Sacramento, California",Miami Heat,Sacramento Kings,"17,583",101.1,Scott Foster,Mark Lindsay,Brett Nansel,28,31,24,13,0,96,94.9,100.9,17,33,25,27,0,102,100.9,94.9
