Index,game_id,date,season,arena,away_name,home_name,att,pace,ref1,ref2,ref3,away_q1,away_q2,away_q3,away_q4,away_ot,away_final,away_ortg,away_drtg,home_q1,home_q2,home_q3,home_q4,home_ot,home_final,home_ortg,home_drtg
0,201003010CHA,"7:00 PM, March 1, 2010",2010,"Time Warner Cable Arena, Charlotte, North Carolina",Dallas Mavericks,Charlotte Bobcats,"15,691",92.8,Joe DeRosa, David Guthrie, Derek Richardson,24,19,23,23,0,89,95.9,90.5,28,25,15,16,0,84,90.5,95.9
1,201003010CHI,"8:00 PM, March 1, 2010",2010,"United Center, Chicago, Illinois",Atlanta Hawks,Chicago Bulls,"19,011",94.4,Mark Ayotte, Curtis Blair, Joe Crawford,34,25,16,41,0,116,122.9,97.5,23,20,25,24,0,92,97.5,122.9
2,201003010CLE,"7:00 PM, March 1, 2010",2010,"Quicken Loans Arena, Cleveland, Ohio",New York Knicks,Cleveland Cavaliers,"20,562",103.8,Tony Brown, Bob Delaney, Rodney Mott,26,22,11,34,0,93,89.6,119.4,38,36,27,23,0,124,119.4,89.6
3,201003010HOU,"8:30 PM, March 1, 2010",2010,"Toyota Center, Houston, Texas",Toronto Raptors,Houston Rockets,"13,943",99.0,Ron Garretson, Phil Robinson, Michael Smith,28,19,18,27,0,92,93.0,117.2,37,31,29,19,0,116,117.2,93.0
4,201003010LAC,"10:30 PM, March 1, 2010",2010,"STAPLES Center, Los Angeles, California",Utah Jazz,Los Angeles Clippers,"15,422",94.6,Bill Kennedy, Mark Lindsay, Gary Zielinski,19,24,27,34,0,104,109.9,114.1,29,24,29,26,0,108,114.1,109.9
5,201003010MEM,"8:00 PM, March 1, 2010",2010,"FedEx Forum, Memphis, Tennessee",Portland Trail Blazers,Memphis Grizzlies,"11,123",92.9,Tony Brothers, Ed Malloy, Tommy Nunez,21,20,41,21,0,103,110.8,100.1,27,26,21,19,0,93,100.1,110.8
6,201003010NOH,"8:00 PM, March 1, 2010",2010,"New Orleans Arena, New Orleans, Louisiana",San Antonio Spurs,New Orleans Hornets,"13,655",87.6,Mike Callahan, Marat Kogut, Zach Zarba,31,27,22,26,0,106,120.9,105.0,24,23,26,19,0,92,105.0,120.9
7,201003010PHI,"7:00 PM, March 1, 2010",2010,"Wachovia Center, Philadelphia, Pennsylvania",Orlando Magic,Philadelphia 76ers,"15,817",90.8,Marc Davis, Kevin Fehr, David Jones,35,33,34,24,0,126,138.8,115.7,36,25,20,24,0,105,115.7,138.8
8,201003010PHO,"9:00 PM, March 1, 2010",2010,"US Airways Center, Phoenix, Arizona",Denver Nuggets,Phoenix Suns,"18,159",88.1,Matt Boland, Eric Dalen, Mark Wunderlich,33,11,23,18,0,85,96.5,114.6,24,33,27,17,0,101,114.6,96.5
9,201003020DET,"7:30 PM, March 2, 2010",2010,"The Palace of Auburn Hills, Auburn Hills, Michigan",Boston Celtics,Detroit Pistons,"17,956",90.2,Jason Phillips, Greg Willard, Haywoode Workman,25,30,17,33,0,105,116.4,110.8,25,27,23,25,0,100,110.8,116.4
10,201003020LAL,"10:30 PM, March 2, 2010",2010,"STAPLES Center, Los Angeles, California",Indiana Pacers,Los Angeles Lakers,"18,997",96.8,Brian Forte, Tom Washington, Gary Zielinski,28,26,17,28,0,99,102.2,126.0,27,33,38,24,0,122,126.0,102.2
11,201003020MIA,"7:30 PM, March 2, 2010",2010,"AmericanAirlines Arena, Miami, Florida",Golden State Warriors,Miami Heat,"15,213",99.9,Kane Fitzgerald, Bill Spooner, Zach Zarba,34,20,24,28,0,106,106.1,110.1,33,23,30,24,0,110,110.1,106.1
12,201003020OKC,"8:00 PM, March 2, 2010",2010,"Oklahoma City Arena, Oklahoma City, Oklahoma",Sacramento Kings,Oklahoma City Thunder,"17,677",89.4,Monty McCutchen, Leroy Richardson, Leon Wood,25,33,24,25,0,107,119.7,126.4,28,37,25,23,0,113,126.4,119.7
13,201003030ATL,"7:00 PM, March 3, 2010",2010,"Philips Arena, Atlanta, Georgia",Philadelphia 76ers,Atlanta Hawks,"15,408",95.7,Scott Foster, Ed Malloy, Sean Wright,22,29,17,25,0,93,97.2,117.0,32,29,26,25,0,112,117.0,97.2
14,201003030BOS,"7:30 PM, March 3, 2010",2010,"TD Garden, Boston, Massachusetts",Charlotte Bobcats,Boston Celtics,"18,624",89.0,Mark Ayotte, Dick Bavetta, Olandis Poole,21,24,16,19,0,80,89.9,116.9,31,23,28,22,0,104,116.9,89.9
