Index,game_id,date,season,arena,away_name,home_name,pace,attendance,ref1,ref2,ref3,away_q1,away_q2,away_q3,away_q4,away_ot,away_final,away_ortg,away_drtg,home_q1,home_q2,home_q3,home_q4,home_ot,home_final,home_ortg,home_drtg
0,201603010CHO,"7:00 PM, March 1, 2016",2016,"Time Warner Cable Arena, Charlotte, North Carolina",Phoenix Suns,Charlotte Hornets,"16,849",98.3,Bennie Adams, Scott Twardoski, Zach Zarba,18,24,19,31,0,92,93.6,128.1,35,33,30,28,0,126,128.1,93.6
1,201603010DAL,"8:30 PM, March 1, 2016",2016,"American Airlines Center, Dallas, Texas",Orlando Magic,Dallas Mavericks,"19,546",96.4,Tony Brown, Tyler Ford, Tom Washington,27,34,20,27,0,108,112.1,125.6,35,34,27,25,0,121,125.6,112.1
2,201603010GSW,"10:30 PM, March 1, 2016",2016,"Oracle Arena, Oakland, California",Atlanta Hawks,Golden State Warriors,"19,596",89.1,Marc Davis, Leroy Richardson, Haywoode Workman,26,22,22,27,8,105,106.7,110.8,32,27,16,22,12,109,110.8,106.7
3,201603010LAL,"10:30 PM, March 1, 2016",2016,"STAPLES Center, Los Angeles, California",Brooklyn Nets,Los Angeles Lakers,"18,997",95.2,Kevin Cutler, Scott Foster, Courtney Kirkland,19,31,24,27,0,101,106.1,112.4,24,34,21,28,0,107,112.4,106.1
4,201603010MIA,"7:30 PM, March 1, 2016",2016,"AmericanAirlines Arena, Miami, Florida",Chicago Bulls,Miami Heat,"19,654",98.6,Brent Barnaky, Ron Garretson, Leon Wood,30,32,20,29,0,111,112.6,130.9,36,29,30,34,0,129,130.9,112.6
5,201603010NYK,"7:30 PM, March 1, 2016",2016,"Madison Square Garden (IV), New York, New York",Portland Trail Blazers,New York Knicks,"19,812",93.5,Monty McCutchen, Gediminas Petraitis, Kevin Scott,27,31,27,19,0,104,111.2,90.9,25,25,22,13,0,85,90.9,111.2
6,201603020BOS,"7:30 PM, March 2, 2016",2016,"TD Garden, Boston, Massachusetts",Portland Trail Blazers,Boston Celtics,"18,624",95.6,Mark Ayotte, Tony Brothers, Eli Roe,33,22,12,26,0,93,97.3,121.4,30,31,30,25,0,116,121.4,97.3
7,201603020DEN,"9:00 PM, March 2, 2016",2016,"Pepsi Center, Denver, Colorado",Los Angeles Lakers,Denver Nuggets,"20,096",92.9,Bill Spooner, Josh Tiven, Justin Van Duyne,29,31,22,25,0,107,115.2,126.0,27,30,26,34,0,117,126.0,115.2
8,201603020HOU,"8:00 PM, March 2, 2016",2016,"Toyota Center, Houston, Texas",New Orleans Pelicans,Houston Rockets,"18,226",109.4,Brent Barnaky, Kane Fitzgerald, Rodney Mott,28,24,24,19,0,95,86.9,91.4,25,28,23,24,0,100,91.4,86.9
9,201603020LAC,"10:30 PM, March 2, 2016",2016,"STAPLES Center, Los Angeles, California",Oklahoma City Thunder,Los Angeles Clippers,"19,304",98.2,Dan Crawford, David Guthrie, Gary Zielinski,37,21,27,13,0,98,99.8,104.9,24,14,30,35,0,103,104.9,99.8
10,201603020MEM,"8:00 PM, March 2, 2016",2016,"FedEx Forum, Memphis, Tennessee",Sacramento Kings,Memphis Grizzlies,"15,310",95.3,James Capers, Marat Kogut, James Williams,28,15,35,20,0,98,102.8,109.1,31,28,24,21,0,104,109.1,102.8
11,201603020MIL,"8:00 PM, March 2, 2016",2016,"BMO Harris Bradley Center, Milwaukee, Wisconsin",Indiana Pacers,Milwaukee Bucks,"14,263",93.2,Mitchell Ervin, David Jones, Derrick Stafford,22,27,24,31,0,104,111.6,106.2,22,17,24,36,0,99,106.2,111.6
12,201603020MIN,"8:00 PM, March 2, 2016",2016,"Target Center, Minneapolis, Minnesota",Washington Wizards,Minnesota Timberwolves,"11,307",99.0,Lauren Holtkamp, Jason Phillips, Scott Wall,29,31,25,19,0,104,105.1,99.0,32,22,23,21,0,98,99.0,105.1
13,201603020ORL,"7:00 PM, March 2, 2016",2016,"Amway Center, Orlando, Florida",Chicago Bulls,Orlando Magic,"16,072",105.3,Matt Boland, Sean Corbin, Eric Dalen,23,27,17,22,0,89,84.5,96.8,33,27,24,18,0,102,96.8,84.5
14,201603020PHI,"7:00 PM, March 2, 2016",2016,"Wells Fargo Center, Philadelphia, Pennsylvania",Charlotte Hornets,Philadelphia 76ers,"11,143",99.8,Steve Anderson, Nick Buchert, Bill Kennedy,32,26,25,36,0,119,119.2,99.2,29,21,24,25,0,99,99.2,119.2
15,201603020SAS,"8:00 PM, March 2, 2016",2016,"AT&T Center, San Antonio, Texas",Detroit Pistons,San Antonio Spurs,"18,418",92.1,John Goble, Karl Lane, Eric Lewis,26,25,14,16,0,81,88.0,105.4,28,24,27,18,0,97,105.4,88.0
16,201603020TOR,"7:30 PM, March 2, 2016",2016,"Air Canada Centre, Toronto, Canada",Utah Jazz,Toronto Raptors,"19,800",85.9,Pat Fraher, J.T. Orr, Michael Smith,26,23,25,20,0,94,109.4,121.0,24,28,33,19,0,104,121.0,109.4
17,201603030DAL,"8:30 PM, March 3, 2016",2016,"American Airlines Center, Dallas, Texas",Sacramento Kings,Dallas Mavericks,"19,910",95.5,Bennie Adams, John Goble, Gediminas Petraitis,19,31,23,31,0,104,108.9,105.8,24,21,24,32,0,101,105.8,108.9
18,201603030GSW,"10:30 PM, March 3, 2016",2016,"Oracle Arena, Oakland, California",Oklahoma City Thunder,Golden State Warriors,"19,596",99.1,Mike Callahan, Courtney Kirkland, Derek Richardson,28,33,22,23,0,106,106.9,122.0,29,34,19,39,0,121,122.0,106.9
19,201603030MIA,"7:30 PM, March 3, 2016",2016,"AmericanAirlines Arena, Miami, Florida",Phoenix Suns,Miami Heat,"19,600",95.9,Matt Boland, Tyler Ford, Brian Forte,21,22,25,24,0,92,95.9,112.6,29,28,27,24,0,108,112.6,95.9
20,201603030NOP,"8:00 PM, March 3, 2016",2016,"Smoothie King Center, New Orleans, Louisiana",San Antonio Spurs,New Orleans Pelicans,"17,781",93.5,Mark Lindsay, Ken Mauer, Leon Wood,22,23,23,26,0,94,100.5,91.9,26,20,22,18,0,86,91.9,100.5
21,201603040BOS,"7:30 PM, March 4, 2016",2016,"TD Garden, Boston, Massachusetts",New York Knicks,Boston Celtics,"18,624",95.1,Tony Brown, Marc Davis, Mitchell Ervin,31,27,29,17,0,104,109.3,110.4,27,26,28,24,0,105,110.4,109.3
