Index,game_id,date,season,arena,away_name,home_name,attendance,pace,ref1,ref2,ref3,away_q1,away_q2,away_q3,away_q4,away_ot,away_final,away_ortg,away_drtg,home_q1,home_q2,home_q3,home_q4,home_ot,home_final,home_ortg,home_drtg
0,201903010ATL,"7:30 PM, March 1, 2019",2019,"State Farm Arena, Atlanta, Georgia",Chicago Bulls,Atlanta Hawks,"15,267",100.6,Jacyn Goble,Gediminas Petraitis,Zach Zarba,26,31,38,29,44,168,117.9,112.9,33,27,24,40,37,161,112.9,117.9
1,201903010BOS,"8:00 PM, March 1, 2019",2019,"TD Garden, Boston, Massachusetts",Washington Wizards,Boston Celtics,"18,624",101.1,Ray Acosta,Mark Ayotte,Josh Tiven,20,25,36,15,0,96,94.9,105.8,30,19,33,25,0,107,105.8,94.9
2,201903010BRK,"7:30 PM, March 1, 2019",2019,"Barclays Center, Brooklyn, New York",Charlotte Hornets,Brooklyn Nets,"15,578",100.9,Courtney Kirkland,Rodney Mott,Justin Van Duyne,31,37,30,25,0,123,121.9,111.0,32,18,36,26,0,112,111.0,121.9
3,201903010LAL,"10:30 PM, March 1, 2019",2019,"STAPLES Center, Los Angeles, California",Milwaukee Bucks,Los Angeles Lakers,"18,997",102.3,James Capers,Derrick Collins,J.B. DeRosa,27,32,34,38,0,131,128.1,117.3,26,39,29,26,0,120,117.3,128.1
4,201903010PHO,"9:00 PM, March 1, 2019",2019,"Talking Stick Resort Arena, Phoenix, Arizona",New Orleans Pelicans,Phoenix Suns,"14,123",109.6,Matt Boland,Derek Richardson,Sean Wright,27,29,38,36,0,130,118.6,105.9,32,25,27,32,0,116,105.9,118.6
5,201903010SAC,"10:00 PM, March 1, 2019",2019,"Golden 1 Center, Sacramento, California",Los Angeles Clippers,Sacramento Kings,"17,583",100.9,Brent Barnaky,Pat Fraher,Leon Wood,26,26,35,29,0,116,115.0,108.0,23,33,26,27,0,109,108.0,115.0
6,201903010TOR,"8:00 PM, March 1, 2019",2019,"Scotiabank Arena, Toronto, Canada",Portland Trail Blazers,Toronto Raptors,"19,800",100.4,Karl Lane,Jason Phillips,Aaron Smith,24,30,30,33,0,117,116.5,118.5,31,30,32,26,0,119,118.5,116.5
7,201903020CLE,"5:00 PM, March 2, 2019",2019,"Quicken Loans Arena, Cleveland, Ohio",Detroit Pistons,Cleveland Cavaliers,"19,432",92.6,Curtis Blair,Jason Goldenberg,James Williams,42,29,29,29,0,129,139.4,100.5,23,15,34,21,0,93,100.5,139.4
8,201903020DAL,"8:30 PM, March 2, 2019",2019,"American Airlines Center, Dallas, Texas",Memphis Grizzlies,Dallas Mavericks,"20,233",96.0,Eric Lewis,Matt Myers,Scott Wall,33,29,28,21,0,111,115.6,84.4,21,28,18,14,0,81,84.4,115.6
9,201903020DEN,"9:00 PM, March 2, 2019",2019,"Pepsi Center, Denver, Colorado",New Orleans Pelicans,Denver Nuggets,"19,978",108.6,Tony Brown,Jonathan Sterling,Tom Washington,27,40,29,24,0,120,110.5,103.1,39,32,22,19,0,112,103.1,110.5
