Index,game_id,date,season,arena,away_name,home_name,pace,attendance,ref1,ref2,ref3,away_q1,away_q2,away_q3,away_q4,away_ot,away_final,away_ortg,away_drtg,home_q1,home_q2,home_q3,home_q4,home_ot,home_final,home_ortg,home_drtg
0,200505010MEM,"8:00 PM, May 1, 2005",2005,"FedEx Forum, Memphis, Tennessee",Phoenix Suns,Memphis Grizzlies,"17,243",95.5,Ron Garretson, Ken Mauer, Mark Wunderlich,39,24,28,32,0,123,128.8,120.4,20,36,26,33,0,115,120.4,128.8
1,200505010NJN,"3:30 PM, May 1, 2005",2005,"Continental Airlines Arena, East Rutherford, New Jersey",Miami Heat,New Jersey Nets,"20,174",97.0,Sean Corbin, Monty McCutchen, Eddie F. Rush,27,21,30,32,0,110,113.5,100.0,16,31,23,27,0,97,100.0,113.5
2,200505010PHI,"1:00 PM, May 1, 2005",2005,"Wachovia Center, Philadelphia, Pennsylvania",Detroit Pistons,Philadelphia 76ers,"15,894",84.4,Bob Delaney, Steve Javie, David Jones,21,20,19,23,14,97,104.1,98.7,24,14,23,22,9,92,98.7,104.1
3,200505010SAC,"10:30 PM, May 1, 2005",2005,"ARCO Arena (II), Sacramento, California",Seattle SuperSonics,Sacramento Kings,"17,317",93.3,Bernie Fryer, Jack Nies, Bill Spooner,20,36,24,35,0,115,123.3,109.4,31,37,16,18,0,102,109.4,123.3
4,200505020DAL,"8:00 PM, May 2, 2005",2005,"American Airlines Center, Dallas, Texas",Houston Rockets,Dallas Mavericks,"20,894",88.7,Tony Brothers, Joe DeRosa, Bennett Salvatore,22,22,24,32,0,100,112.8,116.1,24,28,24,27,0,103,116.1,112.8
5,200505020DEN,"10:30 PM, May 2, 2005",2005,"Pepsi Center, Denver, Colorado",San Antonio Spurs,Denver Nuggets,"19,776",92.1,Bennie Adams, Dick Bavetta, Derrick Stafford,28,29,30,20,19,126,123.9,113.1,27,24,29,27,8,115,113.1,123.9
6,200505020WAS,"7:30 PM, May 2, 2005",2005,"MCI Center, Washington, District of Columbia",Chicago Bulls,Washington Wizards,"20,173",95.5,James Capers, Dan Crawford, Joe Forte,15,22,23,39,0,99,103.7,111.0,29,32,19,26,0,106,111.0,103.7
7,200505030BOS,"7:30 PM, May 3, 2005",2005,"FleetCenter, Boston, Massachusetts",Indiana Pacers,Boston Celtics,"18,624",88.8,Ron Garretson, Ken Mauer, Monty McCutchen,23,27,20,20,0,90,101.4,95.7,21,21,23,20,0,85,95.7,101.4
8,200505030DET,"8:00 PM, May 3, 2005",2005,"The Palace of Auburn Hills, Auburn Hills, Michigan",Philadelphia 76ers,Detroit Pistons,"22,076",84.4,Sean Corbin, Scott Foster, Eddie F. Rush,24,20,17,17,0,78,92.4,104.3,21,22,17,28,0,88,104.3,92.4
9,200505030SEA,"10:30 PM, May 3, 2005",2005,"KeyArena at Seattle Center, Seattle, Washington",Sacramento Kings,Seattle SuperSonics,"17,072",92.8,Steve Javie, Tom Washington, Mark Wunderlich,24,33,36,25,0,118,127.2,131.5,29,31,30,32,0,122,131.5,127.2
10,200505040CHI,"7:00 PM, May 4, 2005",2005,"United Center, Chicago, Illinois",Washington Wizards,Chicago Bulls,"22,250",98.6,Bob Delaney, Derrick Stafford, Greg Willard,34,29,23,26,0,112,113.6,111.5,28,21,24,37,0,110,111.5,113.6
