Index,game_id,date,season,arena,away_name,home_name,att,pace,ref1,ref2,ref3,away_q1,away_q2,away_q3,away_q4,away_ot,away_final,away_ortg,away_drtg,home_q1,home_q2,home_q3,home_q4,home_ot,home_final,home_ortg,home_drtg
0,201105010MIA,"3:30 PM, May 1, 2011",2011,"AmericanAirlines Arena, Miami, Florida",Boston Celtics,Miami Heat,"20,021",89.5,Derrick Collins, Dan Crawford, Ed Malloy,14,22,26,28,0,90,100.6,110.7,20,31,25,23,0,99,110.7,100.6
1,201105010OKC,"1:00 PM, May 1, 2011",2011,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",Memphis Grizzlies,Oklahoma City Thunder,"18,203",90.1,Joe Crawford, Marc Davis, Zach Zarba,28,29,27,30,0,114,126.5,112.1,24,23,24,30,0,101,112.1,126.5
2,201105020CHI,"8:00 PM, May 2, 2011",2011,"United Center, Chicago, Illinois",Atlanta Hawks,Chicago Bulls,"22,890",86.8,John Goble, Ken Mauer, Monty McCutchen,28,23,21,31,0,103,118.7,109.4,18,32,21,24,0,95,109.4,118.7
3,201105020LAL,"10:30 PM, May 2, 2011",2011,"STAPLES Center, Los Angeles, California",Dallas Mavericks,Los Angeles Lakers,"18,997",89.7,Bob Delaney, Steve Javie, Michael Smith,25,19,27,25,0,96,107.0,104.7,23,30,25,16,0,94,104.7,107.0
4,201105030MIA,"7:00 PM, May 3, 2011",2011,"AmericanAirlines Arena, Miami, Florida",Boston Celtics,Miami Heat,"20,104",86.8,Joe Crawford, Jason Phillips, Greg Willard,26,16,25,24,0,91,104.9,117.5,27,20,25,30,0,102,117.5,104.9
5,201105030OKC,"9:30 PM, May 3, 2011",2011,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",Memphis Grizzlies,Oklahoma City Thunder,"18,203",93.3,Tony Brothers, Bill Kennedy, Derrick Stafford,17,27,24,34,0,102,109.4,119.0,28,26,22,35,0,111,119.0,109.4
6,201105040CHI,"8:00 PM, May 4, 2011",2011,"United Center, Chicago, Illinois",Atlanta Hawks,Chicago Bulls,"22,872",87.5,Mike Callahan, Scott Foster, Sean Wright,19,18,21,15,0,73,83.5,98.3,25,23,17,21,0,86,98.3,83.5
7,201105040LAL,"10:30 PM, May 4, 2011",2011,"STAPLES Center, Los Angeles, California",Dallas Mavericks,Los Angeles Lakers,"18,997",85.8,Monty McCutchen, Bennett Salvatore, Bill Spooner,26,25,17,25,0,93,108.4,94.4,20,29,13,19,0,81,94.4,108.4
8,201105060ATL,"7:00 PM, May 6, 2011",2011,"Philips Arena, Atlanta, Georgia",Chicago Bulls,Atlanta Hawks,"19,521",79.5,Marc Davis, Ron Garretson, Greg Willard,29,27,24,19,0,99,124.5,103.1,23,20,20,19,0,82,103.1,124.5
9,201105060DAL,"9:30 PM, May 6, 2011",2011,"American Airlines Center, Dallas, Texas",Los Angeles Lakers,Dallas Mavericks,"21,156",82.5,Ed Malloy, Derrick Stafford, Tom Washington,27,24,21,20,0,92,111.5,118.8,29,18,19,32,0,98,118.8,111.5
10,201105070BOS,"8:00 PM, May 7, 2011",2011,"TD Garden, Boston, Massachusetts",Miami Heat,Boston Celtics,"18,624",81.3,Bob Delaney, Steve Javie, Bill Kennedy,21,25,15,20,0,81,99.6,119.3,27,17,28,25,0,97,119.3,99.6
11,201105070MEM,"5:00 PM, May 7, 2011",2011,"FedEx Forum, Memphis, Tennessee",Oklahoma City Thunder,Memphis Grizzlies,"18,119",85.4,Mike Callahan, Pat Fraher, Ken Mauer,20,31,25,10,7,93,98.6,107.1,22,21,20,23,15,101,107.1,98.6
12,201105080ATL,"8:00 PM, May 8, 2011",2011,"Philips Arena, Atlanta, Georgia",Chicago Bulls,Atlanta Hawks,"19,263",87.9,Dan Crawford, Bennett Salvatore, Gary Zielinski,26,20,23,19,0,88,100.1,113.8,28,19,20,33,0,100,113.8,100.1
13,201105080DAL,"3:30 PM, May 8, 2011",2011,"American Airlines Center, Dallas, Texas",Los Angeles Lakers,Dallas Mavericks,"21,087",92.5,Scott Foster, Ron Garretson, Jason Phillips,23,16,23,24,0,86,92.9,131.8,27,36,23,36,0,122,131.8,92.9
14,201105090BOS,"7:00 PM, May 9, 2011",2011,"TD Garden, Boston, Massachusetts",Miami Heat,Boston Celtics,"18,624",85.1,Tony Brothers, Monty McCutchen, Derrick Stafford,28,22,19,17,12,98,104.3,95.8,31,22,20,13,4,90,95.8,104.3
15,201105090MEM,"9:30 PM, May 9, 2011",2011,"FedEx Forum, Memphis, Tennessee",Oklahoma City Thunder,Memphis Grizzlies,"18,119",87.1,John Goble, Bill Spooner, Greg Willard,16,33,22,25,37,133,116.3,107.6,28,25,19,24,27,123,107.6,116.3
16,201105100CHI,"8:00 PM, May 10, 2011",2011,"United Center, Chicago, Illinois",Atlanta Hawks,Chicago Bulls,"22,980",79.8,Steve Javie, Bill Kennedy, Tom Washington,21,21,26,15,0,83,104.0,119.0,32,16,21,26,0,95,119.0,104.0
17,201105110MIA,"7:00 PM, May 11, 2011",2011,"AmericanAirlines Arena, Miami, Florida",Boston Celtics,Miami Heat,"20,208",85.8,Scott Foster, Ron Garretson, Bill Spooner,24,25,24,14,0,87,101.4,113.1,16,31,24,26,0,97,113.1,101.4
18,201105110OKC,"9:30 PM, May 11, 2011",2011,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",Memphis Grizzlies,Oklahoma City Thunder,"18,203",89.1,Monty McCutchen, Jason Phillips, Bennett Salvatore,17,18,17,20,0,72,80.8,111.1,17,29,25,28,0,99,111.1,80.8
19,201105120ATL,"8:00 PM, May 12, 2011",2011,"Philips Arena, Atlanta, Georgia",Chicago Bulls,Atlanta Hawks,"19,378",83.9,Joe Crawford, Bob Delaney, Ed Malloy,27,18,25,23,0,93,110.8,87.0,17,18,18,20,0,73,87.0,110.8
20,201105130MEM,"9:00 PM, May 13, 2011",2011,"FedEx Forum, Memphis, Tennessee",Oklahoma City Thunder,Memphis Grizzlies,"18,119",93.6,Marc Davis, Scott Foster, Ron Garretson,21,33,14,15,0,83,88.7,101.5,23,21,28,23,0,95,101.5,88.7
21,201105150CHI,"8:00 PM, May 15, 2011",2011,"United Center, Chicago, Illinois",Miami Heat,Chicago Bulls,"22,874",82.6,Dan Crawford, Ken Mauer, Michael Smith,23,25,15,19,0,82,99.3,124.8,20,28,24,31,0,103,124.8,99.3
22,201105150OKC,"3:30 PM, May 15, 2011",2011,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",Memphis Grizzlies,Oklahoma City Thunder,"18,203",84.4,Mike Callahan, Steve Javie, Ed Malloy,17,17,24,32,0,90,106.6,124.3,21,21,30,33,0,105,124.3,106.6
23,201105170DAL,"9:00 PM, May 17, 2011",2011,"American Airlines Center, Dallas, Texas",Oklahoma City Thunder,Dallas Mavericks,"20,911",90.0,Joe Crawford, Bill Kennedy, Zach Zarba,27,21,31,33,0,112,124.4,134.4,20,35,35,31,0,121,134.4,124.4
24,201105180CHI,"8:30 PM, May 18, 2011",2011,"United Center, Chicago, Illinois",Miami Heat,Chicago Bulls,"23,007",82.4,Monty McCutchen, Jason Phillips, Derrick Stafford,19,29,23,14,0,85,103.2,91.0,26,20,19,10,0,75,91.0,103.2
25,201105190DAL,"9:00 PM, May 19, 2011",2011,"American Airlines Center, Dallas, Texas",Oklahoma City Thunder,Dallas Mavericks,"21,051",85.5,Bill Spooner, Tom Washington, Greg Willard,26,33,18,29,0,106,124.0,117.0,31,26,19,24,0,100,117.0,124.0
26,201105210OKC,"9:00 PM, May 21, 2011",2011,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",Dallas Mavericks,Oklahoma City Thunder,"18,203",89.0,Marc Davis, Bob Delaney, Scott Foster,27,25,18,23,0,93,104.5,97.8,12,24,20,31,0,87,97.8,104.5
27,201105220MIA,"8:30 PM, May 22, 2011",2011,"AmericanAirlines Arena, Miami, Florida",Chicago Bulls,Miami Heat,"20,123",82.0,Mike Callahan, Ron Garretson, Steve Javie,15,25,25,20,0,85,103.7,117.1,18,25,25,28,0,96,117.1,103.7
28,201105230OKC,"9:00 PM, May 23, 2011",2011,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",Dallas Mavericks,Oklahoma City Thunder,"18,203",93.8,Tony Brothers, Dan Crawford, Ken Mauer,22,32,23,24,11,112,108.2,101.4,31,28,22,20,4,105,101.4,108.2
29,201105240MIA,"8:30 PM, May 24, 2011",2011,"AmericanAirlines Arena, Miami, Florida",Chicago Bulls,Miami Heat,"20,125",89.6,Joe Crawford, Ed Malloy, Bennett Salvatore,19,27,22,17,8,93,94.0,102.1,16,28,19,22,16,101,102.1,94.0
30,201105250DAL,"9:00 PM, May 25, 2011",2011,"American Airlines Center, Dallas, Texas",Oklahoma City Thunder,Dallas Mavericks,"21,092",89.1,Monty McCutchen, Jason Phillips, Derrick Stafford,27,28,21,20,0,96,107.7,112.2,26,26,20,28,0,100,112.2,107.7
31,201105260CHI,"8:30 PM, May 26, 2011",2011,"United Center, Chicago, Illinois",Miami Heat,Chicago Bulls,"23,057",87.1,Marc Davis, Scott Foster, Greg Willard,21,17,19,26,0,83,95.3,91.9,25,20,17,18,0,80,91.9,95.3
32,201105310MIA,"9:00 PM, May 31, 2011",2011,"AmericanAirlines Arena, Miami, Florida",Dallas Mavericks,Miami Heat,"20,003",82.7,Mike Callahan, Steve Javie, Bill Kennedy,17,27,17,23,0,84,101.5,111.2,16,27,22,27,0,92,111.2,101.5
