Index,game_id,date,season,arena,away_name,home_name,att,pace,ref1,ref2,ref3,away_q1,away_q2,away_q3,away_q4,away_ot,away_final,away_ortg,away_drtg,home_q1,home_q2,home_q3,home_q4,home_ot,home_final,home_ortg,home_drtg
0,200411020DAL,"8:30 PM, November 2, 2004",2005,"American Airlines Center, Dallas, Texas",Sacramento Kings,Dallas Mavericks,"20,041",91.4,Dick Bavetta, Gary Benson, Jess Kersey,23,17,26,32,0,98,107.3,117.1,30,24,25,28,0,107,117.1,107.3
1,200411020DET,"8:00 PM, November 2, 2004",2005,"The Palace of Auburn Hills, Auburn Hills, Michigan",Houston Rockets,Detroit Pistons,"22,076",82.5,Scott Foster, Steve Javie, Zach Zarba,18,20,21,20,0,79,95.8,105.5,19,18,22,28,0,87,105.5,95.8
2,200411020LAL,"10:30 PM, November 2, 2004",2005,"STAPLES Center, Los Angeles, California",Denver Nuggets,Los Angeles Lakers,"18,997",92.2,Joe Crawford, Marc Davis, David Jones,14,17,26,21,0,78,84.6,96.5,24,26,22,17,0,89,96.5,84.6
3,200411030BOS,"7:30 PM, November 3, 2004",2005,"FleetCenter, Boston, Massachusetts",Philadelphia 76ers,Boston Celtics,"18,624",89.9,Kevin Fehr, Jack Nies, Violet Palmer,27,24,20,27,0,98,109.1,105.7,22,31,30,12,0,95,105.7,109.1
4,200411030CLE,"7:00 PM, November 3, 2004",2005,"Gund Arena, Cleveland, Ohio",Indiana Pacers,Cleveland Cavaliers,"19,730",85.0,Ed Malloy, Ken Mauer, Greg Willard,26,20,17,22,24,109,106.1,101.3,21,19,27,18,19,104,101.3,106.1
5,200411030GSW,"10:30 PM, November 3, 2004",2005,"Oakland Arena, Oakland, California",Portland Trail Blazers,Golden State Warriors,"15,351",87.0,Bennie Adams, Courtney Kirkland, Eddie F. Rush,18,19,16,25,0,78,89.6,86.2,16,23,20,16,0,75,86.2,89.6
6,200411030LAC,"10:30 PM, November 3, 2004",2005,"STAPLES Center, Los Angeles, California",Seattle SuperSonics,Los Angeles Clippers,"13,371",82.9,Ron Garretson, Bill Kennedy, Tommy Nunez,17,24,20,23,0,84,101.3,137.4,30,30,25,29,0,114,137.4,101.3
7,200411030MEM,"8:00 PM, November 3, 2004",2005,"FedEx Forum, Memphis, Tennessee",Washington Wizards,Memphis Grizzlies,"18,119",93.8,Dan Crawford, Michael Henderson, Bill Spooner,16,28,32,27,0,103,109.8,97.0,27,25,11,28,0,91,97.0,109.8
8,200411030MIN,"8:00 PM, November 3, 2004",2005,"Target Center, Minneapolis, Minnesota",New York Knicks,Minnesota Timberwolves,"17,295",99.1,Scott Foster, Steve Javie, Leroy Richardson,30,21,25,17,0,93,93.8,99.9,25,33,23,18,0,99,99.9,93.8
9,200411030NJN,"8:00 PM, November 3, 2004",2005,"Continental Airlines Arena, East Rutherford, New Jersey",Miami Heat,New Jersey Nets,"17,260",86.8,Bernie Fryer, Jason Phillips, Michael Smith,29,17,28,26,0,100,115.2,88.7,15,26,15,21,0,77,88.7,115.2
