Index,game_id,date,season,arena,away_name,home_name,pace,attendance,ref1,ref2,ref3,away_q1,away_q2,away_q3,away_q4,away_ot,away_final,away_ortg,away_drtg,home_q1,home_q2,home_q3,home_q4,home_ot,home_final,home_ortg,home_drtg
0,201211010SAS,"9:30 PM, November 1, 2012",2013,"AT&T Center, San Antonio, Texas",Oklahoma City Thunder,San Antonio Spurs,"18,581",91.1,Mark Ayotte, Derrick Collins, Dan Crawford,24,16,26,18,0,84,92.2,94.4,21,24,21,20,0,86,94.4,92.2
1,201211020ATL,"7:30 PM, November 2, 2012",2013,"Philips Arena, Atlanta, Georgia",Houston Rockets,Atlanta Hawks,"18,238",97.4,Brent Barnaky, Ed Malloy, Sean Wright,28,25,28,28,0,109,111.9,104.7,21,23,30,28,0,102,104.7,111.9
2,201211020BOS,"7:30 PM, November 2, 2012",2013,"TD Garden, Boston, Massachusetts",Milwaukee Bucks,Boston Celtics,"18,624",94.8,David Jones, Violet Palmer, Bill Spooner,25,21,30,23,0,99,104.4,92.8,18,12,28,30,0,88,92.8,104.4
3,201211020CHA,"7:00 PM, November 2, 2012",2013,"Time Warner Cable Arena, Charlotte, North Carolina",Indiana Pacers,Charlotte Bobcats,"19,124",93.4,Ron Garretson, J.T. Orr, Leroy Richardson,20,23,27,19,0,89,95.3,96.4,17,22,35,16,0,90,96.4,95.3
4,201211020CLE,"7:30 PM, November 2, 2012",2013,"Quicken Loans Arena, Cleveland, Ohio",Chicago Bulls,Cleveland Cavaliers,"20,562",94.0,Lauren Holtkamp, Courtney Kirkland, Monty McCutchen,32,28,23,32,0,115,122.3,91.5,16,19,21,30,0,86,91.5,122.3
5,201211020GSW,"10:30 PM, November 2, 2012",2013,"Oracle Arena, Oakland, California",Memphis Grizzlies,Golden State Warriors,"19,596",93.3,Ken Mauer, Olandis Poole, Leon Wood,28,23,24,29,0,104,111.5,100.8,20,27,16,31,0,94,100.8,111.5
6,201211020LAL,"10:30 PM, November 2, 2012",2013,"STAPLES Center, Los Angeles, California",Los Angeles Clippers,Los Angeles Lakers,"18,997",93.3,Bennie Adams, Mike Callahan, Kevin Cutler,28,24,30,23,0,105,112.5,101.8,23,24,20,28,0,95,101.8,112.5
7,201211020MIN,"8:00 PM, November 2, 2012",2013,"Target Center, Minneapolis, Minnesota",Sacramento Kings,Minnesota Timberwolves,"19,356",92.1,Curtis Blair, Sean Corbin, Tom Washington,18,23,24,15,0,80,86.9,99.9,28,22,20,22,0,92,99.9,86.9
8,201211020NOH,"8:00 PM, November 2, 2012",2013,"New Orleans Arena, New Orleans, Louisiana",Utah Jazz,New Orleans Hornets,"14,147",84.8,Tony Brown, Jason Phillips, Scott Wall,19,22,22,23,0,86,101.4,103.7,19,21,27,21,0,88,103.7,101.4
9,201211020NYK,"8:00 PM, November 2, 2012",2013,"Madison Square Garden (IV), New York, New York",Miami Heat,New York Knicks,"19,033",88.4,Nick Buchert, Michael Smith, Derrick Stafford,17,27,19,21,0,84,95.0,117.6,33,22,26,23,0,104,117.6,95.0
10,201211020OKC,"8:00 PM, November 2, 2012",2013,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",Portland Trail Blazers,Oklahoma City Thunder,"18,203",94.6,James Capers, Pat Fraher, John Goble,21,21,24,26,0,92,97.2,112.0,26,23,25,32,0,106,112.0,97.2
11,201211020ORL,"7:00 PM, November 2, 2012",2013,"Amway Center, Orlando, Florida",Denver Nuggets,Orlando Magic,"18,846",91.8,Dick Bavetta, Marc Davis, Karl Lane,18,19,31,21,0,89,96.9,111.1,29,29,20,24,0,102,111.1,96.9
12,201211020PHO,"10:00 PM, November 2, 2012",2013,"US Airways Center, Phoenix, Arizona",Detroit Pistons,Phoenix Suns,"15,107",92.6,Eric Dalen, Scott Foster, Rodney Mott,28,18,17,26,0,89,96.1,99.4,24,30,17,21,0,92,99.4,96.1
13,201211030BRK,"7:30 PM, November 3, 2012",2013,"Barclays Center, Brooklyn, New York",Toronto Raptors,Brooklyn Nets,"17,732",97.8,Matt Boland, Bennett Salvatore, Gary Zielinski,35,17,26,22,0,100,102.3,109.4,27,33,24,23,0,107,109.4,102.3
14,201211030CHI,"8:00 PM, November 3, 2012",2013,"United Center, Chicago, Illinois",New Orleans Hornets,Chicago Bulls,"21,758",89.7,Kane Fitzgerald, Tom Washington, James Williams,21,25,20,23,0,89,99.2,91.4,18,26,16,22,0,82,91.4,99.2
15,201211030DAL,"8:30 PM, November 3, 2012",2013,"American Airlines Center, Dallas, Texas",Charlotte Bobcats,Dallas Mavericks,"19,490",96.7,Tony Brothers, Tony Brown, Haywoode Workman,19,34,28,18,0,99,102.4,130.3,31,30,36,29,0,126,130.3,102.4
16,201211030HOU,"8:00 PM, November 3, 2012",2013,"Toyota Center, Houston, Texas",Portland Trail Blazers,Houston Rockets,"18,140",93.0,Mark Ayotte, Derrick Collins, Dan Crawford,17,20,27,17,14,95,92.5,82.7,19,26,18,18,4,85,82.7,92.5
17,201211030IND,"7:00 PM, November 3, 2012",2013,"Bankers Life Fieldhouse, Indianapolis, Indiana",Sacramento Kings,Indiana Pacers,"18,165",88.1,Bill Kennedy, Courtney Kirkland, Eli Roe,24,18,24,25,7,98,92.1,99.6,18,38,18,17,15,106,99.6,92.1
18,201211030LAC,"10:30 PM, November 3, 2012",2013,"STAPLES Center, Los Angeles, California",Golden State Warriors,Los Angeles Clippers,"19,060",97.1,Brian Forte, Rodney Mott, Scott Twardoski,33,24,28,29,0,114,117.4,113.3,24,29,26,31,0,110,113.3,117.4
19,201211030MIA,"7:30 PM, November 3, 2012",2013,"AmericanAirlines Arena, Miami, Florida",Denver Nuggets,Miami Heat,"20,104",94.4,Ed Malloy, Leroy Richardson, Kevin Scott,34,32,25,25,0,116,122.8,126.0,35,29,23,32,0,119,126.0,122.8
20,201211030MIL,"8:30 PM, November 3, 2012",2013,"BMO Harris Bradley Center, Milwaukee, Wisconsin",Cleveland Cavaliers,Milwaukee Bucks,"17,086",99.4,Kevin Fehr, John Goble, Derrick Stafford,27,22,30,23,0,102,102.6,105.7,23,32,21,29,0,105,105.7,102.6
21,201211030SAS,"8:30 PM, November 3, 2012",2013,"AT&T Center, San Antonio, Texas",Utah Jazz,San Antonio Spurs,"18,581",92.1,Marat Kogut, Eric Lewis, Zach Zarba,17,27,35,21,0,100,108.5,119.4,28,34,17,31,0,110,119.4,108.5
22,201211030WAS,"7:00 PM, November 3, 2012",2013,"Verizon Center, Washington, District of Columbia",Boston Celtics,Washington Wizards,"20,308",91.0,Joe Crawford, David Guthrie, Derek Richardson,26,23,22,18,0,89,97.8,94.5,12,30,25,19,0,86,94.5,97.8
23,201211040LAL,"9:30 PM, November 4, 2012",2013,"STAPLES Center, Los Angeles, California",Detroit Pistons,Los Angeles Lakers,"18,997",86.3,Brian Forte, Ken Mauer, Olandis Poole,13,21,21,24,0,79,91.6,125.2,34,28,24,22,0,108,125.2,91.6
24,201211040NYK,"12:00 PM, November 4, 2012",2013,"Madison Square Garden (IV), New York, New York",Philadelphia 76ers,New York Knicks,"19,033",89.6,Sean Corbin, Violet Palmer, Bill Spooner,25,19,22,18,0,84,93.8,111.7,31,26,18,25,0,100,111.7,93.8
25,201211040OKC,"7:00 PM, November 4, 2012",2013,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",Atlanta Hawks,Oklahoma City Thunder,"18,203",89.7,Mike Callahan, Brenda Pantoja, Scott Wall,30,17,28,29,0,104,116.0,105.9,22,29,23,21,0,95,105.9,116.0
