Index,game_id,date,season,arena,away_name,home_name,att,pace,ref1,ref2,ref3,away_q1,away_q2,away_q3,away_q4,away_ot,away_final,away_ortg,away_drtg,home_q1,home_q2,home_q3,home_q4,home_ot,home_final,home_ortg,home_drtg
0,201710170CLE,"8:01 PM, October 17, 2017",2018,"Quicken Loans Arena, Cleveland, Ohio",Boston Celtics,Cleveland Cavaliers,"20,562",99.3,Brian Forte, Monty McCutchen, Michael Smith,19,19,33,28,0,99,99.7,102.7,29,25,18,30,0,102,102.7,99.7
1,201710170GSW,"10:30 PM, October 17, 2017",2018,"Oracle Arena, Oakland, California",Houston Rockets,Golden State Warriors,"19,596",102.0,Scott Foster, Ron Garretson, Tre Maddox,34,28,26,34,0,122,119.6,118.6,35,36,30,20,0,121,118.6,119.6
2,201710180BOS,"7:30 PM, October 18, 2017",2018,"TD Garden, Boston, Massachusetts",Milwaukee Bucks,Boston Celtics,"18,624",97.9,Jason Goldenberg, Mark Lindsay, Tom Washington,24,34,18,32,0,108,110.4,102.2,26,27,27,20,0,100,102.2,110.4
3,201710180DAL,"8:30 PM, October 18, 2017",2018,"American Airlines Center, Dallas, Texas",Atlanta Hawks,Dallas Mavericks,"19,709",98.6,Ken Mauer, Leroy Richardson, Josh Tiven,27,31,24,35,0,117,118.7,112.6,24,23,35,29,0,111,112.6,118.7
4,201710180DET,"7:00 PM, October 18, 2017",2018,"Little Caesars Arena, Detroit, Michigan",Charlotte Hornets,Detroit Pistons,"20,491",98.5,Matt Boland, Marc Davis, J.B. DeRosa,27,18,25,20,0,90,91.4,103.6,29,27,26,20,0,102,103.6,91.4
5,201710180IND,"7:00 PM, October 18, 2017",2018,"Bankers Life Fieldhouse, Indianapolis, Indiana",Brooklyn Nets,Indiana Pacers,"15,008",113.3,Tony Brothers, Derrick Collins, Kevin Cutler,30,33,35,33,0,131,115.7,123.6,29,36,41,34,0,140,123.6,115.7
6,201710180MEM,"8:00 PM, October 18, 2017",2018,"FedEx Forum, Memphis, Tennessee",New Orleans Pelicans,Memphis Grizzlies,"17,794",93.3,Sean Corbin, Scott Twardoski, Gary Zielinski,34,18,18,21,0,91,97.6,110.4,27,27,25,24,0,103,110.4,97.6
7,201710180ORL,"7:00 PM, October 18, 2017",2018,"Amway Center, Orlando, Florida",Miami Heat,Orlando Magic,"18,846",105.2,Lauren Holtkamp, Karl Lane, Ed Malloy,37,18,23,31,0,109,103.6,110.3,32,26,30,28,0,116,110.3,103.6
8,201710180PHO,"10:00 PM, October 18, 2017",2018,"Talking Stick Resort Arena, Phoenix, Arizona",Portland Trail Blazers,Phoenix Suns,"18,055",98.7,Rodney Mott, J.T. Orr, James Williams,29,31,38,26,0,124,125.6,77.0,21,14,20,21,0,76,77.0,125.6
9,201710180SAC,"10:00 PM, October 18, 2017",2018,"Golden 1 Center, Sacramento, California",Houston Rockets,Sacramento Kings,"17,583",96.3,Derek Richardson, Kevin Scott, Bill Spooner,26,26,23,30,0,105,109.1,103.9,25,23,24,28,0,100,103.9,109.1
10,201710180SAS,"9:30 PM, October 18, 2017",2018,"AT&T Center, San Antonio, Texas",Minnesota Timberwolves,San Antonio Spurs,"18,418",94.5,Pat Fraher, Derrick Stafford, Scott Wall,25,24,28,22,0,99,104.8,113.3,32,21,34,20,0,107,113.3,104.8
11,201710180UTA,"9:00 PM, October 18, 2017",2018,"Vivint Smart Home Arena, Salt Lake City, Utah",Denver Nuggets,Utah Jazz,"17,588",94.5,Scott Foster, Jonathan Sterling, Leon Wood,30,28,25,13,0,96,101.6,112.2,21,28,29,28,0,106,112.2,101.6
12,201710180WAS,"7:00 PM, October 18, 2017",2018,"Capital One Arena, Washington, District of Columbia",Philadelphia 76ers,Washington Wizards,"20,356",104.3,David Guthrie, Dedric Taylor, Zach Zarba,23,36,23,33,0,115,110.3,115.1,32,24,34,30,0,120,115.1,110.3
13,201710190LAL,"10:30 PM, October 19, 2017",2018,"STAPLES Center, Los Angeles, California",Los Angeles Clippers,Los Angeles Lakers,"18,997",105.9,Mike Callahan, J.T. Orr, James Williams,27,26,34,21,0,108,102.0,86.9,19,23,21,29,0,92,86.9,102.0
14,201710190OKC,"8:00 PM, October 19, 2017",2018,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",New York Knicks,Oklahoma City Thunder,"18,203",98.9,Nick Buchert, James Capers, Tyler Ford,24,18,17,25,0,84,85.0,106.2,27,26,26,26,0,105,106.2,85.0
15,201710190TOR,"7:30 PM, October 19, 2017",2018,"Air Canada Centre, Toronto, Canada",Chicago Bulls,Toronto Raptors,"19,800",99.9,Brent Barnaky, Courtney Kirkland, Dedric Taylor,23,14,27,36,0,100,100.1,117.2,25,33,26,33,0,117,117.2,100.1
16,201710200BRK,"7:30 PM, October 20, 2017",2018,"Barclays Center, Brooklyn, New York",Orlando Magic,Brooklyn Nets,"16,144",107.4,Ray Acosta, John Goble, Ben Taylor,27,28,36,30,0,121,112.6,117.3,29,29,31,37,0,126,117.3,112.6
17,201710200CHO,"7:00 PM, October 20, 2017",2018,"Spectrum Center, Charlotte, North Carolina",Atlanta Hawks,Charlotte Hornets,"18,417",105.4,Eric Lewis, Monty McCutchen, C.J. Washington,28,28,17,18,0,91,86.3,103.4,18,31,35,25,0,109,103.4,86.3
18,201710200DAL,"8:30 PM, October 20, 2017",2018,"American Airlines Center, Dallas, Texas",Sacramento Kings,Dallas Mavericks,"19,273",87.9,Bill Kennedy, Michael Smith, Scott Twardoski,19,27,25,22,0,93,105.9,100.2,23,23,14,28,0,88,100.2,105.9
19,201710200IND,"7:00 PM, October 20, 2017",2018,"Bankers Life Fieldhouse, Indianapolis, Indiana",Portland Trail Blazers,Indiana Pacers,"15,325",97.4,Tony Brown, Haywoode Workman, Gary Zielinski,31,31,29,23,0,114,117.0,98.5,25,27,21,23,0,96,98.5,117.0
20,201710200MIL,"7:00 PM, October 20, 2017",2018,"BMO Harris Bradley Center, Milwaukee, Wisconsin",Cleveland Cavaliers,Milwaukee Bucks,"18,717",92.7,Marc Davis, Gediminas Petraitis, Josh Tiven,25,30,31,30,0,116,125.2,104.7,25,24,24,24,0,97,104.7,125.2
21,201710200MIN,"8:00 PM, October 20, 2017",2018,"Target Center, Minneapolis, Minnesota",Utah Jazz,Minnesota Timberwolves,"18,978",95.1,Jacyn Goble, David Guthrie, Leroy Richardson,16,26,23,32,0,97,102.0,105.2,19,27,24,30,0,100,105.2,102.0
22,201710200NOP,"9:30 PM, October 20, 2017",2018,"Smoothie King Center, New Orleans, Louisiana",Golden State Warriors,New Orleans Pelicans,"18,171",107.3,Karl Lane, Ed Malloy, Aaron Smith,26,35,37,30,0,128,119.3,111.8,39,25,26,30,0,120,111.8,119.3
23,201710200PHI,"7:00 PM, October 20, 2017",2018,"Wells Fargo Center, Philadelphia, Pennsylvania",Boston Celtics,Philadelphia 76ers,"20,816",99.5,Kane Fitzgerald, Lauren Holtkamp, Marat Kogut,24,22,23,33,0,102,102.5,92.4,21,29,22,20,0,92,92.4,102.5
24,201710200PHO,"10:00 PM, October 20, 2017",2018,"Talking Stick Resort Arena, Phoenix, Arizona",Los Angeles Lakers,Phoenix Suns,"18,055",117.2,Scott Foster, Kevin Scott, Jonathan Sterling,40,30,36,26,0,132,112.7,110.9,36,37,26,31,0,130,110.9,112.7
25,201710200WAS,"7:00 PM, October 20, 2017",2018,"Capital One Arena, Washington, District of Columbia",Detroit Pistons,Washington Wizards,"16,337",99.2,Curtis Blair, Sean Corbin, Kevin Cutler,31,34,16,30,0,111,111.8,115.9,29,29,33,24,0,115,115.9,111.8
26,201710210CHI,"8:00 PM, October 21, 2017",2018,"United Center, Chicago, Illinois",San Antonio Spurs,Chicago Bulls,"21,640",95.1,Tony Brothers, Tyler Ford, Leon Wood,19,22,24,22,0,87,91.5,80.9,21,17,17,22,0,77,80.9,91.5
27,201710210CLE,"8:00 PM, October 21, 2017",2018,"Quicken Loans Arena, Cleveland, Ohio",Orlando Magic,Cleveland Cavaliers,"20,562",97.9,Derrick Collins, Kevin Cutler, Pat Fraher,36,20,32,26,0,114,116.4,95.0,18,27,20,28,0,93,95.0,116.4
28,201710210DEN,"9:00 PM, October 21, 2017",2018,"Pepsi Center, Denver, Colorado",Sacramento Kings,Denver Nuggets,"19,520",89.2,Mark Ayotte, Mike Callahan, Phenizee Ransom,18,16,18,27,0,79,88.6,107.7,17,25,24,30,0,96,107.7,88.6
29,201710210HOU,"8:00 PM, October 21, 2017",2018,"Toyota Center, Houston, Texas",Dallas Mavericks,Houston Rockets,"18,055",96.4,Matt Boland, James Capers, C.J. Washington,20,19,19,33,0,91,94.4,111.0,33,29,30,15,0,107,111.0,94.4
30,201710210LAC,"10:30 PM, October 21, 2017",2018,"STAPLES Center, Los Angeles, California",Phoenix Suns,Los Angeles Clippers,"19,068",101.5,Bennie Adams, Nick Buchert, Brett Nansel,18,26,20,24,0,88,86.7,128.1,23,35,32,40,0,130,128.1,86.7
31,201710210MEM,"8:00 PM, October 21, 2017",2018,"FedEx Forum, Memphis, Tennessee",Golden State Warriors,Memphis Grizzlies,"17,794",98.4,Brian Forte, Jacyn Goble, Scott Wall,26,25,20,30,0,101,102.7,112.8,31,25,32,23,0,111,112.8,102.7
32,201710210MIA,"8:00 PM, October 21, 2017",2018,"AmericanAirlines Arena, Miami, Florida",Indiana Pacers,Miami Heat,"19,600",99.9,Curtis Blair, Eric Lewis, Mark Lindsay,31,19,26,32,0,108,108.1,112.2,26,37,28,21,0,112,112.2,108.1
33,201710210MIL,"8:30 PM, October 21, 2017",2018,"BMO Harris Bradley Center, Milwaukee, Wisconsin",Portland Trail Blazers,Milwaukee Bucks,"16,211",96.6,Brent Barnaky, Vladimir Voyard-Tadal, Zach Zarba,26,29,25,30,0,110,113.9,117.0,24,36,24,29,0,113,117.0,113.9
34,201710210NYK,"8:00 PM, October 21, 2017",2018,"Madison Square Garden (IV), New York, New York",Detroit Pistons,New York Knicks,"19,812",91.2,Lauren Holtkamp, Courtney Kirkland, Marat Kogut,19,32,28,32,0,111,121.8,117.4,28,36,16,27,0,107,117.4,121.8
35,201710210TOR,"7:30 PM, October 21, 2017",2018,"Air Canada Centre, Toronto, Canada",Philadelphia 76ers,Toronto Raptors,"19,800",107.5,Jason Goldenberg, Bill Spooner, Ben Taylor,19,30,22,23,0,94,87.4,119.1,36,26,40,26,0,128,119.1,87.4
36,201710210UTA,"9:00 PM, October 21, 2017",2018,"Vivint Smart Home Arena, Salt Lake City, Utah",Oklahoma City Thunder,Utah Jazz,"18,300",93.0,Kevin Scott, James Williams, Sean Wright,14,20,23,30,0,87,93.6,103.3,21,23,29,23,0,96,103.3,93.6
37,201710220BRK,"3:30 PM, October 22, 2017",2018,"Barclays Center, Brooklyn, New York",Atlanta Hawks,Brooklyn Nets,"13,917",104.6,Eric Dalen, Mitchell Ervin, David Guthrie,25,28,24,27,0,104,99.5,110.9,19,37,35,25,0,116,110.9,99.5
38,201710220LAL,"9:30 PM, October 22, 2017",2018,"STAPLES Center, Los Angeles, California",New Orleans Pelicans,Los Angeles Lakers,"18,997",104.0,Nick Buchert, Rodney Mott, Brett Nansel,34,34,26,25,0,119,114.4,107.7,22,33,28,29,0,112,107.7,114.4
39,201710220OKC,"7:00 PM, October 22, 2017",2018,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",Minnesota Timberwolves,Oklahoma City Thunder,"18,203",101.1,Jonathan Sterling, Tom Washington, Gary Zielinski,28,33,27,27,0,115,113.7,111.8,23,31,21,38,0,113,111.8,113.7
40,201710230DAL,"8:30 PM, October 23, 2017",2018,"American Airlines Center, Dallas, Texas",Golden State Warriors,Dallas Mavericks,"19,875",102.8,Tony Brown, Derrick Collins, Dedric Taylor,40,25,34,34,0,133,129.4,100.2,24,38,22,19,0,103,100.2,129.4
41,201710230DEN,"9:00 PM, October 23, 2017",2018,"Pepsi Center, Denver, Colorado",Washington Wizards,Denver Nuggets,"14,294",100.3,Derrick Stafford, Scott Twardoski, Scott Wall,29,27,22,31,0,109,108.7,103.7,29,26,22,27,0,104,103.7,108.7
42,201710230DET,"7:00 PM, October 23, 2017",2018,"Little Caesars Arena, Detroit, Michigan",Philadelphia 76ers,Detroit Pistons,"13,709",96.6,Tyler Ford, Brian Forte, J.T. Orr,31,25,19,22,0,97,100.4,89.0,22,21,24,19,0,86,89.0,100.4
43,201710230HOU,"8:00 PM, October 23, 2017",2018,"Toyota Center, Houston, Texas",Memphis Grizzlies,Houston Rockets,"17,129",91.7,Curtis Blair, John Goble, Karl Lane,24,26,20,28,0,98,106.9,98.2,26,31,19,14,0,90,98.2,106.9
44,201710230MIA,"7:30 PM, October 23, 2017",2018,"AmericanAirlines Arena, Miami, Florida",Atlanta Hawks,Miami Heat,"19,600",98.3,Marc Davis, Ron Garretson, Vladimir Voyard-Tadal,23,21,29,20,0,93,94.6,105.8,26,36,15,27,0,104,105.8,94.6
45,201710230MIL,"8:00 PM, October 23, 2017",2018,"BMO Harris Bradley Center, Milwaukee, Wisconsin",Charlotte Hornets,Milwaukee Bucks,"12,887",97.5,James Capers, Leroy Richardson, Ben Taylor,25,29,23,17,0,94,96.4,105.7,18,35,30,20,0,103,105.7,96.4
46,201710230PHO,"10:00 PM, October 23, 2017",2018,"Talking Stick Resort Arena, Phoenix, Arizona",Sacramento Kings,Phoenix Suns,"14,903",102.5,Matt Boland, Justin Van Duyne, Sean Wright,17,34,25,39,0,115,112.2,114.2,36,23,28,30,0,117,114.2,112.2
47,201710230SAS,"8:30 PM, October 23, 2017",2018,"AT&T Center, San Antonio, Texas",Toronto Raptors,San Antonio Spurs,"18,418",98.2,Ken Mauer, Michael Smith, Haywoode Workman,23,27,24,23,0,97,98.8,102.8,21,29,25,26,0,101,102.8,98.8
48,201710240BOS,"7:30 PM, October 24, 2017",2018,"TD Garden, Boston, Massachusetts",New York Knicks,Boston Celtics,"18,624",94.5,Mike Callahan, Eric Dalen, Aaron Smith,17,16,27,29,0,89,94.2,116.4,30,24,23,33,0,110,116.4,94.2
49,201710240CLE,"7:00 PM, October 24, 2017",2018,"Quicken Loans Arena, Cleveland, Ohio",Chicago Bulls,Cleveland Cavaliers,"20,562",92.1,J.B. DeRosa, Kevin Scott, Zach Zarba,38,30,24,20,0,112,121.7,129.3,28,37,26,28,0,119,129.3,121.7
50,201710240LAC,"10:30 PM, October 24, 2017",2018,"STAPLES Center, Los Angeles, California",Utah Jazz,Los Angeles Clippers,"16,607",92.3,Matt Boland, Sean Corbin, Justin Van Duyne,20,21,15,28,0,84,91.0,110.5,27,15,33,27,0,102,110.5,91.0
51,201710240MIN,"8:00 PM, October 24, 2017",2018,"Target Center, Minneapolis, Minnesota",Indiana Pacers,Minnesota Timberwolves,"14,353",97.6,Tony Brothers, Marat Kogut, J.T. Orr,33,28,37,32,0,130,133.2,109.7,20,41,23,23,0,107,109.7,133.2
52,201710240ORL,"7:00 PM, October 24, 2017",2018,"Amway Center, Orlando, Florida",Brooklyn Nets,Orlando Magic,"16,015",105.9,Jacyn Goble, Eric Lewis, Josh Tiven,30,31,35,25,0,121,114.2,118.0,30,31,26,38,0,125,118.0,114.2
53,201710240POR,"10:00 PM, October 24, 2017",2018,"Moda Center, Portland, Oregon",New Orleans Pelicans,Portland Trail Blazers,"19,446",101.0,Mark Ayotte, Bill Kennedy, Derek Richardson,19,29,25,20,0,93,92.0,101.9,29,18,24,32,0,103,101.9,92.0
54,201710250BRK,"7:30 PM, October 25, 2017",2018,"Barclays Center, Brooklyn, New York",Cleveland Cavaliers,Brooklyn Nets,"17,732",101.5,Lauren Holtkamp, Rodney Mott, Leon Wood,23,29,21,34,0,107,105.4,110.3,26,29,29,28,0,112,110.3,105.4
55,201710250CHO,"7:00 PM, October 25, 2017",2018,"Spectrum Center, Charlotte, North Carolina",Denver Nuggets,Charlotte Hornets,"14,253",96.6,Brandon Adair, Tony Brown, Scott Foster,23,16,29,25,0,93,96.3,113.9,27,35,23,25,0,110,113.9,96.3
56,201710250DAL,"8:30 PM, October 25, 2017",2018,"American Airlines Center, Dallas, Texas",Memphis Grizzlies,Dallas Mavericks,"19,674",91.8,Brent Barnaky, Pat Fraher, Haywoode Workman,18,31,23,22,0,94,102.4,112.2,32,25,22,24,0,103,112.2,102.4
57,201710250DET,"7:00 PM, October 25, 2017",2018,"Little Caesars Arena, Detroit, Michigan",Minnesota Timberwolves,Detroit Pistons,"13,790",99.1,Jason Goldenberg, Ed Malloy, Michael Smith,26,18,29,28,0,101,101.9,123.1,23,40,28,31,0,122,123.1,101.9
58,201710250GSW,"10:30 PM, October 25, 2017",2018,"Oracle Arena, Oakland, California",Toronto Raptors,Golden State Warriors,"19,596",97.0,Kevin Cutler, Kane Fitzgerald, Mark Lindsay,26,27,33,26,0,112,115.4,120.6,29,32,30,26,0,117,120.6,115.4
59,201710250LAL,"10:30 PM, October 25, 2017",2018,"STAPLES Center, Los Angeles, California",Washington Wizards,Los Angeles Lakers,"18,996",100.3,Bennie Adams, Tre Maddox, Sean Wright,18,31,30,13,7,99,89.4,92.1,23,22,24,23,10,102,92.1,89.4
60,201710250MIA,"8:00 PM, October 25, 2017",2018,"AmericanAirlines Arena, Miami, Florida",San Antonio Spurs,Miami Heat,"19,600",92.3,Nick Buchert, Jacyn Goble, Monty McCutchen,30,26,32,29,0,117,126.8,108.4,30,21,22,27,0,100,108.4,126.8
61,201710250OKC,"8:00 PM, October 25, 2017",2018,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",Indiana Pacers,Oklahoma City Thunder,"18,203",100.3,Derrick Collins, Brian Forte, C.J. Washington,27,21,26,22,0,96,95.7,113.7,30,24,32,28,0,114,113.7,95.7
62,201710250PHI,"7:00 PM, October 25, 2017",2018,"Wells Fargo Center, Philadelphia, Pennsylvania",Houston Rockets,Philadelphia 76ers,"20,682",97.8,Ron Garretson, Leroy Richardson, Dedric Taylor,31,25,23,26,0,105,107.4,106.4,33,21,26,24,0,104,106.4,107.4
63,201710250PHO,"10:00 PM, October 25, 2017",2018,"Talking Stick Resort Arena, Phoenix, Arizona",Utah Jazz,Phoenix Suns,"16,022",100.4,Derrick Stafford, Scott Wall, Gary Zielinski,13,28,18,29,0,88,87.6,96.6,23,25,23,26,0,97,96.6,87.6
64,201710260CHI,"8:00 PM, October 26, 2017",2018,"United Center, Chicago, Illinois",Atlanta Hawks,Chicago Bulls,"21,104",89.4,James Capers, Karl Lane, J.T. Orr,20,19,20,27,0,86,96.2,101.8,18,19,28,26,0,91,101.8,96.2
