Index,game_id,date,season,arena,away_name,home_name,pace,attendance,ref1,ref2,ref3,away_q1,away_q2,away_q3,away_q4,away_ot,away_final,away_ortg,away_drtg,home_q1,home_q2,home_q3,home_q4,home_ot,home_final,home_ortg,home_drtg
0,200101010MIN,"3:30 PM, January 1, 2001",2001,"Target Center, Minneapolis, Minnesota",Houston Rockets,Minnesota Timberwolves,"14,779",89.9,Ted Bernhardt, Tim Donaghy, Scott Wall,29,16,30,21,0,96,106.8,117.9,25,23,34,24,0,106,117.9,106.8
1,200101010POR,"10:00 PM, January 1, 2001",2001,"Rose Garden Arena, Portland, Oregon",Charlotte Hornets,Portland Trail Blazers,"19,980",83.3,Bob Delaney, Rashan Michel, Derrick Stafford,12,25,12,18,0,67,80.4,106.9,19,29,19,22,0,89,106.9,80.4
2,200101020ATL,"7:30 PM, January 2, 2001",2001,"Philips Arena, Atlanta, Georgia",Boston Celtics,Atlanta Hawks,"11,194",87.4,Gary Benson, Eddie F. Rush, Tom Washington,27,19,20,15,0,81,92.7,105.3,23,24,21,24,0,92,105.3,92.7
3,200101020CHI,"8:30 PM, January 2, 2001",2001,"United Center, Chicago, Illinois",Milwaukee Bucks,Chicago Bulls,"20,569",90.8,Tony Brothers, David Jones, Jess Kersey,36,21,27,20,0,104,114.6,77.1,15,17,19,19,0,70,77.1,114.6
4,200101020CLE,"7:30 PM, January 2, 2001",2001,"Gund Arena, Cleveland, Ohio",Houston Rockets,Cleveland Cavaliers,"14,032",88.8,Sean Corbin, Joe DeRosa, Kevin Fehr,20,23,30,27,0,100,112.6,107.0,18,21,27,29,0,95,107.0,112.6
5,200101020LAC,"10:30 PM, January 2, 2001",2001,"STAPLES Center, Los Angeles, California",Toronto Raptors,Los Angeles Clippers,"18,037",91.6,Courtney Kirkland, Jack Nies, Bennett Salvatore,19,32,23,23,0,97,105.9,120.1,36,25,25,24,0,110,120.1,105.9
6,200101020ORL,"7:30 PM, January 2, 2001",2001,"TD Waterhouse Centre, Orlando, Florida",New Jersey Nets,Orlando Magic,"14,442",94.2,Scott Foster, Tommy Nunez, Leroy Richardson,35,27,29,29,0,120,127.4,116.8,19,25,25,41,0,110,116.8,127.4
7,200101020SAC,"10:30 PM, January 2, 2001",2001,"ARCO Arena (II), Sacramento, California",Phoenix Suns,Sacramento Kings,"17,317",96.4,Bennie Adams, Steve Javie, Ron Olesiak,26,25,35,20,11,117,109.9,113.7,29,37,21,19,15,121,113.7,109.9
8,200101020SAS,"8:30 PM, January 2, 2001",2001,"Alamodome, San Antonio, Texas",Miami Heat,San Antonio Spurs,"18,412",79.2,Rodney Mott, Don Vaden, Leon Wood,23,15,15,19,0,72,90.9,101.0,20,21,18,21,0,80,101.0,90.9
9,200101020SEA,"10:00 PM, January 2, 2001",2001,"KeyArena at Seattle Center, Seattle, Washington",Indiana Pacers,Seattle SuperSonics,"17,072",88.7,Bob Delaney, Rashan Michel, Derrick Stafford,27,17,24,23,0,91,102.6,93.6,26,24,19,14,0,83,93.6,102.6
10,200101020WAS,"7:00 PM, January 2, 2001",2001,"MCI Center, Washington, District of Columbia",Minnesota Timberwolves,Washington Wizards,"11,712",87.3,Nolan Fine, Bernie Fryer, George Toliver,29,30,18,31,0,108,123.8,131.8,27,32,22,34,0,115,131.8,123.8
11,200101030BOS,"7:00 PM, January 3, 2001",2001,"FleetCenter, Boston, Massachusetts",New York Knicks,Boston Celtics,"15,715",86.1,James Capers, Bernie Fryer, Dee Kantner,18,32,23,27,0,100,116.2,105.7,27,23,22,19,0,91,105.7,116.2
12,200101030DAL,"8:00 PM, January 3, 2001",2001,"Reunion Arena, Dallas, Texas",Detroit Pistons,Dallas Mavericks,"12,789",94.7,Tommy Nunez, Don Vaden, Leon Wood,35,22,25,25,0,107,113.0,109.9,26,23,27,28,0,104,109.9,113.0
13,200101030GSW,"10:30 PM, January 3, 2001",2001,"The Arena in Oakland, Oakland, California",Denver Nuggets,Golden State Warriors,"12,163",99.6,Hue Hollins, Courtney Kirkland, Bennett Salvatore,32,28,25,26,0,111,111.4,100.4,33,21,32,14,0,100,100.4,111.4
14,200101030LAL,"10:30 PM, January 3, 2001",2001,"STAPLES Center, Los Angeles, California",Utah Jazz,Los Angeles Lakers,"18,997",83.2,Bennie Adams, Steve Javie, Ron Olesiak,18,10,19,24,0,71,85.3,98.5,15,18,19,30,0,82,98.5,85.3
15,200101030MIL,"8:00 PM, January 3, 2001",2001,"Bradley Center, Milwaukee, Wisconsin",Cleveland Cavaliers,Milwaukee Bucks,"13,817",90.0,Gary Benson, Terry Durham, Bill Spooner,20,27,18,18,0,83,92.2,97.8,26,17,26,19,0,88,97.8,92.2
16,200101030PHI,"7:00 PM, January 3, 2001",2001,"First Union Center, Philadelphia, Pennsylvania",Atlanta Hawks,Philadelphia 76ers,"17,643",88.8,Tony Brothers, Dan Crawford, David Jones,18,15,22,25,0,80,90.1,110.3,28,32,23,15,0,98,110.3,90.1
17,200101030PHO,"9:00 PM, January 3, 2001",2001,"America West Arena, Phoenix, Arizona",Los Angeles Clippers,Phoenix Suns,"16,592",84.4,Luis Grillo, Bill Kennedy, Rodney Mott,21,23,21,20,0,85,100.7,106.6,25,23,17,25,0,90,106.6,100.7
18,200101030POR,"10:00 PM, January 3, 2001",2001,"Rose Garden Arena, Portland, Oregon",Indiana Pacers,Portland Trail Blazers,"20,011",90.7,Dick Bavetta, Monty McCutchen, Michael Smith,16,24,18,28,0,86,94.8,112.5,22,23,30,27,0,102,112.5,94.8
19,200101030VAN,"10:00 PM, January 3, 2001",2001,"General Motors Place, Vancouver, Canada",Charlotte Hornets,Vancouver Grizzlies,"11,873",90.9,Joe Forte, Derek Richardson, Scott Wall,17,21,23,28,0,89,97.9,108.9,28,25,26,20,0,99,108.9,97.9
20,200101040CHI,"8:30 PM, January 4, 2001",2001,"United Center, Chicago, Illinois",Washington Wizards,Chicago Bulls,"21,488",83.3,Marc Davis, Terry Durham, Bill Spooner,22,21,20,33,0,96,115.2,117.6,22,28,19,29,0,98,117.6,115.2
21,200101040HOU,"8:30 PM, January 4, 2001",2001,"Compaq Center, Houston, Texas",Detroit Pistons,Houston Rockets,"11,646",92.8,Joe Crawford, Leroy Richardson, Derrick Stafford,22,29,25,21,0,97,104.5,115.3,30,27,26,24,0,107,115.3,104.5
22,200101040MIA,"7:30 PM, January 4, 2001",2001,"AmericanAirlines Arena, Miami, Florida",New Jersey Nets,Miami Heat,"16,013",80.9,Jess Kersey, Jason Phillips, Tom Washington,23,26,8,21,0,78,96.4,100.2,31,15,24,11,0,81,100.2,96.4
23,200101040MIN,"8:00 PM, January 4, 2001",2001,"Target Center, Minneapolis, Minnesota",Seattle SuperSonics,Minnesota Timberwolves,"16,045",94.5,James Capers, Mike Mathis, Phil Robinson,22,26,20,24,0,92,97.3,111.1,26,29,25,25,0,105,111.1,97.3
24,200101040NYK,"8:00 PM, January 4, 2001",2001,"Madison Square Garden (IV), New York, New York",Orlando Magic,New York Knicks,"19,763",80.6,Sean Corbin, Joe DeRosa, Kevin Fehr,26,20,21,19,6,92,103.3,106.7,11,35,24,16,9,95,106.7,103.3
25,200101050BOS,"7:30 PM, January 5, 2001",2001,"FleetCenter, Boston, Massachusetts",Golden State Warriors,Boston Celtics,"12,699",93.8,Dan Crawford, Kevin Fehr, David Jones,30,17,30,23,0,100,106.6,93.8,30,22,26,10,0,88,93.8,106.6
26,200101050DEN,"9:00 PM, January 5, 2001",2001,"Pepsi Center, Denver, Colorado",Utah Jazz,Denver Nuggets,"15,205",95.0,Joe Forte, Rodney Mott, Scott Wall,25,16,25,21,0,87,91.5,105.2,27,20,27,26,0,100,105.2,91.5
