Index,game_id,date,season,arena,away_name,home_name,pace,attendance,ref1,ref2,ref3,away_q1,away_q2,away_q3,away_q4,away_ot,away_final,away_ortg,away_drtg,home_q1,home_q2,home_q3,home_q4,home_ot,home_final,home_ortg,home_drtg
0,200112010ATL,"2:00 PM, December 1, 2001",2002,"Philips Arena, Atlanta, Georgia",Toronto Raptors,Atlanta Hawks,"18,628",95.0,Ted Bernhardt, Ken Mauer, Phil Robinson,25,25,30,24,0,104,109.5,108.4,19,23,30,31,0,103,108.4,109.5
1,200112010CHI,"8:30 PM, December 1, 2001",2002,"United Center, Chicago, Illinois",Philadelphia 76ers,Chicago Bulls,"20,212",91.2,Joe Forte, Courtney Kirkland, Mike Mathis,31,25,16,21,0,93,102.0,83.4,11,29,8,28,0,76,83.4,102.0
2,200112010CLE,"7:30 PM, December 1, 2001",2002,"Gund Arena, Cleveland, Ohio",Charlotte Hornets,Cleveland Cavaliers,"12,498",88.5,Marc Davis, Joe DeRosa, Leroy Richardson,19,26,17,19,0,81,91.6,105.1,16,30,27,20,0,93,105.1,91.6
3,200112010GSW,"10:30 PM, December 1, 2001",2002,"The Arena in Oakland, Oakland, California",Dallas Mavericks,Golden State Warriors,"14,122",98.0,Dan Crawford, George Toliver, Don Vaden,20,28,39,24,0,111,113.3,83.7,18,22,18,24,0,82,83.7,113.3
4,200112010HOU,"8:30 PM, December 1, 2001",2002,"Compaq Center, Houston, Texas",San Antonio Spurs,Houston Rockets,"12,232",89.8,Gary Benson, Monty McCutchen, Bennett Salvatore,32,8,17,28,0,85,94.6,83.5,18,17,18,22,0,75,83.5,94.6
5,200112010LAL,"10:30 PM, December 1, 2001",2002,"STAPLES Center, Los Angeles, California",Minnesota Timberwolves,Los Angeles Lakers,"18,997",96.8,Jim Clark, Hue Hollins, Violet Palmer,21,25,16,14,0,76,78.5,105.4,24,22,31,25,0,102,105.4,78.5
6,200112010NJN,"1:00 PM, December 1, 2001",2002,"Continental Airlines Arena, East Rutherford, New Jersey",Boston Celtics,New Jersey Nets,"11,379",93.7,Steve Javie, Jess Kersey, Derek Richardson,15,18,30,27,15,105,101.5,94.7,27,20,17,26,8,98,94.7,101.5
7,200112010NYK,"8:00 PM, December 1, 2001",2002,"Madison Square Garden (IV), New York, New York",Detroit Pistons,New York Knicks,"19,763",87.8,Derrick Collins, Luis Grillo, Tom Washington,20,17,29,34,0,100,113.9,110.5,29,24,22,22,0,97,110.5,113.9
8,200112010POR,"10:00 PM, December 1, 2001",2002,"Rose Garden Arena, Portland, Oregon",Phoenix Suns,Portland Trail Blazers,"18,487",85.8,James Capers, Bernie Fryer, Scott Wall,17,25,28,27,0,97,113.0,96.7,31,22,15,15,0,83,96.7,113.0
9,200112010UTA,"9:00 PM, December 1, 2001",2002,"Delta Center, Salt Lake City, Utah",Indiana Pacers,Utah Jazz,"17,885",90.6,Tony Brothers, Bill Kennedy, Ronnie Nunn,16,32,25,27,0,100,110.4,107.1,19,27,28,23,0,97,107.1,110.4
10,200112010WAS,"6:30 PM, December 1, 2001",2002,"MCI Center, Washington, District of Columbia",Orlando Magic,Washington Wizards,"20,674",88.3,Scott Foster, Michael Smith, Derrick Stafford,21,29,22,24,0,96,108.7,98.5,18,21,22,26,0,87,98.5,108.7
11,200112020LAC,"9:00 PM, December 2, 2001",2002,"STAPLES Center, Los Angeles, California",Indiana Pacers,Los Angeles Clippers,"16,737",95.0,Bennie Adams, Bob Delaney, David Jones,19,23,12,18,0,72,75.8,108.4,23,30,31,19,0,103,108.4,75.8
12,200112020PHI,"6:00 PM, December 2, 2001",2002,"First Union Center, Philadelphia, Pennsylvania",Memphis Grizzlies,Philadelphia 76ers,"20,433",86.8,Sean Corbin, Terry Durham, Nolan Fine,23,20,24,26,0,93,107.2,100.3,18,22,27,20,0,87,100.3,107.2
13,200112020SAC,"9:00 PM, December 2, 2001",2002,"ARCO Arena (II), Sacramento, California",Dallas Mavericks,Sacramento Kings,"17,317",90.1,Mike Callahan, Joe Crawford, Dee Kantner,32,30,21,22,15,120,120.6,114.6,29,15,36,25,9,114,114.6,120.6
14,200112020SEA,"9:00 PM, December 2, 2001",2002,"KeyArena at Seattle Center, Seattle, Washington",Milwaukee Bucks,Seattle SuperSonics,"13,595",85.4,James Capers, Bernie Fryer, Scott Wall,19,21,20,23,0,83,97.2,113.6,25,32,22,18,0,97,113.6,97.2
15,200112020TOR,"3:00 PM, December 2, 2001",2002,"Air Canada Centre, Toronto, Canada",Boston Celtics,Toronto Raptors,"19,800",81.6,Ron Garretson, Ron Olesiak, Jason Phillips,31,15,27,12,0,85,104.1,84.5,23,21,16,9,0,69,84.5,104.1
16,200112030NYK,"7:30 PM, December 3, 2001",2002,"Madison Square Garden (IV), New York, New York",Houston Rockets,New York Knicks,"19,763",82.9,Hue Hollins, Phil Robinson, Don Vaden,24,18,28,16,0,86,103.7,107.3,30,8,22,29,0,89,107.3,103.7
