Index,game_id,date,season,arena,away_name,home_name,pace,attendance,ref1,ref2,ref3,away_q1,away_q2,away_q3,away_q4,away_ot,away_final,away_ortg,away_drtg,home_q1,home_q2,home_q3,home_q4,home_ot,home_final,home_ortg,home_drtg
0,200703010DAL,"8:00 PM, March 1, 2007",2007,"American Airlines Center, Dallas, Texas",Cleveland Cavaliers,Dallas Mavericks,"20,428",89.6,James Capers, Bob Delaney, Kevin Fehr,23,19,20,30,0,92,102.7,106.0,27,25,22,21,0,95,106.0,102.7
1,200703010POR,"10:00 PM, March 1, 2007",2007,"Rose Garden Arena, Portland, Oregon",Charlotte Bobcats,Portland Trail Blazers,"15,063",92.1,Ron Garretson, Tommy Nunez, Ron Olesiak,16,24,26,24,0,90,97.7,137.8,31,29,43,24,0,127,137.8,97.7
2,200703010SEA,"10:30 PM, March 1, 2007",2007,"KeyArena at Seattle Center, Seattle, Washington",Los Angeles Clippers,Seattle SuperSonics,"14,601",80.4,Bennie Adams, Jess Kersey, Mark Wunderlich,21,13,23,18,0,75,93.3,95.7,26,15,16,20,0,77,95.7,93.3
3,200703020CHI,"8:30 PM, March 2, 2007",2007,"United Center, Chicago, Illinois",New Orleans/Oklahoma City Hornets,Chicago Bulls,"22,056",95.4,Monty McCutchen, Michael Smith, Zach Zarba,21,32,26,14,0,93,97.5,109.0,26,27,26,25,0,104,109.0,97.5
4,200703020DEN,"10:30 PM, March 2, 2007",2007,"Pepsi Center, Denver, Colorado",Houston Rockets,Denver Nuggets,"18,938",97.8,Tommy Nunez, Bennett Salvatore, Leon Wood,35,25,27,21,0,108,110.5,99.2,26,29,14,28,0,97,99.2,110.5
5,200703020LAL,"10:30 PM, March 2, 2007",2007,"STAPLES Center, Los Angeles, California",Sacramento Kings,Los Angeles Lakers,"18,997",96.7,Mark Ayotte, Tony Brothers, Ken Mauer,37,28,27,24,0,116,119.9,111.6,26,22,26,34,0,108,111.6,119.9
6,200703020MIA,"8:00 PM, March 2, 2007",2007,"AmericanAirlines Arena, Miami, Florida",Detroit Pistons,Miami Heat,"20,279",84.9,Joe Forte, David Jones, Sean Wright,15,16,26,25,0,82,96.6,100.2,20,30,11,24,0,85,100.2,96.6
7,200703020MIN,"8:00 PM, March 2, 2007",2007,"Target Center, Minneapolis, Minnesota",Utah Jazz,Minnesota Timberwolves,"14,759",88.3,Dick Bavetta, Pat Fraher, Robbie Robinson,22,35,23,29,0,109,123.4,94.0,19,20,23,21,0,83,94.0,123.4
8,200703020NYK,"7:30 PM, March 2, 2007",2007,"Madison Square Garden (IV), New York, New York",Golden State Warriors,New York Knicks,"19,763",93.9,Ed Malloy, Rodney Mott, Jack Nies,18,30,27,22,0,97,103.3,112.9,26,28,21,31,0,106,112.9,103.3
9,200703020PHI,"7:00 PM, March 2, 2007",2007,"Wachovia Center, Philadelphia, Pennsylvania",Memphis Grizzlies,Philadelphia 76ers,"16,314",90.1,Jim Clark, Derrick Collins, Eric Lewis,23,25,25,30,9,112,112.6,117.6,22,23,28,30,14,117,117.6,112.6
10,200703020PHO,"9:00 PM, March 2, 2007",2007,"US Airways Center, Phoenix, Arizona",Indiana Pacers,Phoenix Suns,"18,422",88.0,Joe Crawford, Marc Davis, Eli Roe,28,21,25,16,0,90,102.3,130.7,30,32,27,26,0,115,130.7,102.3
11,200703020SAS,"8:00 PM, March 2, 2007",2007,"AT&T Center, San Antonio, Texas",Orlando Magic,San Antonio Spurs,"18,797",83.8,Bill Kennedy, Derek Richardson, Eddie F. Rush,16,17,24,17,0,74,88.4,117.0,22,21,22,33,0,98,117.0,88.4
12,200703020TOR,"7:00 PM, March 2, 2007",2007,"Air Canada Centre, Toronto, Canada",Milwaukee Bucks,Toronto Raptors,"18,816",88.5,Matt Boland, Mike Callahan, Violet Palmer,21,27,20,26,0,94,106.2,91.5,22,23,18,18,0,81,91.5,106.2
13,200703020WAS,"7:00 PM, March 2, 2007",2007,"Verizon Center, Washington, District of Columbia",Atlanta Hawks,Washington Wizards,"20,173",87.7,Tim Donaghy, Steve Javie, Phil Robinson,24,21,22,25,0,92,104.9,106.0,25,22,27,19,0,93,106.0,104.9
14,200703030ATL,"7:00 PM, March 3, 2007",2007,"Philips Arena, Atlanta, Georgia",New York Knicks,Atlanta Hawks,"15,385",87.0,David Jones, Eric Lewis, Monty McCutchen,15,22,25,25,17,104,108.3,104.1,31,18,22,16,13,100,104.1,108.3
15,200703030CLE,"7:30 PM, March 3, 2007",2007,"Quicken Loans Arena, Cleveland, Ohio",Toronto Raptors,Cleveland Cavaliers,"20,562",97.6,Jim Clark, Michael Smith, Zach Zarba,23,29,22,23,0,97,99.4,122.9,30,32,31,27,0,120,122.9,99.4
16,200703030DAL,"9:00 PM, March 3, 2007",2007,"American Airlines Center, Dallas, Texas",Orlando Magic,Dallas Mavericks,"20,468",82.2,Scott Foster, Courtney Kirkland, Leroy Richardson,19,23,30,26,0,98,119.3,125.3,24,16,35,28,0,103,125.3,119.3
17,200703030HOU,"8:30 PM, March 3, 2007",2007,"Toyota Center, Houston, Texas",San Antonio Spurs,Houston Rockets,"18,364",84.5,Tony Brown, Scott Wall, Tom Washington,30,24,27,16,0,97,114.8,87.6,15,27,17,15,0,74,87.6,114.8
18,200703030LAC,"10:30 PM, March 3, 2007",2007,"STAPLES Center, Los Angeles, California",Indiana Pacers,Los Angeles Clippers,"17,835",84.2,Mark Ayotte, Ron Olesiak, Greg Willard,17,13,16,18,0,64,76.0,103.3,20,23,20,24,0,87,103.3,76.0
