Index,game_id,date,season,arena,away_name,home_name,pace,attendance,ref1,ref2,ref3,away_q1,away_q2,away_q3,away_q4,away_ot,away_final,away_ortg,away_drtg,home_q1,home_q2,home_q3,home_q4,home_ot,home_final,home_ortg,home_drtg
0,200902010BOS,"12:00 PM, February 1, 2009",2009,"TD Banknorth Garden, Boston, Massachusetts",Minnesota Timberwolves,Boston Celtics,"18,624",91.4,Tony Brown, Sean Corbin, Violet Palmer,24,20,29,28,0,101,110.5,119.3,29,33,25,22,0,109,119.3,110.5
1,200902010DET,"2:30 PM, February 1, 2009",2009,"The Palace of Auburn Hills, Auburn Hills, Michigan",Cleveland Cavaliers,Detroit Pistons,"22,076",81.8,David Guthrie, Eddie F. Rush, Gary Zielinski,16,20,22,32,0,90,110.0,97.8,18,21,27,14,0,80,97.8,110.0
2,200902010SAC,"3:00 PM, February 1, 2009",2009,"ARCO Arena (II), Sacramento, California",Oklahoma City Thunder,Sacramento Kings,"10,817",92.5,Joe DeRosa, Luis Grillo, Jason Phillips,31,26,33,22,6,118,115.5,119.5,33,30,29,20,10,122,119.5,115.5
3,200902010TOR,"12:00 PM, February 1, 2009",2009,"Air Canada Centre, Toronto, Canada",Orlando Magic,Toronto Raptors,"19,800",96.5,Kevin Fehr, Steve Javie, Ron Olesiak,31,22,34,26,0,113,117.1,93.2,25,22,18,25,0,90,93.2,117.1
4,200902020GSW,"10:30 PM, February 2, 2009",2009,"Oracle Arena, Oakland, California",San Antonio Spurs,Golden State Warriors,"18,205",97.1,Dick Bavetta, Ed Malloy, Sean Wright,27,21,27,20,15,110,102.6,98.0,25,27,27,16,10,105,98.0,102.6
5,200902020MIA,"7:30 PM, February 2, 2009",2009,"AmericanAirlines Arena, Miami, Florida",Los Angeles Clippers,Miami Heat,"15,985",94.3,John Goble, Courtney Kirkland, Monty McCutchen,24,23,26,22,0,95,100.8,126.2,30,28,32,29,0,119,126.2,100.8
6,200902020NOH,"8:00 PM, February 2, 2009",2009,"New Orleans Arena, New Orleans, Louisiana",Portland Trail Blazers,New Orleans Hornets,"14,781",84.8,James Capers, Dan Crawford, Brian Forte,17,22,20,38,0,97,114.3,104.9,25,23,26,15,0,89,104.9,114.3
7,200902020NYK,"7:30 PM, February 2, 2009",2009,"Madison Square Garden (IV), New York, New York",Los Angeles Lakers,New York Knicks,"19,763",102.5,Mark Ayotte, Bob Delaney, David Jones,31,34,31,30,0,126,122.9,114.2,26,28,32,31,0,117,114.2,122.9
8,200902020ORL,"7:00 PM, February 2, 2009",2009,"Amway Arena, Orlando, Florida",Dallas Mavericks,Orlando Magic,"16,551",92.2,Derrick Collins, Sean Corbin, Joe Crawford,25,29,23,28,0,105,113.9,103.0,27,20,16,32,0,95,103.0,113.9
9,200902020PHO,"9:00 PM, February 2, 2009",2009,"US Airways Center, Phoenix, Arizona",Sacramento Kings,Phoenix Suns,"18,422",102.0,Marc Davis, Bill Kennedy, Derek Richardson,19,24,14,24,0,81,79.4,126.5,40,33,32,24,0,129,126.5,79.4
10,200902020UTA,"9:00 PM, February 2, 2009",2009,"EnergySolutions Arena, Salt Lake City, Utah",Charlotte Bobcats,Utah Jazz,"19,911",87.4,Jim Clark, Ken Mauer, Jack Nies,25,26,19,16,0,86,98.4,120.2,19,30,27,29,0,105,120.2,98.4
11,200902020WAS,"7:00 PM, February 2, 2009",2009,"Verizon Center, Washington, District of Columbia",Memphis Grizzlies,Washington Wizards,"11,442",91.1,Olandis Poole, Greg Willard, Leon Wood,32,29,33,19,0,113,124.0,106.5,29,28,24,16,0,97,106.5,124.0
12,200902030CLE,"7:00 PM, February 3, 2009",2009,"Quicken Loans Arena, Cleveland, Ohio",Toronto Raptors,Cleveland Cavaliers,"20,562",82.8,Tony Brothers, Derrick Collins, Eric Lewis,15,25,26,17,0,83,100.2,121.9,37,22,15,27,0,101,121.9,100.2
13,200902030DEN,"9:00 PM, February 3, 2009",2009,"Pepsi Center, Denver, Colorado",San Antonio Spurs,Denver Nuggets,"18,536",95.9,Bennie Adams, Ken Mauer, Gary Zielinski,25,19,24,28,0,96,100.1,108.5,31,25,22,26,0,104,108.5,100.1
14,200902030HOU,"8:30 PM, February 3, 2009",2009,"Toyota Center, Houston, Texas",Chicago Bulls,Houston Rockets,"16,653",92.3,Matt Boland, Scott Foster, Jason Phillips,18,27,21,34,0,100,108.4,115.9,20,28,31,28,0,107,115.9,108.4
15,200902030IND,"7:00 PM, February 3, 2009",2009,"Conseco Fieldhouse, Indianapolis, Indiana",Minnesota Timberwolves,Indiana Pacers,"11,015",98.3,Curtis Blair, Steve Javie, Olandis Poole,27,29,22,38,0,116,118.1,113.0,32,27,23,29,0,111,113.0,118.1
16,200902030NJN,"7:30 PM, February 3, 2009",2009,"Izod Center, East Rutherford, New Jersey",Milwaukee Bucks,New Jersey Nets,"10,102",83.8,Tony Brown, Violet Palmer, Mark Wunderlich,16,21,26,22,0,85,101.4,118.1,23,22,29,25,0,99,118.1,101.4
17,200902030PHI,"7:00 PM, February 3, 2009",2009,"Wachovia Center, Philadelphia, Pennsylvania",Boston Celtics,Philadelphia 76ers,"16,831",89.3,Rodney Mott, Tom Washington, Zach Zarba,32,18,19,31,0,100,111.9,110.8,20,29,21,29,0,99,110.8,111.9
18,200902040DAL,"8:30 PM, February 4, 2009",2009,"American Airlines Center, Dallas, Texas",Portland Trail Blazers,Dallas Mavericks,"19,767",89.9,Bennie Adams, Jim Clark, Bob Delaney,29,16,27,27,0,99,110.1,115.7,27,30,25,22,0,104,115.7,110.1
19,200902040DET,"7:30 PM, February 4, 2009",2009,"The Palace of Auburn Hills, Auburn Hills, Michigan",Miami Heat,Detroit Pistons,"21,720",84.7,Brian Forte, Derrick Stafford, Greg Willard,21,21,20,28,0,90,106.2,109.8,20,25,25,23,0,93,109.8,106.2
20,200902040GSW,"10:30 PM, February 4, 2009",2009,"Oracle Arena, Oakland, California",Phoenix Suns,Golden State Warriors,"19,596",102.6,Joe DeRosa, Luis Grillo, Jack Nies,30,25,28,29,0,112,109.2,120.8,43,29,32,20,0,124,120.8,109.2
21,200902040MEM,"8:00 PM, February 4, 2009",2009,"FedEx Forum, Memphis, Tennessee",Houston Rockets,Memphis Grizzlies,"10,109",86.9,Ron Garretson, Courtney Kirkland, Ron Olesiak,31,24,19,19,0,93,107.0,119.6,31,27,30,16,0,104,119.6,107.0
22,200902040MIN,"8:00 PM, February 4, 2009",2009,"Target Center, Minneapolis, Minnesota",Atlanta Hawks,Minnesota Timberwolves,"13,745",90.9,Tony Brothers, Ed Malloy, Haywoode Workman,22,23,30,19,0,94,103.4,94.6,18,19,25,24,0,86,94.6,103.4
23,200902040NOH,"8:00 PM, February 4, 2009",2009,"New Orleans Arena, New Orleans, Louisiana",Chicago Bulls,New Orleans Hornets,"16,270",88.3,Sean Corbin, David Jones, Eli Roe,31,31,18,27,0,107,121.2,105.4,20,24,17,32,0,93,105.4,121.2
24,200902040NYK,"7:30 PM, February 4, 2009",2009,"Madison Square Garden (IV), New York, New York",Cleveland Cavaliers,New York Knicks,"19,763",91.2,Dan Crawford, Pat Fraher, Leon Wood,36,21,25,25,0,107,117.3,111.8,24,28,26,24,0,102,111.8,117.3
25,200902040OKC,"8:00 PM, February 4, 2009",2009,"Ford Center, Oklahoma City, Oklahoma",Denver Nuggets,Oklahoma City Thunder,"18,332",96.0,Dick Bavetta, Scott Wall, Sean Wright,32,27,30,25,0,114,118.7,117.7,31,39,24,19,0,113,117.7,118.7
26,200902040ORL,"7:00 PM, February 4, 2009",2009,"Amway Arena, Orlando, Florida",Los Angeles Clippers,Orlando Magic,"16,101",90.1,Scott Foster, Rodney Mott, Zach Zarba,22,26,23,25,0,96,106.5,138.7,34,38,32,21,0,125,138.7,106.5
27,200902040TOR,"7:00 PM, February 4, 2009",2009,"Air Canada Centre, Toronto, Canada",Los Angeles Lakers,Toronto Raptors,"19,800",93.5,Curtis Blair, Bill Kennedy, Tom Washington,26,32,27,30,0,115,123.0,114.4,31,32,24,20,0,107,114.4,123.0
28,200902040WAS,"7:00 PM, February 4, 2009",2009,"Verizon Center, Washington, District of Columbia",New Jersey Nets,Washington Wizards,"12,602",85.1,Mark Ayotte, Joe Crawford, Eric Dalen,27,31,35,22,0,115,135.2,103.4,22,31,18,17,0,88,103.4,135.2
29,200902050BOS,"8:00 PM, February 5, 2009",2009,"TD Banknorth Garden, Boston, Massachusetts",Los Angeles Lakers,Boston Celtics,"18,624",90.3,James Capers, Monty McCutchen, Leon Wood,23,28,26,24,9,110,110.3,109.3,20,32,29,20,8,109,109.3,110.3
30,200902050PHI,"7:00 PM, February 5, 2009",2009,"Wachovia Center, Philadelphia, Pennsylvania",Indiana Pacers,Philadelphia 76ers,"10,699",93.2,Dan Crawford, Marc Davis, Mark Lindsay,22,34,13,25,0,94,100.8,106.2,29,25,26,19,0,99,106.2,100.8
31,200902050UTA,"10:30 PM, February 5, 2009",2009,"EnergySolutions Arena, Salt Lake City, Utah",Dallas Mavericks,Utah Jazz,"19,911",95.4,David Guthrie, Eddie F. Rush, Gary Zielinski,20,27,19,21,0,87,91.2,120.6,24,33,37,21,0,115,120.6,91.2
32,200902060CHA,"7:00 PM, February 6, 2009",2009,"Time Warner Cable Arena, Charlotte, North Carolina",Atlanta Hawks,Charlotte Bobcats,"15,140",86.9,Tony Brown, Jason Phillips, Greg Willard,19,24,35,24,0,102,117.4,111.7,22,33,22,20,0,97,111.7,117.4
33,200902060IND,"7:00 PM, February 6, 2009",2009,"Conseco Fieldhouse, Indianapolis, Indiana",Orlando Magic,Indiana Pacers,"13,559",98.1,Brian Forte, Ron Garretson, Violet Palmer,29,22,23,28,0,102,103.9,109.0,32,29,19,27,0,107,109.0,103.9
34,200902060MEM,"8:00 PM, February 6, 2009",2009,"FedEx Forum, Memphis, Tennessee",Los Angeles Clippers,Memphis Grizzlies,"10,912",92.9,Jim Clark, Joe Crawford, Eli Roe,33,35,34,24,0,126,135.6,113.0,20,29,28,28,0,105,113.0,135.6
35,200902060NOH,"8:00 PM, February 6, 2009",2009,"New Orleans Arena, New Orleans, Louisiana",Toronto Raptors,New Orleans Hornets,"17,319",84.2,Dick Bavetta, Scott Wall, Sean Wright,16,32,21,23,0,92,109.3,120.0,26,16,22,37,0,101,120.0,109.3
36,200902060NYK,"7:30 PM, February 6, 2009",2009,"Madison Square Garden (IV), New York, New York",Boston Celtics,New York Knicks,"19,763",97.6,John Goble, Olandis Poole, Derrick Stafford,27,19,26,38,0,110,112.7,102.5,26,21,29,24,0,100,102.5,112.7
37,200902060OKC,"8:00 PM, February 6, 2009",2009,"Ford Center, Oklahoma City, Oklahoma",Portland Trail Blazers,Oklahoma City Thunder,"18,694",90.3,Kevin Fehr, Scott Foster, Haywoode Workman,25,15,26,27,0,93,103.0,113.0,37,23,21,21,0,102,113.0,103.0
38,200902060PHO,"10:30 PM, February 6, 2009",2009,"US Airways Center, Phoenix, Arizona",Golden State Warriors,Phoenix Suns,"18,422",103.1,David Guthrie, Eddie F. Rush, Gary Zielinski,21,33,31,20,0,105,101.8,111.5,31,28,27,29,0,115,111.5,101.8
39,200902060SAC,"10:00 PM, February 6, 2009",2009,"ARCO Arena (II), Sacramento, California",Utah Jazz,Sacramento Kings,"17,317",97.7,Mark Ayotte, Sean Corbin, Tommy Nunez,28,17,35,31,0,111,113.6,109.5,25,30,22,30,0,107,109.5,113.6
40,200902060WAS,"8:00 PM, February 6, 2009",2009,"Verizon Center, Washington, District of Columbia",Denver Nuggets,Washington Wizards,"20,173",92.6,Steve Javie, Bill Kennedy, Derek Richardson,30,38,34,22,0,124,134.0,111.3,23,25,22,33,0,103,111.3,134.0
41,200902070ATL,"7:00 PM, February 7, 2009",2009,"Philips Arena, Atlanta, Georgia",Los Angeles Clippers,Atlanta Hawks,"18,729",90.9,Curtis Blair, Joe DeRosa, Violet Palmer,27,28,35,31,0,121,133.1,106.7,17,24,31,25,0,97,106.7,133.1
42,200902070DAL,"8:30 PM, February 7, 2009",2009,"American Airlines Center, Dallas, Texas",Chicago Bulls,Dallas Mavericks,"20,349",93.1,Luis Grillo, Monty McCutchen, Leon Wood,24,26,22,25,17,114,110.9,111.9,20,28,29,20,18,115,111.9,110.9
43,200902070HOU,"8:30 PM, February 7, 2009",2009,"Toyota Center, Houston, Texas",Minnesota Timberwolves,Houston Rockets,"16,815",91.9,Rodney Mott, Phil Robinson, Tom Washington,27,23,21,19,0,90,97.9,116.4,20,30,28,29,0,107,116.4,97.9
44,200902070MEM,"8:00 PM, February 7, 2009",2009,"FedEx Forum, Memphis, Tennessee",Toronto Raptors,Memphis Grizzlies,"11,498",88.6,Bennie Adams, Matt Boland, Ken Mauer,21,14,20,15,0,70,79.1,88.1,18,25,17,18,0,78,88.1,79.1
45,200902070MIL,"8:30 PM, February 7, 2009",2009,"Bradley Center, Milwaukee, Wisconsin",Detroit Pistons,Milwaukee Bucks,"17,297",90.3,Eric Dalen, Bob Delaney, David Jones,30,24,25,30,17,126,126.4,121.4,19,26,37,27,12,121,121.4,126.4
46,200902070NJN,"7:30 PM, February 7, 2009",2009,"Izod Center, East Rutherford, New Jersey",Denver Nuggets,New Jersey Nets,"17,697",89.4,Tony Brothers, James Capers, Ron Olesiak,19,20,16,15,0,70,78.3,127.5,24,35,33,22,0,114,127.5,78.3
47,200902070PHI,"7:00 PM, February 7, 2009",2009,"Wachovia Center, Philadelphia, Pennsylvania",Miami Heat,Philadelphia 76ers,"17,216",86.7,Bill Kennedy, Eric Lewis, Ed Malloy,23,21,25,15,0,84,96.9,108.5,26,18,19,31,0,94,108.5,96.9
48,200902080BOS,"1:00 PM, February 8, 2009",2009,"TD Banknorth Garden, Boston, Massachusetts",San Antonio Spurs,Boston Celtics,"18,624",92.8,Tony Brown, Ron Garretson, Courtney Kirkland,22,38,14,31,0,105,113.1,106.7,23,29,24,23,0,99,106.7,113.1
49,200902080CLE,"3:30 PM, February 8, 2009",2009,"Quicken Loans Arena, Cleveland, Ohio",Los Angeles Lakers,Cleveland Cavaliers,"20,562",85.1,Marc Davis, Steve Javie, Zach Zarba,30,21,31,19,0,101,118.6,106.9,32,29,16,14,0,91,106.9,118.6
50,200902080DET,"8:00 PM, February 8, 2009",2009,"The Palace of Auburn Hills, Auburn Hills, Michigan",Phoenix Suns,Detroit Pistons,"22,076",91.3,James Capers, Joe Crawford, Eric Lewis,29,33,21,24,0,107,117.2,106.2,29,21,24,23,0,97,106.2,117.2
51,200902080GSW,"9:00 PM, February 8, 2009",2009,"Oracle Arena, Oakland, California",Utah Jazz,Golden State Warriors,"19,174",93.0,Jim Clark, Derrick Collins, Mark Wunderlich,21,24,24,27,0,96,103.2,124.7,23,25,38,30,0,116,124.7,103.2
52,200902080MIA,"6:00 PM, February 8, 2009",2009,"AmericanAirlines Arena, Miami, Florida",Charlotte Bobcats,Miami Heat,"17,656",83.4,Scott Foster, Mark Lindsay, Scott Wall,20,19,22,31,0,92,110.3,115.1,18,25,26,27,0,96,115.1,110.3
53,200902080NOH,"7:00 PM, February 8, 2009",2009,"New Orleans Arena, New Orleans, Louisiana",Minnesota Timberwolves,New Orleans Hornets,"16,046",86.6,Tommy Nunez, Jason Phillips, Greg Willard,31,21,28,17,0,97,112.0,116.6,24,25,27,25,0,101,116.6,112.0
54,200902080OKC,"7:00 PM, February 8, 2009",2009,"Ford Center, Oklahoma City, Oklahoma",Sacramento Kings,Oklahoma City Thunder,"18,271",93.1,David Jones, Jack Nies, Gary Zielinski,23,23,34,33,0,113,121.4,124.7,34,25,25,32,0,116,124.7,121.4
55,200902080ORL,"6:00 PM, February 8, 2009",2009,"Amway Arena, Orlando, Florida",New Jersey Nets,Orlando Magic,"16,533",87.6,Kevin Fehr, Derek Richardson, Tom Washington,18,27,20,19,0,84,95.9,115.3,32,27,20,22,0,101,115.3,95.9
56,200902080POR,"6:00 PM, February 8, 2009",2009,"Rose Garden Arena, Portland, Oregon",New York Knicks,Portland Trail Blazers,"20,609",89.4,Sean Corbin, David Guthrie, Eddie F. Rush,27,23,32,26,0,108,120.7,121.9,36,23,23,27,0,109,121.9,120.7
57,200902080WAS,"6:00 PM, February 8, 2009",2009,"Verizon Center, Washington, District of Columbia",Indiana Pacers,Washington Wizards,"13,708",92.0,Tony Brothers, Ed Malloy, Haywoode Workman,37,26,31,23,0,117,127.2,129.4,29,32,31,27,0,119,129.4,127.2
58,200902090CHA,"7:00 PM, February 9, 2009",2009,"Time Warner Cable Arena, Charlotte, North Carolina",Los Angeles Clippers,Charlotte Bobcats,"10,852",87.9,Dick Bavetta, Kevin Fehr, Derek Richardson,21,22,18,12,0,73,83.1,106.9,22,24,21,27,0,94,106.9,83.1
59,200902090MEM,"8:00 PM, February 9, 2009",2009,"FedEx Forum, Memphis, Tennessee",New Orleans Hornets,Memphis Grizzlies,"10,896",86.5,Curtis Blair, Monty McCutchen, Derrick Stafford,22,17,19,22,0,80,92.5,98.3,21,19,24,21,0,85,98.3,92.5
60,200902090MIL,"8:00 PM, February 9, 2009",2009,"Bradley Center, Milwaukee, Wisconsin",Houston Rockets,Milwaukee Bucks,"13,904",94.7,Joe DeRosa, Pat Fraher, Olandis Poole,23,35,18,36,0,112,118.3,130.9,32,32,34,26,0,124,130.9,118.3
61,200902090PHI,"7:00 PM, February 9, 2009",2009,"Wachovia Center, Philadelphia, Pennsylvania",Phoenix Suns,Philadelphia 76ers,"16,797",91.2,Bennie Adams, Matt Boland, Ken Mauer,25,19,22,25,0,91,99.7,118.4,30,25,25,28,0,108,118.4,99.7
