Index,game_id,date,season,arena,away_name,home_name,pace,attendance,ref1,ref2,ref3,away_q1,away_q2,away_q3,away_q4,away_ot,away_final,away_ortg,away_drtg,home_q1,home_q2,home_q3,home_q4,home_ot,home_final,home_ortg,home_drtg
0,201704010BRK,"6:00 PM, April 1, 2017",2017,"Barclays Center, Brooklyn, New York",Orlando Magic,Brooklyn Nets,"15,976",100.0,Eric Lewis, Ben Taylor, James Williams,33,20,36,22,0,111,111.0,121.0,33,27,29,32,0,121,121.0,111.0
1,201704010CHI,"5:00 PM, April 1, 2017",2017,"United Center, Chicago, Illinois",Atlanta Hawks,Chicago Bulls,"22,019",96.0,Pat Fraher, Justin Van Duyne, Sean Wright,21,25,38,20,0,104,108.3,110.4,23,29,27,27,0,106,110.4,108.3
2,201704010LAC,"3:30 PM, April 1, 2017",2017,"STAPLES Center, Los Angeles, California",Los Angeles Lakers,Los Angeles Clippers,"19,060",95.9,Matt Boland, Tony Brothers, Leon Wood,22,28,22,32,0,104,108.4,119.9,28,27,38,22,0,115,119.9,108.4
3,201704010MIN,"8:00 PM, April 1, 2017",2017,"Target Center, Minneapolis, Minnesota",Sacramento Kings,Minnesota Timberwolves,"18,960",100.9,Curtis Blair, Dan Crawford, Gary Zielinski,18,37,36,32,0,123,121.9,116.0,31,28,26,32,0,117,116.0,121.9
4,201704010POR,"10:00 PM, April 1, 2017",2017,"Moda Center, Portland, Oregon",Phoenix Suns,Portland Trail Blazers,"18,915",101.6,Bill Kennedy, Leroy Richardson, Scott Twardoski,21,32,34,30,0,117,115.2,128.0,37,26,34,33,0,130,128.0,115.2
5,201704020BRK,"6:00 PM, April 2, 2017",2017,"Barclays Center, Brooklyn, New York",Atlanta Hawks,Brooklyn Nets,"15,040",99.5,Brent Barnaky, Lauren Holtkamp, Ken Mauer,24,19,18,21,0,82,82.4,91.4,29,17,24,21,0,91,91.4,82.4
6,201704020CLE,"6:00 PM, April 2, 2017",2017,"Quicken Loans Arena, Cleveland, Ohio",Indiana Pacers,Cleveland Cavaliers,"20,562",88.4,Scott Foster, Courtney Kirkland, Tre Maddox,27,26,24,27,26,130,121.7,126.4,26,34,23,21,31,135,126.4,121.7
7,201704020GSW,"8:00 PM, April 2, 2017",2017,"Oracle Arena, Oakland, California",Washington Wizards,Golden State Warriors,"19,596",104.5,Tony Brothers, Derrick Collins, J.T. Orr,30,27,31,27,0,115,110.0,133.0,35,32,39,33,0,139,133.0,110.0
8,201704020LAL,"3:30 PM, April 2, 2017",2017,"STAPLES Center, Los Angeles, California",Memphis Grizzlies,Los Angeles Lakers,"18,997",92.4,Mike Callahan, Eric Dalen, Rodney Mott,27,22,31,23,0,103,111.5,116.9,22,28,29,29,0,108,116.9,111.5
9,201704020MIA,"6:00 PM, April 2, 2017",2017,"AmericanAirlines Arena, Miami, Florida",Denver Nuggets,Miami Heat,"19,600",98.0,Ron Garretson, Kevin Scott, Scott Wall,37,31,25,23,0,116,118.3,115.3,30,28,29,26,0,113,115.3,118.3
