Index,game_id,date,season,arena,away_name,home_name,pace,attendance,ref1,ref2,ref3,away_q1,away_q2,away_q3,away_q4,away_ot,away_final,away_ortg,away_drtg,home_q1,home_q2,home_q3,home_q4,home_ot,home_final,home_ortg,home_drtg
0,201705010CLE,"7:00 PM, May 1, 2017",2017,"Quicken Loans Arena, Cleveland, Ohio",Toronto Raptors,Cleveland Cavaliers,"20,562",100.1,Eric Lewis, Monty McCutchen, Derrick Stafford,18,30,26,31,0,105,104.8,115.8,30,32,34,20,0,116,115.8,104.8
1,201705010SAS,"9:30 PM, May 1, 2017",2017,"AT&T Center, San Antonio, Texas",Houston Rockets,San Antonio Spurs,"18,418",102.4,Ed Malloy, Ken Mauer, Josh Tiven,34,35,27,30,0,126,123.0,96.7,23,16,28,32,0,99,96.7,123.0
2,201705020BOS,"8:00 PM, May 2, 2017",2017,"TD Garden, Boston, Massachusetts",Washington Wizards,Boston Celtics,"18,624",96.0,Marc Davis, Rodney Mott, Tom Washington,42,25,22,25,5,119,112.3,121.7,29,35,20,30,15,129,121.7,112.3
3,201705020GSW,"10:30 PM, May 2, 2017",2017,"Oracle Arena, Oakland, California",Utah Jazz,Golden State Warriors,"19,596",91.2,Mike Callahan, John Goble, David Guthrie,21,25,27,21,0,94,103.1,116.3,27,31,26,22,0,106,116.3,103.1
4,201705030CLE,"7:00 PM, May 3, 2017",2017,"Quicken Loans Arena, Cleveland, Ohio",Toronto Raptors,Cleveland Cavaliers,"20,562",99.6,Sean Corbin, Dan Crawford, Sean Wright,22,26,25,30,0,103,103.4,125.5,34,28,37,26,0,125,125.5,103.4
5,201705030SAS,"9:30 PM, May 3, 2017",2017,"AT&T Center, San Antonio, Texas",Houston Rockets,San Antonio Spurs,"18,418",87.2,Tony Brothers, Scott Foster, Bill Spooner,30,25,28,13,0,96,110.1,138.8,33,32,23,33,0,121,138.8,110.1
6,201705040GSW,"10:30 PM, May 4, 2017",2017,"Oracle Arena, Oakland, California",Utah Jazz,Golden State Warriors,"19,596",100.3,Derrick Collins, Derrick Stafford, Zach Zarba,15,32,35,22,0,104,103.7,114.6,33,27,32,23,0,115,114.6,103.7
7,201705040WAS,"8:00 PM, May 4, 2017",2017,"Verizon Center, Washington, District of Columbia",Boston Celtics,Washington Wizards,"20,356",95.9,Tony Brown, James Capers, Monty McCutchen,17,23,29,20,0,89,92.8,120.9,39,24,32,21,0,116,120.9,92.8
8,201705050HOU,"9:30 PM, May 5, 2017",2017,"Toyota Center, Houston, Texas",San Antonio Spurs,Houston Rockets,"18,187",95.2,Dan Crawford, Marc Davis, Brian Forte,19,24,29,31,0,103,108.2,96.6,21,18,27,26,0,92,96.6,108.2
9,201705050TOR,"7:00 PM, May 5, 2017",2017,"Air Canada Centre, Toronto, Canada",Cleveland Cavaliers,Toronto Raptors,"20,384",94.9,Mike Callahan, Kane Fitzgerald, Bill Kennedy,28,21,30,36,0,115,121.1,99.0,24,28,25,17,0,94,99.0,121.1
10,201705060UTA,"8:30 PM, May 6, 2017",2017,"Vivint Smart Home Arena, Salt Lake City, Utah",Golden State Warriors,Utah Jazz,"19,911",92.3,Bennie Adams, Ed Malloy, Ken Mauer,27,22,23,30,0,102,110.5,98.6,17,33,20,21,0,91,98.6,110.5
11,201705070HOU,"9:00 PM, May 7, 2017",2017,"Toyota Center, Houston, Texas",San Antonio Spurs,Houston Rockets,"18,055",98.9,Mike Callahan, John Goble, Sean Wright,22,31,23,28,0,104,105.2,126.4,34,23,34,34,0,125,126.4,105.2
12,201705070TOR,"3:30 PM, May 7, 2017",2017,"Air Canada Centre, Toronto, Canada",Cleveland Cavaliers,Toronto Raptors,"20,307",92.0,Tony Brothers, Scott Foster, Pat Fraher,28,33,24,24,0,109,118.5,110.9,28,21,31,22,0,102,110.9,118.5
13,201705070WAS,"6:30 PM, May 7, 2017",2017,"Verizon Center, Washington, District of Columbia",Boston Celtics,Washington Wizards,"20,356",97.6,Sean Corbin, Dan Crawford, Ron Garretson,24,24,20,34,0,102,104.5,124.0,20,28,42,31,0,121,124.0,104.5
