Index,game_id,date,season,team,opp,starting_five,name,mp,fg,fga,fgp,tp,tpa,tpp,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm,tsp,efgp,tpar,ftr,orbp,drbp,trbp,astp,stlp,blkp,tovp,usgp,ortg,drtg
0,200106010MIL,"9:00 PM, June 1, 2001",2001,Philadelphia 76ers,Milwaukee Bucks,1,Allen Iverson,44:00,14,33,.424,5,9,.556,13,15,.867,1,1,2,3,1,1,6,1,46,-16,.581,.500,.273,.455,3.0,2.9,3.0,14.4,1.3,1.9,13.2,48.4,113,136
1,200106010MIL,"9:00 PM, June 1, 2001",2001,Philadelphia 76ers,Milwaukee Bucks,1,Dikembe Mutombo,44:00,5,10,.500,0,0,,0,0,,5,9,14,2,0,1,2,2,10,-12,.500,.500,.000,.000,15.2,26.5,20.9,6.7,0.0,1.9,16.7,12.7,109,129
2,200106010MIL,"9:00 PM, June 1, 2001",2001,Philadelphia 76ers,Milwaukee Bucks,1,Aaron McKie,43:00,5,12,.417,1,1,1.000,1,2,.500,0,3,3,9,1,0,1,4,12,-15,.466,.458,.083,.167,0.0,9.1,4.6,31.0,1.3,0.0,7.2,15.1,120,134
3,200106010MIL,"9:00 PM, June 1, 2001",2001,Philadelphia 76ers,Milwaukee Bucks,1,Tyrone Hill,31:00,4,8,.500,0,0,,1,1,1.000,2,6,8,0,0,0,2,4,9,-17,.533,.500,.000,.125,8.6,25.1,17.0,0.0,0.0,0.0,19.2,15.7,97,131
4,200106010MIL,"9:00 PM, June 1, 2001",2001,Philadelphia 76ers,Milwaukee Bucks,1,Jumaine Jones,28:00,3,7,.429,0,1,.000,0,0,,3,3,6,2,0,0,1,3,6,+9,.429,.429,.143,.000,14.3,13.9,14.1,10.4,0.0,0.0,12.5,13.3,107,136
5,200106010MIL,"9:00 PM, June 1, 2001",2001,Philadelphia 76ers,Milwaukee Bucks,0,Raja Bell,16:00,3,3,1.000,1,1,1.000,1,2,.500,0,1,1,2,3,0,0,4,8,+3,1.031,1.167,.333,.667,0.0,8.1,4.1,20.7,10.8,0.0,0.0,11.3,202,112
6,200106010MIL,"9:00 PM, June 1, 2001",2001,Philadelphia 76ers,Milwaukee Bucks,0,Eric Snow,13:00,0,2,.000,0,0,,0,0,,0,0,0,2,0,0,0,1,0,-21,.000,.000,.000,.000,0.0,0.0,0.0,19.4,0.0,0.0,0.0,7.2,64,141
7,200106010MIL,"9:00 PM, June 1, 2001",2001,Philadelphia 76ers,Milwaukee Bucks,0,Todd MacCulloch,10:00,2,2,1.000,0,0,,0,0,,1,1,2,1,0,1,0,0,4,+4,1.000,1.000,.000,.000,13.3,13.0,13.2,16.9,0.0,8.3,0.0,9.3,206,130
8,200106010MIL,"9:00 PM, June 1, 2001",2001,Philadelphia 76ers,Milwaukee Bucks,0,Kevin Ollie,7:00,0,1,.000,0,0,,0,0,,0,0,0,3,0,0,1,1,0,+9,.000,.000,.000,.000,0.0,0.0,0.0,54.1,0.0,0.0,50.0,13.3,69,141
9,200106010MIL,"9:00 PM, June 1, 2001",2001,Philadelphia 76ers,Milwaukee Bucks,0,Matt Geiger,3:00,0,0,,0,0,,0,0,,1,0,1,1,0,0,1,0,0,+2,,,,,44.4,0.0,21.9,42.1,0.0,0.0,100.0,15.6,74,141
