Index,game_id,date,season,team,opp,starting_five,name,mp,fg,fga,fgp,tp,tpa,tpp,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm,tsp,efgp,tpar,ftr,orbp,drbp,trbp,astp,stlp,blkp,tovp,usgp,ortg,drtg
0,200305010BOS,"7:00 PM, May 1, 2003",2003,Indiana Pacers,Boston Celtics,1,Jermaine O'Neal,43:00,6,15,.400,0,1,.000,13,16,.813,11,8,19,1,0,3,3,3,25,-17,.567,.400,.067,1.067,22.7,22.3,22.6,6.1,0.0,5.8,12.0,24.8,127,126
1,200305010BOS,"7:00 PM, May 1, 2003",2003,Indiana Pacers,Boston Celtics,1,Metta World Peace,41:00,6,18,.333,4,10,.400,4,6,.667,2,3,5,1,1,0,1,6,20,-22,.484,.444,.556,.333,4.3,8.8,6.2,6.5,1.4,0.0,4.6,22.5,120,131
2,200305010BOS,"7:00 PM, May 1, 2003",2003,Indiana Pacers,Boston Celtics,1,Reggie Miller,38:00,2,8,.250,1,6,.167,3,4,.750,1,1,2,0,0,0,0,3,8,-21,.410,.313,.750,.500,2.3,3.2,2.7,0.0,0.0,0.0,0.0,10.9,113,136
3,200305010BOS,"7:00 PM, May 1, 2003",2003,Indiana Pacers,Boston Celtics,1,Jamaal Tinsley,22:00,1,4,.250,0,1,.000,0,0,,1,1,2,0,0,0,1,3,2,-14,.250,.250,.250,.000,4.0,5.5,4.6,0.0,0.0,0.0,20.0,9.7,57,135
4,200305010BOS,"7:00 PM, May 1, 2003",2003,Indiana Pacers,Boston Celtics,1,Brad Miller,14:00,0,4,.000,0,0,,2,2,1.000,0,2,2,0,1,0,0,1,2,+3,.205,.000,.000,.500,0.0,17.1,7.3,0.0,4.1,0.0,0.0,14.9,64,123
5,200305010BOS,"7:00 PM, May 1, 2003",2003,Indiana Pacers,Boston Celtics,0,Jonathan Bender,22:00,4,8,.500,3,5,.600,1,2,.500,2,4,6,0,0,1,0,2,12,0,.676,.688,.625,.250,8.1,21.8,13.9,0.0,0.0,3.8,0.0,17.2,159,127
6,200305010BOS,"7:00 PM, May 1, 2003",2003,Indiana Pacers,Boston Celtics,0,Al Harrington,21:00,1,8,.125,0,1,.000,3,4,.750,2,7,9,1,0,1,5,3,5,-9,.256,.125,.125,.500,8.5,40.0,21.9,10.1,0.0,3.9,33.9,30.0,49,121
7,200305010BOS,"7:00 PM, May 1, 2003",2003,Indiana Pacers,Boston Celtics,0,Erick Strickland,19:00,3,10,.300,1,5,.200,5,6,.833,3,3,6,5,0,0,0,3,12,+2,.475,.350,.500,.600,14.0,18.9,16.1,72.5,0.0,0.0,0.0,28.4,140,131
8,200305010BOS,"7:00 PM, May 1, 2003",2003,Indiana Pacers,Boston Celtics,0,Ron Mercer,9:00,0,5,.000,0,0,,0,0,,1,0,1,1,0,0,0,0,0,-8,.000,.000,.000,.000,9.9,0.0,5.7,21.3,0.0,0.0,0.0,23.7,25,137
9,200305010BOS,"7:00 PM, May 1, 2003",2003,Indiana Pacers,Boston Celtics,0,Jeff Foster,8:00,2,3,.667,0,0,,0,0,,1,0,1,1,0,1,0,1,4,-10,.667,.667,.000,.000,11.1,0.0,6.4,46.2,0.0,10.3,0.0,16.0,161,129
