Index,game_id,date,season,team,opp,starting_five,name,mp,fg,fga,fgp,tp,tpa,tpp,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm,tsp,efgp,tpar,ftr,orbp,drbp,trbp,astp,stlp,blkp,tovp,usgp,ortg,drtg
0,201010260BOS,"7:30 PM, October 26, 2010",2011,Miami Heat,Boston Celtics,1,LeBron James,42:39,10,21,.476,3,6,.500,8,12,.667,0,4,4,3,1,2,8,1,31,+1,.590,.548,.286,.571,0.0,12.5,5.6,21.4,1.3,4.2,23.3,37.8,93,101
1,201010260BOS,"7:30 PM, October 26, 2010",2011,Miami Heat,Boston Celtics,1,Chris Bosh,37:37,3,11,.273,0,0,,2,2,1.000,2,6,8,2,1,1,1,4,8,-17,.337,.273,.000,.182,5.7,21.3,12.6,11.0,1.4,2.4,7.8,16.1,81,100
2,201010260BOS,"7:30 PM, October 26, 2010",2011,Miami Heat,Boston Celtics,1,Dwyane Wade,36:41,4,16,.250,1,3,.333,4,6,.667,0,4,4,6,3,0,6,4,13,-18,.349,.281,.188,.375,0.0,14.5,6.5,36.1,4.4,0.0,24.4,31.6,67,97
3,201010260BOS,"7:30 PM, October 26, 2010",2011,Miami Heat,Boston Celtics,1,Joel Anthony,16:41,1,1,1.000,0,0,,0,0,,3,4,7,1,0,1,0,2,2,-12,1.000,1.000,.000,.000,19.2,32.0,24.9,11.9,0.0,5.4,0.0,2.8,213,98
4,201010260BOS,"7:30 PM, October 26, 2010",2011,Miami Heat,Boston Celtics,1,Carlos Arroyo,12:33,1,3,.333,0,0,,1,1,1.000,0,0,0,0,0,0,0,0,3,-5,.436,.333,.000,.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,97,110
5,201010260BOS,"7:30 PM, October 26, 2010",2011,Miami Heat,Boston Celtics,0,Udonis Haslem,30:36,3,7,.429,0,0,,2,2,1.000,4,7,11,0,0,1,0,4,8,-4,.508,.429,.000,.286,13.9,30.5,21.3,0.0,0.0,3.0,0.0,12.1,124,100
6,201010260BOS,"7:30 PM, October 26, 2010",2011,Miami Heat,Boston Celtics,0,Eddie House,26:30,3,8,.375,2,4,.500,0,0,,0,0,0,2,1,0,0,0,8,0,.500,.500,.500,.000,0.0,0.0,0.0,16.8,2.0,0.0,0.0,14.2,113,106
7,201010260BOS,"7:30 PM, October 26, 2010",2011,Miami Heat,Boston Celtics,0,James Jones,26:04,2,7,.286,2,7,.286,0,0,,0,2,2,1,1,0,0,2,6,-2,.429,.429,1.000,.000,0.0,10.2,4.5,7.9,2.1,0.0,0.0,12.6,97,103
8,201010260BOS,"7:30 PM, October 26, 2010",2011,Miami Heat,Boston Celtics,0,Zydrunas Ilgauskas,10:39,0,0,,0,0,,1,2,.500,2,1,3,0,3,1,2,4,1,+17,.568,,,,20.0,12.5,16.7,0.0,15.3,8.5,69.4,12.7,60,65
9,201010260BOS,"7:30 PM, October 26, 2010",2011,Boston Celtics,Miami Heat,1,Rajon Rondo,41:29,2,9,.222,0,0,,0,0,,1,4,5,17,2,0,3,1,4,+4,.222,.222,.000,.000,3.2,10.3,7.1,66.3,2.6,0.0,25.0,14.2,97,91
10,201010260BOS,"7:30 PM, October 26, 2010",2011,Boston Celtics,Miami Heat,1,Paul Pierce,40:33,4,7,.571,3,4,.750,8,8,1.000,1,8,9,3,1,0,3,3,19,+12,.903,.786,.571,1.143,3.3,21.0,13.2,13.0,1.3,0.0,22.2,16.3,142,89
11,201010260BOS,"7:30 PM, October 26, 2010",2011,Boston Celtics,Miami Heat,1,Ray Allen,39:16,7,13,.538,5,8,.625,1,1,1.000,0,1,1,1,0,0,1,1,20,-2,.744,.731,.615,.077,0.0,2.7,1.5,5.2,0.0,0.0,6.9,18.0,127,100
12,201010260BOS,"7:30 PM, October 26, 2010",2011,Boston Celtics,Miami Heat,1,Kevin Garnett,35:13,4,11,.364,0,0,,2,4,.500,2,8,10,3,3,0,7,5,10,+7,.392,.364,.000,.364,7.6,24.2,16.8,15.4,4.6,0.0,35.4,27.5,62,80
13,201010260BOS,"7:30 PM, October 26, 2010",2011,Boston Celtics,Miami Heat,1,Shaquille O'Neal,18:09,3,7,.429,0,0,,3,8,.375,2,5,7,0,0,1,1,2,9,+7,.428,.429,.000,1.143,14.7,29.4,22.9,0.0,0.0,4.9,8.7,31.1,86,85
14,201010260BOS,"7:30 PM, October 26, 2010",2011,Boston Celtics,Miami Heat,0,Glen Davis,29:24,6,7,.857,0,0,,1,2,.500,1,4,5,0,0,1,0,2,13,+1,.825,.857,.000,.286,4.5,14.5,10.1,0.0,0.0,3.0,0.0,13.1,160,93
15,201010260BOS,"7:30 PM, October 26, 2010",2011,Boston Celtics,Miami Heat,0,Marquis Daniels,12:49,4,5,.800,0,1,.000,0,0,,0,2,2,0,0,0,1,3,8,+3,.800,.800,.200,.000,0.0,16.6,9.2,0.0,0.0,0.0,16.7,22.9,113,93
16,201010260BOS,"7:30 PM, October 26, 2010",2011,Boston Celtics,Miami Heat,0,Jermaine O'Neal,12:47,0,3,.000,0,0,,1,2,.500,1,1,2,0,0,2,1,1,1,+1,.129,.000,.000,.667,10.4,8.3,9.3,0.0,0.0,13.9,20.5,18.7,37,88
17,201010260BOS,"7:30 PM, October 26, 2010",2011,Boston Celtics,Miami Heat,0,Nate Robinson,10:20,2,7,.286,0,3,.000,0,0,,0,1,1,1,0,0,1,1,4,+7,.286,.286,.429,.000,0.0,10.3,5.7,20.5,0.0,0.0,12.5,37.9,58,96
18,201010260LAL,"10:30 PM, October 26, 2010",2011,Houston Rockets,Los Angeles Lakers,1,Aaron Brooks,41:39,7,16,.438,4,6,.667,6,6,1.000,1,2,3,9,0,0,2,0,24,+7,.644,.563,.375,.375,2.5,4.5,3.6,34.7,0.0,0.0,9.7,19.3,139,117
19,201010260LAL,"10:30 PM, October 26, 2010",2011,Houston Rockets,Los Angeles Lakers,1,Luis Scola,33:11,7,18,.389,0,0,,4,4,1.000,4,12,16,4,1,0,4,4,18,+7,.455,.389,.000,.222,12.6,34.0,23.9,20.8,1.4,0.0,16.8,27.9,96,103
20,201010260LAL,"10:30 PM, October 26, 2010",2011,Houston Rockets,Los Angeles Lakers,1,Shane Battier,31:24,1,5,.200,1,3,.333,0,0,,2,4,6,4,0,2,2,3,3,+9,.300,.300,.600,.000,6.6,12.0,9.5,16.8,0.0,4.1,28.6,8.7,82,111
21,201010260LAL,"10:30 PM, October 26, 2010",2011,Houston Rockets,Los Angeles Lakers,1,Kevin Martin,29:29,8,17,.471,3,6,.500,7,7,1.000,1,2,3,2,0,1,4,4,26,+4,.647,.559,.353,.412,3.5,6.4,5.0,13.0,0.0,2.2,16.6,31.8,116,115
22,201010260LAL,"10:30 PM, October 26, 2010",2011,Houston Rockets,Los Angeles Lakers,1,Yao Ming,23:21,4,11,.364,0,0,,1,2,.500,4,7,11,2,0,2,4,6,9,-6,.379,.364,.000,.182,17.9,28.2,23.3,13.8,0.0,5.5,25.2,26.5,76,104
23,201010260LAL,"10:30 PM, October 26, 2010",2011,Houston Rockets,Los Angeles Lakers,0,Brad Miller,24:39,1,4,.250,0,1,.000,7,8,.875,2,7,9,2,2,1,2,1,9,+4,.598,.250,.250,2.000,8.5,26.7,18.1,10.8,3.8,2.6,21.0,15.0,118,99
24,201010260LAL,"10:30 PM, October 26, 2010",2011,Houston Rockets,Los Angeles Lakers,0,Chase Budinger,21:41,6,10,.600,0,2,.000,1,1,1.000,2,3,5,0,0,0,2,2,13,-1,.623,.600,.200,.100,9.6,13.0,11.4,0.0,0.0,0.0,16.1,22.3,107,114
25,201010260LAL,"10:30 PM, October 26, 2010",2011,Houston Rockets,Los Angeles Lakers,0,Courtney Lee,15:03,4,9,.444,0,2,.000,0,0,,0,0,0,0,3,0,0,2,8,-14,.444,.444,.222,.000,0.0,0.0,0.0,0.0,9.3,0.0,0.0,23.3,97,98
26,201010260LAL,"10:30 PM, October 26, 2010",2011,Houston Rockets,Los Angeles Lakers,0,Chuck Hayes,14:49,0,0,,0,0,,0,0,,0,0,0,1,0,1,0,3,0,-9,,,,,0.0,0.0,0.0,8.5,0.0,4.3,,0.0,221,116
27,201010260LAL,"10:30 PM, October 26, 2010",2011,Houston Rockets,Los Angeles Lakers,0,Ish Smith,4:43,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-11,.000,.000,.000,.000,0.0,0.0,0.0,26.8,0.0,0.0,0.0,8.3,57,119
28,201010260LAL,"10:30 PM, October 26, 2010",2011,Los Angeles Lakers,Houston Rockets,1,Pau Gasol,40:07,11,23,.478,0,0,,7,9,.778,4,7,11,2,0,2,3,5,29,+1,.538,.478,.000,.391,9.4,18.2,13.6,8.9,0.0,3.4,10.0,29.8,109,109
29,201010260LAL,"10:30 PM, October 26, 2010",2011,Los Angeles Lakers,Houston Rockets,1,Kobe Bryant,37:04,8,20,.400,0,3,.000,11,12,.917,0,5,5,7,1,0,1,1,27,-8,.534,.400,.150,.600,0.0,14.1,6.7,30.6,1.3,0.0,3.8,28.3,123,110
