Index,game_id,date,season,team,opp,starting_five,name,mp,fg,fga,fgp,tp,tpa,tpp,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm,tsp,efgp,tpar,ftr,orbp,drbp,trbp,astp,stlp,blkp,tovp,usgp,ortg,drtg
0,201406050SAS,"9:00 PM, June 5, 2014",2014,Miami Heat,San Antonio Spurs,1,Chris Bosh,33:34,7,11,.636,3,4,.750,1,1,1.000,2,7,9,1,0,0,2,2,18,-12,.787,.773,.364,.091,7.0,37.1,18.9,5.3,0.0,0.0,14.9,19.4,135,125
1,201406050SAS,"9:00 PM, June 5, 2014",2014,Miami Heat,San Antonio Spurs,1,Dwyane Wade,33:02,8,18,.444,1,3,.333,2,2,1.000,2,1,3,2,1,0,2,4,19,-18,.503,.472,.167,.111,7.1,5.4,6.4,11.5,1.6,0.0,9.6,30.7,101,124
2,201406050SAS,"9:00 PM, June 5, 2014",2014,Miami Heat,San Antonio Spurs,1,LeBron James,32:53,9,17,.529,2,3,.667,5,6,.833,3,3,6,3,3,0,4,1,25,0,.636,.588,.176,.353,10.7,16.2,12.9,18.4,4.8,0.0,16.9,34.9,115,116
3,201406050SAS,"9:00 PM, June 5, 2014",2014,Miami Heat,San Antonio Spurs,1,Rashard Lewis,30:38,4,10,.400,2,6,.333,0,0,,0,0,0,0,0,0,0,1,10,-20,.500,.500,.600,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,101,128
4,201406050SAS,"9:00 PM, June 5, 2014",2014,Miami Heat,San Antonio Spurs,1,Mario Chalmers,17:14,1,3,.333,1,1,1.000,0,0,,0,1,1,1,3,1,5,5,3,-3,.500,.500,.333,.000,0.0,10.3,4.1,8.1,9.1,6.5,62.5,22.5,41,102
5,201406050SAS,"9:00 PM, June 5, 2014",2014,Miami Heat,San Antonio Spurs,0,Ray Allen,32:20,6,12,.500,3,8,.375,1,2,.500,0,3,3,3,5,0,0,4,16,-11,.621,.625,.667,.167,0.0,16.5,6.5,15.9,8.1,0.0,0.0,19.3,132,108
6,201406050SAS,"9:00 PM, June 5, 2014",2014,Miami Heat,San Antonio Spurs,0,Norris Cole,29:05,1,4,.250,0,3,.000,0,0,,0,3,3,5,2,0,2,3,2,-11,.250,.250,.750,.000,0.0,18.3,7.3,23.3,3.6,0.0,33.3,10.0,74,118
7,201406050SAS,"9:00 PM, June 5, 2014",2014,Miami Heat,San Antonio Spurs,0,Chris Andersen,17:32,1,2,.500,0,0,,0,0,,0,3,3,0,0,1,1,0,2,-1,.500,.500,.000,.000,0.0,30.4,12.1,0.0,0.0,6.4,33.3,8.3,63,121
8,201406050SAS,"9:00 PM, June 5, 2014",2014,Miami Heat,San Antonio Spurs,0,Shane Battier,13:42,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,1,0,+1,.000,.000,1.000,.000,0.0,13.0,5.2,9.5,0.0,0.0,0.0,3.5,57,127
9,201406050SAS,"9:00 PM, June 5, 2014",2014,Miami Heat,San Antonio Spurs,0,James Jones,0:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,201406050SAS,"9:00 PM, June 5, 2014",2014,Miami Heat,San Antonio Spurs,0,Greg Oden,0:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,201406050SAS,"9:00 PM, June 5, 2014",2014,Miami Heat,San Antonio Spurs,0,Toney Douglas,0:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,201406050SAS,"9:00 PM, June 5, 2014",2014,Miami Heat,San Antonio Spurs,0,Udonis Haslem,0:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
