Index,game_id,date,season,team,opp,starting_five,name,mp,fg,fga,fgp,tp,tpa,tpp,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm,tsp,efgp,tpar,ftr,orbp,drbp,trbp,astp,stlp,blkp,tovp,usgp,ortg,drtg
0,201705010CLE,"7:00 PM, May 1, 2017",2017,Toronto Raptors,Cleveland Cavaliers,1,Kyle Lowry,39:44,7,13,.538,2,4,.500,4,4,1.000,0,2,2,11,1,0,3,4,20,-13,.678,.615,.308,.308,0.0,5.8,2.7,43.5,1.2,0.0,16.9,19.5,129,119
1,201705010CLE,"7:00 PM, May 1, 2017",2017,Toronto Raptors,Cleveland Cavaliers,1,DeMar DeRozan,34:56,7,16,.438,0,1,.000,5,5,1.000,0,7,7,2,1,0,4,4,19,-32,.522,.438,.063,.313,0.0,22.9,10.8,9.4,1.4,0.0,18.0,27.8,89,115
2,201705010CLE,"7:00 PM, May 1, 2017",2017,Toronto Raptors,Cleveland Cavaliers,1,Serge Ibaka,32:29,6,14,.429,3,3,1.000,0,0,,1,5,6,3,0,0,1,3,15,-14,.536,.536,.214,.000,3.1,17.6,10.0,14.7,0.0,0.0,6.7,20.2,107,120
3,201705010CLE,"7:00 PM, May 1, 2017",2017,Toronto Raptors,Cleveland Cavaliers,1,Jonas Valanciunas,20:39,3,7,.429,0,0,,0,0,,1,5,6,0,0,1,1,2,6,-21,.429,.429,.000,.000,4.9,27.7,15.7,0.0,0.0,4.6,12.5,16.9,80,114
4,201705010CLE,"7:00 PM, May 1, 2017",2017,Toronto Raptors,Cleveland Cavaliers,1,DeMarre Carroll,15:17,1,1,1.000,1,1,1.000,0,0,,1,3,4,0,0,1,0,1,3,-15,1.500,1.500,1.000,.000,6.7,22.4,14.1,0.0,0.0,6.2,0.0,2.9,270,114
5,201705010CLE,"7:00 PM, May 1, 2017",2017,Toronto Raptors,Cleveland Cavaliers,0,P.J. Tucker,25:53,6,11,.545,1,4,.250,0,0,,3,8,11,1,0,1,1,2,13,-1,.591,.591,.364,.000,11.8,35.3,22.9,6.7,0.0,3.6,8.3,20.3,116,114
6,201705010CLE,"7:00 PM, May 1, 2017",2017,Toronto Raptors,Cleveland Cavaliers,0,Patrick Patterson,22:29,1,7,.143,1,5,.200,2,2,1.000,0,2,2,4,0,1,1,1,5,-14,.317,.214,.714,.286,0.0,10.2,4.8,23.2,0.0,4.2,11.3,17.3,79,118
7,201705010CLE,"7:00 PM, May 1, 2017",2017,Toronto Raptors,Cleveland Cavaliers,0,Norman Powell,20:37,3,11,.273,2,7,.286,4,7,.571,0,2,2,0,2,0,1,4,12,+14,.426,.364,.636,.636,0.0,11.1,5.2,0.0,4.6,0.0,6.6,32.0,82,110
8,201705010CLE,"7:00 PM, May 1, 2017",2017,Toronto Raptors,Cleveland Cavaliers,0,Cory Joseph,10:03,1,3,.333,0,1,.000,0,0,,0,0,0,1,0,0,0,1,2,0,.333,.333,.333,.000,0.0,0.0,0.0,14.0,0.0,0.0,0.0,13.0,82,123
9,201705010CLE,"7:00 PM, May 1, 2017",2017,Toronto Raptors,Cleveland Cavaliers,0,Delon Wright,7:59,0,1,.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,+14,.532,.000,.000,2.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,120,123
10,201705010CLE,"7:00 PM, May 1, 2017",2017,Toronto Raptors,Cleveland Cavaliers,0,Fred VanVleet,3:18,3,3,1.000,0,0,,0,0,,0,0,0,0,1,0,0,0,6,+9,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,14.5,0.0,0.0,39.7,200,90
11,201705010CLE,"7:00 PM, May 1, 2017",2017,Toronto Raptors,Cleveland Cavaliers,0,Jakob Poeltl,3:18,1,2,.500,0,0,,0,0,,1,0,1,0,0,1,0,0,2,+9,.500,.500,.000,.000,30.9,0.0,16.3,0.0,0.0,28.5,0.0,26.5,118,101
12,201705010CLE,"7:00 PM, May 1, 2017",2017,Toronto Raptors,Cleveland Cavaliers,0,Pascal Siakam,3:18,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,0,0,+9,,,,,30.9,34.6,32.7,0.0,0.0,0.0,,0.0,224,117
13,201705010CLE,"7:00 PM, May 1, 2017",2017,Cleveland Cavaliers,Toronto Raptors,1,LeBron James,41:02,13,23,.565,2,5,.400,7,8,.875,2,8,10,4,1,1,3,2,35,+16,.660,.609,.217,.348,5.6,19.9,13.1,19.7,1.2,1.9,10.2,31.5,124,105
14,201705010CLE,"7:00 PM, May 1, 2017",2017,Cleveland Cavaliers,Toronto Raptors,1,Tristan Thompson,38:13,3,8,.375,0,0,,5,6,.833,4,10,14,2,2,0,0,3,11,+33,.517,.375,.000,.750,12.0,26.7,19.8,7.1,2.5,0.0,0.0,12.2,132,102
15,201705010CLE,"7:00 PM, May 1, 2017",2017,Cleveland Cavaliers,Toronto Raptors,1,Kyrie Irving,34:43,7,16,.438,3,8,.375,7,9,.778,0,2,2,10,2,0,3,1,24,+32,.601,.531,.500,.563,0.0,5.9,3.1,47.2,2.8,0.0,13.1,28.9,121,106
16,201705010CLE,"7:00 PM, May 1, 2017",2017,Cleveland Cavaliers,Toronto Raptors,1,Kevin Love,32:11,5,13,.385,3,6,.500,5,6,.833,0,9,9,1,2,1,1,2,18,+29,.575,.500,.462,.462,0.0,28.6,15.1,4.7,3.0,2.4,6.0,22.6,110,98
17,201705010CLE,"7:00 PM, May 1, 2017",2017,Cleveland Cavaliers,Toronto Raptors,1,J.R. Smith,22:25,2,4,.500,2,4,.500,0,0,,0,2,2,1,0,0,0,2,6,+15,.750,.750,1.000,.000,0.0,9.1,4.8,6.2,0.0,0.0,0.0,7.8,145,111
18,201705010CLE,"7:00 PM, May 1, 2017",2017,Cleveland Cavaliers,Toronto Raptors,0,Iman Shumpert,17:32,2,5,.400,1,2,.500,0,0,,0,4,4,3,0,0,1,1,5,-16,.500,.500,.400,.000,0.0,23.3,12.3,24.5,0.0,0.0,16.7,15.0,100,108
19,201705010CLE,"7:00 PM, May 1, 2017",2017,Cleveland Cavaliers,Toronto Raptors,0,Deron Williams,17:30,2,5,.400,0,2,.000,0,0,,0,4,4,4,1,0,1,2,4,-18,.400,.400,.400,.000,0.0,23.3,12.3,32.7,2.7,0.0,16.7,15.0,95,102
20,201705010CLE,"7:00 PM, May 1, 2017",2017,Cleveland Cavaliers,Toronto Raptors,0,Kyle Korver,17:27,2,5,.400,2,4,.500,0,0,,1,0,1,1,0,0,1,2,6,+1,.600,.600,.800,.000,6.5,0.0,3.1,8.2,0.0,0.0,16.7,15.0,106,113
21,201705010CLE,"7:00 PM, May 1, 2017",2017,Cleveland Cavaliers,Toronto Raptors,0,Channing Frye,12:21,2,5,.400,1,3,.333,0,0,,0,0,0,0,0,1,0,1,5,-19,.500,.500,.600,.000,0.0,0.0,0.0,0.0,0.0,6.2,0.0,17.7,95,108
22,201705010CLE,"7:00 PM, May 1, 2017",2017,Cleveland Cavaliers,Toronto Raptors,0,Derrick Williams,3:18,0,0,,0,0,,0,0,,0,0,0,0,0,1,1,0,0,-9,,,,,0.0,0.0,0.0,0.0,0.0,23.1,100.0,13.3,0,92
23,201705010CLE,"7:00 PM, May 1, 2017",2017,Cleveland Cavaliers,Toronto Raptors,0,Dahntay Jones,2:59,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,2,2,-6,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,29.3,65,113
24,201705010CLE,"7:00 PM, May 1, 2017",2017,Cleveland Cavaliers,Toronto Raptors,0,James Jones,0:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,114
25,201705010CLE,"7:00 PM, May 1, 2017",2017,Cleveland Cavaliers,Toronto Raptors,0,Richard Jefferson,0:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,201705010SAS,"9:30 PM, May 1, 2017",2017,Houston Rockets,San Antonio Spurs,1,Ryan Anderson,35:13,4,12,.333,4,10,.400,2,2,1.000,0,6,6,3,2,1,0,0,14,+37,.543,.500,.833,.167,0.0,15.4,8.7,11.8,2.7,2.5,0.0,15.6,118,96
27,201705010SAS,"9:30 PM, May 1, 2017",2017,Houston Rockets,San Antonio Spurs,1,Trevor Ariza,31:20,7,14,.500,5,10,.500,4,4,1.000,1,3,4,2,2,0,2,2,23,+18,.730,.679,.714,.286,3.7,8.7,6.5,10.5,3.0,0.0,11.3,24.1,127,100
28,201705010SAS,"9:30 PM, May 1, 2017",2017,Houston Rockets,San Antonio Spurs,1,James Harden,31:20,6,13,.462,3,8,.375,5,5,1.000,0,1,1,14,4,0,3,3,20,+18,.658,.577,.615,.385,0.0,2.9,1.6,69.6,6.0,0.0,16.5,24.7,140,95
