g_id,game_time,t_id_home,t_id_away,home_q1_score,home_q2_score,home_q3_score,home_q4_score,away_q1_score,away_q2_score,away_q3_score,away_q4_score,home_ot_score,away_ot_score
201410280LAL,10:30 PM October 28 2014,0,30,19,26,24,21,31,31,23,23,NULL,NULL
201410280NOP,8:00 PM October 28 2014,1,19,24,24,30,23,25,16,23,20,NULL,NULL
201410280SAS,8:00 PM October 28 2014,2,16,26,19,31,25,24,29,20,27,NULL,NULL
201410290BOS,7:30 PM October 29 2014,3,32,32,35,34,20,23,18,31,33,NULL,NULL
201410290CHO,7:00 PM October 29 2014,4,21,25,21,22,32,24,33,26,17,8,6
201410290DEN,9:00 PM October 29 2014,5,23,23,19,23,24,21,19,23,16,NULL,NULL
201410290IND,7:00 PM October 29 2014,6,28,26,22,30,25,24,27,22,18,NULL,NULL
201410290MEM,8:00 PM October 29 2014,7,18,25,28,28,24,27,20,27,27,NULL,NULL
201410290MIA,7:30 PM October 29 2014,8,25,22,31,19,35,28,24,18,25,NULL,NULL
201410290NYK,8:00 PM October 29 2014,9,20,20,23,17,20,24,29,31,20,NULL,NULL
201410290PHO,10:00 PM October 29 2014,10,0,33,26,39,21,19,31,23,26,NULL,NULL
201410290POR,10:30 PM October 29 2014,11,29,29,20,26,31,34,20,23,12,NULL,NULL
201410290SAC,10:00 PM October 29 2014,12,24,23,26,14,14,25,22,26,22,NULL,NULL
201410290TOR,7:30 PM October 29 2014,13,26,24,36,26,23,22,30,19,31,NULL,NULL
201410290UTA,9:00 PM October 29 2014,14,30,27,23,22,21,27,31,17,29,NULL,NULL
201410300CLE,8:00 PM October 30 2014,15,9,25,19,20,26,18,24,25,28,NULL,NULL
201410300DAL,8:30 PM October 30 2014,16,14,36,33,24,27,20,24,29,29,NULL,NULL
201410300LAC,10:30 PM October 30 2014,17,29,22,24,24,23,28,13,21,28,NULL,NULL
201410300MIN,8:00 PM October 30 2014,18,23,21,24,30,22,21,23,21,26,NULL,NULL
201410300ORL,7:00 PM October 30 2014,19,25,23,28,15,32,28,26,28,23,NULL,NULL
201410310CHI,8:00 PM October 31 2014,20,15,27,25,17,29,28,30,20,20,10,16
201410310IND,7:00 PM October 31 2014,6,7,19,34,14,22,23,22,33,19,NULL,NULL
201410310LAL,10:30 PM October 31 2014,0,17,22,34,34,21,31,31,24,32,NULL,NULL
201410310MIL,8:30 PM October 31 2014,21,28,24,22,27,20,24,23,27,7,NULL,NULL
201410310PHO,10:00 PM October 31 2014,10,2,11,25,31,27,24,21,26,18,NULL,NULL
201410310SAC,10:00 PM October 31 2014,12,11,26,22,23,32,24,24,23,23,NULL,NULL
