g_id,home_q1_score,home_q2_score,home_q3_score,home_q4_score,away_q1_score,away_q2_score,away_q3_score,away_q4_score,home_ot_score,away_ot_score
201410280LAL,19,26,24,21,31,31,23,23,NULL,NULL
201410280NOP,24,24,30,23,25,16,23,20,NULL,NULL
201410280SAS,26,19,31,25,24,29,20,27,NULL,NULL
201410290BOS,32,35,34,20,23,18,31,33,NULL,NULL
201410290CHO,25,21,22,32,24,33,26,17,8,6
201410290DEN,23,19,23,24,21,19,23,16,NULL,NULL
201410290IND,26,22,30,25,24,27,22,18,NULL,NULL
201410290MEM,25,28,28,24,27,20,27,27,NULL,NULL
201410290MIA,22,31,19,35,28,24,18,25,NULL,NULL
201410290NYK,20,23,17,20,24,29,31,20,NULL,NULL
201410290PHO,33,26,39,21,19,31,23,26,NULL,NULL
201410290POR,29,20,26,31,34,20,23,12,NULL,NULL
201410290SAC,23,26,14,14,25,22,26,22,NULL,NULL
201410290TOR,24,36,26,23,22,30,19,31,NULL,NULL
201410290UTA,27,23,22,21,27,31,17,29,NULL,NULL
201410300CLE,25,19,20,26,18,24,25,28,NULL,NULL
201410300DAL,36,33,24,27,20,24,29,29,NULL,NULL
201410300LAC,22,24,24,23,28,13,21,28,NULL,NULL
201410300MIN,21,24,30,22,21,23,21,26,NULL,NULL
201410300ORL,23,28,15,32,28,26,28,23,NULL,NULL
201410310CHI,27,25,17,29,28,30,20,20,10,16
201410310IND,19,34,14,22,23,22,33,19,NULL,NULL
201410310LAL,22,34,34,21,31,31,24,32,NULL,NULL
201410310MIL,24,22,27,20,24,23,27,7,NULL,NULL
201410310PHO,11,25,31,27,24,21,26,18,NULL,NULL
201410310SAC,26,22,23,32,24,24,23,23,NULL,NULL
201004010DAL,16,20,20,26,18,25,29,25,NULL,NULL
201004010DEN,27,29,31,22,24,31,21,16,NULL,NULL
201004020BOS,30,23,30,26,32,25,30,22,5,10
201004020CHA,17,27,21,15,19,26,20,15,7,6
201004020CLE,23,26,20,24,23,23,20,22,NULL,NULL
201004020DET,23,27,23,21,26,30,29,24,NULL,NULL
201004020GSW,34,31,32,31,32,19,38,28,NULL,NULL
201004020IND,22,27,18,22,23,16,31,19,7,16
201004020LAL,33,21,21,31,16,29,22,25,NULL,NULL
201004020MEM,25,36,25,21,20,26,25,25,NULL,NULL
201004020SAS,29,25,33,25,27,29,22,22,NULL,NULL
201004020WAS,25,25,25,12,30,23,23,19,NULL,NULL
201004030ATL,23,31,20,17,21,24,29,11,NULL,NULL
201004030CHI,29,21,20,26,24,17,22,25,NULL,NULL
201004030DAL,37,22,26,31,35,32,27,27,NULL,NULL
201004030DEN,25,22,29,22,34,21,16,19,NULL,NULL
201004030MIL,22,36,23,26,18,16,28,36,NULL,NULL
201004030MIN,27,17,14,26,25,28,20,24,NULL,NULL
201004030NJN,30,29,25,31,24,23,24,16,NULL,NULL
201004030PHI,24,36,27,27,26,37,36,15,9,14
201004030SAC,25,24,20,18,32,16,24,26,NULL,NULL
201004040BOS,33,31,34,19,24,25,32,32,NULL,NULL
201004040IND,33,39,29,32,28,28,19,27,NULL,NULL
201004040LAC,27,28,24,28,29,30,27,27,NULL,NULL
201004040LAL,24,16,19,22,22,26,19,33,NULL,NULL
201004040OKC,43,29,18,26,25,25,31,27,NULL,NULL
201004040ORL,32,22,21,32,24,22,23,23,NULL,NULL
201004040TOR,24,30,25,33,37,20,31,25,NULL,NULL
201004040WAS,29,26,25,29,22,26,23,28,NULL,NULL
201004060CHA,34,25,25,25,14,22,36,28,NULL,NULL
201004060CHI,27,9,15,23,14,28,18,19,NULL,NULL
201004060CLE,35,20,35,23,26,27,26,22,NULL,NULL
201004060MEM,32,23,19,29,32,27,29,25,NULL,NULL
201004060NYK,27,26,33,18,21,31,26,23,NULL,NULL
201004060PHI,30,31,19,23,34,27,30,33,NULL,NULL
201004060SAC,18,29,20,19,18,29,24,24,NULL,NULL
201004060UTA,32,31,34,32,29,36,29,35,11,10
201004060WAS,40,28,26,18,23,20,34,17,NULL,NULL
201004070DAL,33,24,21,32,20,25,21,18,NULL,NULL
201004070DET,25,23,17,25,20,28,24,16,NULL,NULL
201004070HOU,33,27,36,17,22,24,31,19,NULL,NULL
201004070IND,38,34,20,21,25,34,31,15,NULL,NULL
201004070LAC,18,28,14,25,27,23,27,16,NULL,NULL
201004070MIA,27,26,24,22,25,22,30,18,NULL,NULL
201004070MIL,33,25,24,26,38,20,17,14,NULL,NULL
201004070MIN,28,29,21,29,31,37,31,17,NULL,NULL
201004070NOH,21,17,40,25,32,28,19,25,NULL,NULL
201004070OKC,33,19,28,14,30,21,22,25,NULL,NULL
201004070ORL,24,26,34,37,25,19,21,29,NULL,NULL
201004070PHO,29,32,27,24,29,23,28,21,NULL,NULL
201004070TOR,25,29,22,28,30,22,30,33,NULL,NULL
201004080CHI,28,32,22,27,28,28,24,28,NULL,NULL
201004080DEN,22,35,16,25,20,27,27,22,NULL,NULL
201004080SAC,33,30,21,32,27,20,29,18,NULL,NULL
201004090ATL,14,45,22,26,25,22,26,28,NULL,NULL
201004090BOS,17,14,23,42,30,22,23,31,NULL,NULL
201004090CLE,25,32,27,29,26,29,28,33,NULL,NULL
201004090HOU,24,26,21,26,23,24,16,27,NULL,NULL
201004090MIA,23,25,28,23,27,26,28,25,NULL,NULL
201004090MIN,17,17,31,23,21,31,22,23,NULL,NULL
201004090NJN,24,28,23,28,29,24,16,34,24,13
201004090NOH,30,25,20,28,32,28,29,25,NULL,NULL
201004090OKC,32,26,21,17,31,26,12,22,NULL,NULL
201004090ORL,35,27,28,28,21,27,31,24,NULL,NULL
201004090PHI,15,21,24,30,24,24,17,30,NULL,NULL
201004090POR,18,21,20,18,23,19,16,25,NULL,NULL
201004090SAS,30,27,25,17,21,37,28,21,NULL,NULL
201004100CHA,19,31,24,25,20,23,26,26,NULL,NULL
201004100DEN,19,21,21,24,20,25,23,36,NULL,NULL
201004100IND,25,31,32,27,34,26,19,23,NULL,NULL
201004100LAC,35,28,20,24,27,28,24,25,NULL,NULL
201004100MEM,26,32,20,23,21,30,35,34,NULL,NULL
201004100MIL,18,22,25,25,15,26,27,37,NULL,NULL
201004100SAC,24,29,26,29,35,30,35,26,NULL,NULL
201004100WAS,30,20,28,17,30,22,26,27,NULL,NULL
201004110CLE,28,22,23,19,19,27,31,21,NULL,NULL
201004110GSW,25,31,30,34,42,21,27,27,NULL,NULL
201004110LAL,23,23,25,17,20,25,24,22,NULL,NULL
201004110NOH,25,33,25,31,21,18,25,22,NULL,NULL
201004110NYK,29,18,27,24,24,31,32,24,NULL,NULL
201004110PHO,33,29,25,29,36,21,28,21,NULL,NULL
201004110TOR,23,25,17,23,28,30,26,20,NULL,NULL
201004120DEN,32,31,30,30,31,26,17,27,NULL,NULL
201004120DET,26,20,26,25,24,34,31,22,NULL,NULL
201004120IND,18,33,19,28,42,23,25,28,NULL,NULL
201004120LAC,26,17,26,25,37,27,35,18,NULL,NULL
201004120MIL,21,27,22,26,30,25,23,26,NULL,NULL
201004120NJN,20,24,33,18,28,31,22,24,NULL,NULL
201004120NYK,25,20,29,40,30,16,36,21,NULL,NULL
201004120PHI,27,27,32,19,27,26,29,25,NULL,NULL
201004120POR,22,21,30,30,28,23,20,24,NULL,NULL
201004120SAC,40,27,18,22,28,34,26,29,NULL,NULL
201004120SAS,33,36,29,35,26,21,27,37,NULL,NULL
201004130CHI,17,27,23,34,20,21,27,25,NULL,NULL
201004130GSW,22,25,22,25,22,25,30,26,NULL,NULL
201004130LAL,28,32,26,20,28,26,19,27,NULL,NULL
201004130PHO,38,32,27,26,26,23,21,31,NULL,NULL
201004140ATL,27,21,29,22,23,23,14,23,NULL,NULL
201004140BOS,20,30,28,17,23,32,33,18,NULL,NULL
201004140CHA,26,17,22,24,33,24,18,23,NULL,NULL
201004140DAL,30,26,19,21,22,24,18,25,NULL,NULL
201004140HOU,34,26,30,25,34,23,38,28,NULL,NULL
201004140LAC,23,29,26,29,28,21,16,26,NULL,NULL
201004140MIA,20,22,22,14,20,18,13,27,16,8
201004140MIN,29,29,21,19,27,21,20,35,NULL,NULL
201004140OKC,38,33,19,24,26,23,29,27,NULL,NULL
201004140ORL,37,26,30,32,20,30,20,41,NULL,NULL
201004140POR,33,25,33,25,33,27,25,37,NULL,NULL
201004140TOR,33,40,32,26,30,34,30,19,NULL,NULL
201004140UTA,25,17,18,26,30,29,22,19,NULL,NULL
201004140WAS,30,17,27,24,21,30,29,17,NULL,NULL
201004170ATL,34,28,19,21,17,23,30,22,NULL,NULL
201004170BOS,28,13,23,21,29,15,22,10,NULL,NULL
201004170CLE,32,24,17,23,18,23,19,23,NULL,NULL
201004170DEN,30,27,31,38,28,28,30,27,NULL,NULL
201004180DAL,23,27,26,24,18,27,24,25,NULL,NULL
201004180LAL,27,20,17,23,13,26,17,23,NULL,NULL
201004180ORL,31,28,17,22,20,23,23,23,NULL,NULL
201004180PHO,24,19,29,28,25,19,26,35,NULL,NULL
201004190CLE,28,24,25,35,22,28,27,25,NULL,NULL
201004190DEN,30,21,31,29,33,30,25,26,NULL,NULL
201004200ATL,28,24,24,20,20,26,16,24,NULL,NULL
201004200BOS,23,26,36,21,23,10,26,18,NULL,NULL
201004200LAL,26,19,28,22,18,29,22,23,NULL,NULL
201004200PHO,32,31,31,25,26,23,19,22,NULL,NULL
201004210DAL,20,26,26,16,24,34,24,20,NULL,NULL
201004210ORL,18,23,34,17,14,16,25,22,NULL,NULL
201004220CHI,32,24,23,29,21,24,23,38,NULL,NULL
201004220OKC,22,21,31,27,27,23,25,21,NULL,NULL
201004220POR,16,21,23,29,34,32,15,27,NULL,NULL
201004230MIA,29,20,23,26,27,21,32,20,NULL,NULL
201004230SAS,23,24,19,28,16,28,26,20,NULL,NULL
201004230UTA,21,31,32,21,27,21,20,25,NULL,NULL
201004240CHA,27,19,20,20,29,12,25,24,NULL,NULL
201004240MIL,36,16,26,29,19,21,17,32,NULL,NULL
201004240OKC,29,26,31,24,17,25,22,25,NULL,NULL
201004240POR,26,28,20,22,27,23,22,15,NULL,NULL
201004250CHI,21,31,24,22,24,38,37,22,NULL,NULL
201004250MIA,31,18,22,30,18,25,34,15,NULL,NULL
201004250SAS,20,17,29,26,17,31,11,30,NULL,NULL
201004250UTA,31,23,32,31,25,20,23,38,NULL,NULL
201004260CHA,25,20,23,22,23,20,28,28,NULL,NULL
