p_id,first_name,last_name
0,James,Harden
1,Eric,Gordon
2,Trevor,Ariza
3,Ryan,Anderson
4,Clint,Capela
5,Nene,Hilario
6,Corey,Brewer
7,K.J.,McDaniels
8,Sam,Dekker
9,Bobby,Brown
10,Tyler,Ennis
11,Kyle,Wiltjer
12,Montrezl,Harrell
13,LeBron,James
14,Kyrie,Irving
15,J.R.,Smith
16,Kevin,Love
17,Tristan,Thompson
18,Iman,Shumpert
19,Richard,Jefferson
20,Mike,Dunleavy
21,Channing,Frye
22,DeAndre,Liggins
23,James,Jones
24,Chris,Andersen
25,Jordan,McRae
26,Carmelo,Anthony
27,Derrick,Rose
28,Joakim,Noah
29,Kristaps,Porzingis
30,Courtney,Lee
31,Lance,Thomas
32,Brandon,Jennings
33,Justin,Holiday
34,Kyle,O'Quinn
35,Maurice,Ndour
36,Willy,Hernangomez
37,Sasha,Vujacic
38,Mindaugas,Kuzminskas
39,Tobias,Harris
40,Andre,Drummond
41,Kentavious,Caldwell-Pope
42,Marcus,Morris
43,Ish,Smith
44,Jon,Leuer
45,Stanley,Johnson
46,Beno,Udrih
47,Aron,Baynes
48,Darrun,Hilliard
49,Boban,Marjanovic
50,Henry,Ellenson
51,Michael,Gbinije
52,Nick,Young
53,Luol,Deng
54,Julius,Randle
55,Timofey,Mozgov
56,D'Angelo,Russell
57,Jordan,Clarkson
58,Larry,Nance
59,Lou,Williams
60,Tarik,Black
61,Jose,Calderon
62,Brandon,Ingram
63,Metta,World Peace
64,Marcelo,Huertas
65,Monta,Ellis
66,Paul,George
67,Jeff,Teague
68,Thaddeus,Young
69,Myles,Turner
70,C.J.,Miles
71,Lavoy,Allen
72,Aaron,Brooks
73,Al,Jefferson
74,Kevin,Seraphin
75,Georges,Niang
76,Joe,Young
77,Glenn,Robinson
78,Rudy,Gay
79,Arron,Afflalo
80,Ty,Lawson
81,DeMarcus,Cousins
82,Matt,Barnes
83,Garrett,Temple
84,Kosta,Koufos
85,Ben,McLemore
86,Anthony,Tolliver
87,Malachi,Richardson
88,Willie,Cauley-Stein
89,Skal,Labissiere
90,Darren,Collison
91,Dion,Waiters
92,Goran,Dragic
93,Justise,Winslow
94,Hassan,Whiteside
95,Luke,Babbitt
96,Tyler,Johnson
97,James,Johnson
98,Udonis,Haslem
99,Rodney,McGruder
100,Willie,Reed
101,Josh,McRoberts
102,Derrick,Williams
103,Troy,Williams
104,JaMychal,Green
105,Jarell,Martin
106,Wade,Baldwin
107,James,Ennis
108,Andrew,Harrison
109,Deyonta,Davis
110,Tony,Allen
111,Vince,Carter
112,Troy,Daniels
113,Zach,Randolph
114,Mike,Conley
115,Marc,Gasol
116,Gorgui,Dieng
117,Karl-Anthony,Towns
118,Zach,LaVine
119,Andrew,Wiggins
120,Kris,Dunn
121,Tyus,Jones
122,Brandon,Rush
123,Shabazz,Muhammad
124,Nemanja,Bjelica
125,Cole,Aldrich
126,Jordan,Hill
127,John,Lucas III
128,Adreian,Payne
129,Giannis,Antetokounmpo
130,Tony,Snell
131,Jabari,Parker
132,Matthew,Dellavedova
133,Miles,Plumlee
134,Malcolm,Brogdon
135,Greg,Monroe
136,Rashad,Vaughn
137,John,Henson
138,Michael,Beasley
139,Mirza,Teletovic
140,Jason,Terry
141,Thon,Maker
142,Dante,Cunningham
143,Anthony,Davis
144,Tim,Frazier
145,Solomon,Hill
146,E'Twaun,Moore
147,Lance,Stephenson
148,Buddy,Hield
149,Omer,Asik
150,Langston,Galloway
151,Alexis,Ajinca
152,Terrence,Jones
153,Cheick,Diallo
154,Elfrid,Payton
155,Evan,Fournier
156,Serge,Ibaka
157,Aaron,Gordon
158,Nikola,Vucevic
159,Bismack,Biyombo
160,D.J.,Augustin
161,Mario,Hezonja
162,Jeff,Green
163,C.J.,Watson
164,C.J.,Wilcox
165,Stephen,Zimmerman
166,Damjan,Rudez
167,Sergio,Rodriguez
168,Dario,Saric
169,Gerald,Henderson
