Index,date,bet,length,game_num,aw,hw,ao,ho,ab1,hb1,ab2,hb2,ab3,hb3,ab4,hb4,ab5,hb5,ab6,hb6,ab7,hb7,ab8,hb8,ab9,hb9,ab10,hb10
0,20061031,p,full,0,-,-,+6½-110,-6½-110,+4½-110,-4½+100,+4½-110,-4½-110,+4½-110,-4½-110,-,-,+4½-110,-4½-110,-,-,-,-,-,-,-,-,-,-
1,20061031,p,full,1,-,-,-4-110,+4-110,-8+100,+8-110,-8-110,+8-110,-8-110,+8-110,-,-,-8½-110,+8½-110,-,-,-,-,-,-,-,-,-,-
2,20061031,p,first,0,-,-,+3½-115,-3½-105,+2½-107,-2½-103,+2½-105,-2½-115,+2½-110,-2½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,20061031,p,first,1,-,-,-2-110,+2-110,-4½-110,+4½+100,-5-110,+5-110,-4½-115,+4½-105,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,20061031,p,sec,0,-,-,-,-,+6½+108,-6½-118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,20061031,p,sec,1,-,-,-,-,-3½-109,+3½-101,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,20061031,m,full,0,-,-,+225,-265,-,-191,+175,-210,+180,-210,-,-,+180,-220,-,-,-,-,-,-,-,-,-,-
7,20061031,m,full,1,-,-,-180,+158,-345,+315,-380,+315,-350,+290,-,-,-380,+290,-,-,-,-,-,-,-,-,-,-
8,20061031,m,first,0,-,-,+165,-190,+141,-151,+140,-160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,20061031,m,first,1,-,-,-150,+130,-230,+210,-250,+210,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,20061031,m,sec,0,-,-,-,-,+325,-375,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,20061031,m,sec,1,-,-,-,-,-198,+178,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
