Index,date,bet,length,game_num,aw,hw,ao,ho,ab1,hb1,ab2,hb2,ab3,hb3,ab4,hb4,ab5,hb5,ab6,hb6,ab7,hb7,ab8,hb8,ab9,hb9,ab10,hb10
0,20190401,p,full,0,42%,58%,+6-110,-6-110,+5½-107,-5½-103,+5½-105,-5½-105,+5½-115,-5½-105,+5½-114,-5½-106,+5½-105,-5½-115,+5½-105,-5½-105,+5½-110,-5½-110,+5½-110,-5½-110,+5½-115,-5½-105,+5½-114,-5½-106
1,20190401,p,full,1,59%,41%,+7-110,-7-110,+7-113,-7+102,+6½-102,-6½-108,+6½-115,-6½-105,+7-115,-7-105,+7-110,-7-110,+6½-105,-6½-105,+6½-110,-6½-110,+6½-110,-6½-110,+6½-105,-6½-115,+7-115,-7-105
2,20190401,p,full,2,45%,55%,-2½-110,+2½-110,+1½-100,-1½-110,+1-102,-1-108,+1-110,-1-110,+1-106,-1-114,-1-110,+1-110,+1½-105,-1½-105,+1-110,-1-110,+1-110,-1-110,+1-105,-1-115,+1-106,-1-114
3,20190401,p,full,3,57%,43%,+7½-110,-7½-110,+6½-102,-6½-108,+6½-102,-6½-108,+6½-105,-6½-115,+6½-108,-6½-112,+6½-110,-6½-110,+6½-105,-6½-105,+6½-110,-6½-110,+6½-110,-6½-110,+6½-105,-6½-115,+6½-108,-6½-112
4,20190401,p,full,4,39%,61%,+3-110,-3-110,+3½-100,-3½-110,+4-109,-4-101,+4-110,-4-110,+3½-105,-3½-115,+3½-110,-3½-110,+4-105,-4-105,+4-110,-4-110,+3½-110,-3½-110,+4-110,-4-110,+3½-105,-3½-115
5,20190401,p,full,5,57%,43%,-3½-110,+3½-110,-3-102,+3-108,-3-108,+3-102,-3-105,+3-115,-3-108,+3-112,-3½-110,+3½-110,-3-105,+3-105,-3-110,+3-110,-3-110,+3-110,-3-105,+3-115,-3-108,+3-112
6,20190401,p,full,6,47%,53%,-7½-110,+7½-110,-4½-107,+4½-103,-4½-107,+4½-103,-5-105,+5-115,-4½-114,+4½-106,-4½-110,+4½-110,-4½-105,+4½-105,-4½-110,+4½-110,-4½-110,+4½-110,-5-105,+5-115,-4½-114,+4½-106
7,20190401,p,full,7,51%,49%,+11½-110,-11½-110,+10½-104,-10½-106,+11-109,-11-101,+11-110,-11-110,+10½-110,-10½-110,+11-110,-11-110,+11-105,-11-105,+11-110,-11-110,+10½-110,-10½-110,+11-110,-11-110,+10½-110,-10½-110
8,20190401,p,full,8,45%,55%,+2½-110,-2½-110,+2-106,-2-104,+2-105,-2-105,+2-105,-2-115,+2-112,-2-108,+2-115,-2-105,+2-105,-2-105,+2-110,-2-110,+2-110,-2-110,+2-105,-2-115,+2-112,-2-108
9,20190401,p,first,0,45%,55%,+3-110,-3-110,+2½+105,-2½-118,+3-115,-3-105,+3-116,-3-104,+3-115,-3-105,+3-110,-3-110,+2½-105,-2½-115,+3-115,-3-105,+3-115,-3-105,+3-116,-3-104,+3-115,-3-105
10,20190401,p,first,1,41%,59%,+3½-105,-3½-115,+3½-103,-3½-109,+3½-110,-3½-110,+3½-115,-3½-105,+3½-105,-3½-115,+3½-105,-3½-115,+3½-105,-3½-115,+3½-110,-3½-110,+4-110,-4-110,+3½-110,-3½-110,+3½-105,-3½-115
11,20190401,p,first,2,34%,66%,-½-115,+½-105,PK-102,PK-111,+½-115,-½-105,+½-115,-½-105,PK-105,PK-115,-½+100,+½-120,PK-105,PK-115,-½-110,+½-110,+½-110,-½-110,+½-115,-½-105,PK-105,PK-115
12,20190401,p,first,3,37%,63%,+3½-105,-3½-115,+3½+104,-3½-116,+3½-105,-3½-115,+3½-105,-3½-115,+3½-105,-3½-115,+3½-105,-3½-115,+3½-105,-3½-115,+3½-110,-3½-110,+3½-105,-3½-115,+3½-105,-3½-115,+3½-105,-3½-115
13,20190401,p,first,4,47%,53%,+1½-110,-1½-110,+2-102,-2-110,+2-110,-2-110,+2-105,-2-115,+1½+101,-1½-121,+1½-105,-1½-115,+2-110,-2-110,+2-105,-2-115,+2-110,-2-110,+2-105,-2-115,+1½+101,-1½-121
14,20190401,p,first,5,62%,38%,-1½-115,+1½-105,-1½+105,+1½-117,-1½-105,+1½-115,-1-105,+1-115,-1-110,+1-110,-1½-105,+1½-115,-1-110,+1-110,-1½-110,+1½-110,-1½-105,+1½-115,-1-105,+1-115,-1-110,+1-110
15,20190401,p,first,6,54%,46%,-3-115,+3-105,-2½+103,+2½-116,-2-110,+2-110,-2-110,+2-110,-2-110,+2-110,-2½-110,+2½-110,-2-110,+2-110,-2½-110,+2½-110,-2-110,+2-110,-2-110,+2-110,-2-110,+2-110
16,20190401,p,first,7,41%,59%,+6½-110,-6½-110,+6½-109,-6½-103,+6½-110,-6½-110,+6½-115,-6½-105,+6½-118,-6½-102,+6½-110,-6½-110,+6½-115,-6½-105,+6½-110,-6½-110,+6-110,-6-110,+6½-115,-6½-105,+6½-118,-6½-102
17,20190401,p,first,8,36%,64%,+1-115,-1-105,+1-100,-1-112,+1-110,-1-110,+1-105,-1-115,+1-107,-1-113,+1-115,-1-105,+1-110,-1-110,+1-110,-1-110,+1-105,-1-115,+1-105,-1-115,+1-107,-1-113
18,20190401,p,sec,0,39%,61%,+2-110,-2-110,-,-,+2-122,-2+102,+1½-110,-1½-110,+2-110,-2-110,+2-110,-2-110,+1½-105,-1½-115,+1½-110,-1½-110,-,-,+1½-110,-1½-110,+2-110,-2-110
19,20190401,p,sec,1,50%,50%,-1-110,+1-110,-,-,+1-151,-1+131,-½-105,+½-115,-½-110,+½-110,-½-115,+½-105,-½-110,+½-110,-½-110,+½-110,-,-,-½-105,+½-115,-½-110,+½-110
20,20190401,p,sec,2,50%,50%,+2+102,-2-122,-,-,+5-155,-5+135,+2-105,-2-115,+2½-111,-2½-109,+2½-110,-2½-110,+2½-105,-2½-115,+2½-110,-2½-110,-,-,+2-105,-2-115,+2½-111,-2½-109
21,20190401,p,sec,3,49%,51%,+1-110,-1-110,-,-,+1½-132,-1½+112,+½-105,-½-115,+½-110,-½-110,+½-110,-½-110,+½-110,-½-110,+½-110,-½-110,-,-,+½-105,-½-115,+½-110,-½-110
22,20190401,p,sec,4,59%,41%,-3-110,+3-110,-,-,-3½+102,+3½-122,-2½-105,+2½-115,-3-103,+3-117,-3-110,+3-110,-3-105,+3-115,-2½-110,+2½-110,-,-,-2½-105,+2½-115,-3-103,+3-117
23,20190401,p,sec,5,45%,55%,+1½-110,-1½-110,-,-,+1½-110,-1½-110,+1½-104,-1½-116,+2-115,-2-105,+1½-110,-1½-110,+1½-110,-1½-110,+1½-110,-1½-110,-,-,+1½-104,-1½-116,+2-115,-2-105
24,20190401,p,sec,6,59%,41%,-8-110,+8-110,-,-,-8½+103,+8½-123,-8+100,+8-120,-8-104,+8-116,-8-110,+8-110,-8-105,+8-115,-8-110,+8-110,-,-,-8+100,+8-120,-8-104,+8-116
25,20190401,p,sec,7,45%,55%,+2½-110,-2½-110,-,-,+3-125,-3+105,+2½-115,-2½-105,+2-103,-2-117,-,-,+2½-110,-2½-110,+2½-110,-2½-110,-,-,+2½-115,-2½-105,+2-103,-2-117
26,20190401,p,sec,8,52%,48%,-4½-123,+4+115,-,-,-5+118,+5-138,-4½+110,+4½-130,-4½+110,+4½-130,-4½-110,+4½-110,-4½+105,+4½-125,-4½+100,+4½-120,-,-,-4½+110,+4½-130,-4½+110,+4½-130
27,20190401,m,full,0,61%,39%,+200,-260,+192,-214,+190,-210,+180,-215,+190,-220,+180,-220,+185,-220,+180,-220,+185,-225,+180,-215,+190,-220
28,20190401,m,full,1,59%,41%,+250,-300,+235,-265,+235,-255,+222,-270,+225,-265,+230,-280,+225,-275,+225,-265,+222,-265,+230,-280,+225,-265
29,20190401,m,full,2,43%,57%,-145,+115,+110,-121,+103,-113,-105,-115,+105,-125,-115,-105,+100,-120,-120,+100,-125,+105,+100,-120,+105,-125
30,20190401,m,full,3,58%,42%,+290,-350,+234,-264,+240,-260,+230,-280,+230,-275,+220,-270,+225,-275,+230,-270,+227,-275,+230,-280,+230,-275
31,20190401,m,full,4,50%,50%,+130,-150,+149,-165,+155,-165,+151,-175,+145,-165,+140,-160,+145,-165,+150,-170,+145,-165,+151,-175,+145,-165
32,20190401,m,full,5,52%,48%,-165,+145,-148,+134,-150,+140,-150,+130,-155,+135,-155,+135,-155,+135,-155,+135,-150,+130,-150,+130,-155,+135
33,20190401,m,full,6,41%,59%,-335,+255,-194,+174,-190,+175,-200,+170,-205,+175,-200,+170,-200,+170,-205,+175,-200,+170,-200,+170,-205,+175
