Index,date,bet,length,game_num,aw,hw,ao,ho,ab1,hb1,ab2,hb2,ab3,hb3,ab4,hb4,ab5,hb5,ab6,hb6,ab7,hb7,ab8,hb8,ab9,hb9,ab10,hb10
0,20131201,p,full,0,-,-,+1½-110,-1½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,20131201,p,full,1,-,-,-2-110,+2-110,-,-,+8½-110,-8½-110,-,-,-3½-110,+3½-110,-,-,+11½-110,-11½-110,-,-,+9-110,-9-110,-,-,-1-110,+1-110
2,20131201,p,first,0,-,-,+½-110,-½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,20131201,p,first,1,-,-,-½-110,+½-110,-,-,+4½-110,-4½-110,-,-,-2-110,+2-110,-,-,+6½-110,-6½-110,-,-,+5-115,-5-105,-,-,PK-110,PK-110
4,20131201,p,sec,0,-,-,+3-110,-3-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,20131201,p,sec,1,-,-,+1-110,-1-110,-,-,-2-110,+2-110,-,-,-2-110,+2-110,-,-,+8½-110,-8½-110,-,-,+6½-110,-6½-110,-,-,PK-110,PK-110
6,20131201,m,full,0,-,-,+100,-120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,20131201,m,full,1,-,-,-120,+100,-,-,+325,-400,-,-,-175,+155,-,-,+575,-850,-,-,+360,-450,-,-,+105,-115
8,20131201,m,first,0,-,-,+100,-120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,20131201,m,first,1,-,-,-125,+105,-,-,+210,-250,-,-,-145,+125,-,-,+335,-420,-,-,+245,-290,-,-,+100,-120
10,20131201,m,sec,0,-,-,+120,-140,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,20131201,m,sec,1,-,-,+110,-130,-,-,-155,+135,-,-,-150,+130,-,-,+335,-420,-,-,+255,-310,-,-,+100,-120
12,20131201,t,full,0,-,-,201-110,201-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,20131201,t,full,1,-,-,189½-110,189½-110,-,-,208-110,208-110,-,-,198½-110,198½-110,-,-,189-110,189-110,-,-,209½-110,209½-110,-,-,197½-110,197½-110
14,20131201,t,first,0,-,-,100½-110,100½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,20131201,t,first,1,-,-,93½-110,93½-110,-,-,102½-110,102½-110,-,-,99-110,99-110,-,-,94½-110,94½-110,-,-,104-110,104-110,-,-,97½-110,97½-110
16,20131201,t,sec,0,-,-,99½-110,99½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,20131201,t,sec,1,-,-,100-110,100-110,-,-,103½-110,103½-110,-,-,101½-110,101½-110,-,-,96-110,96-110,-,-,103½-110,103½-110,-,-,99-110,99-110
18,20131202,p,full,0,-,-,+6-110,-6-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,20131202,p,first,0,-,-,+3-105,-3-115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,20131202,p,sec,0,-,-,+1-110,-1-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,20131202,m,full,0,-,-,+210,-250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,20131202,m,first,0,-,-,+170,-200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,20131202,m,sec,0,-,-,+110,-130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,20131202,t,full,0,-,-,194-110,194-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,20131202,t,first,0,-,-,98-110,98-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,20131202,t,sec,0,-,-,96½-110,96½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,20131203,p,full,0,-,-,+4-110,-4-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,20131203,p,full,1,-,-,+10½-110,-10½-110,-,-,+7½-110,-7½-110,-,-,-4½-110,+4½-110,-,-,+3-110,-3-110,-,-,+8-110,-8-110,-,-,-6½-110,+6½-110
29,20131203,p,first,0,-,-,+2-115,-2-105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,20131203,p,first,1,-,-,+6-110,-6-110,-,-,+4-110,-4-110,-,-,-2½-110,+2½-110,-,-,+1½-110,-1½-110,-,-,+4½-110,-4½-110,-,-,-4-105,+4-115
31,20131203,p,sec,0,-,-,+2-110,-2-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,20131203,p,sec,1,-,-,+9-110,-9-110,-,-,+2-110,-2-110,-,-,+½-110,-½-110,-,-,+3-110,-3-110,-,-,+7-110,-7-110,-,-,-5½-110,+5½-110
33,20131203,m,full,0,-,-,+145,-165,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,20131203,m,full,1,-,-,+535,-650,-,-,+265,-325,-,-,-175,+165,-,-,+130,-150,-,-,+310,-370,-,-,-300,+250
35,20131203,m,first,0,-,-,+125,-145,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,20131203,m,first,1,-,-,+295,-355,-,-,+200,-240,-,-,-160,+140,-,-,+125,-145,-,-,+210,-250,-,-,-220,+180
37,20131203,m,sec,0,-,-,+145,-165,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
