Index,date,bet,length,game_num,aw,hw,ao,ho,ab1,hb1,ab2,hb2,ab3,hb3,ab4,hb4,ab5,hb5,ab6,hb6,ab7,hb7,ab8,hb8,ab9,hb9,ab10,hb10
0,20130201,p,full,0,-,-,-5-110,+5-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,20130201,p,full,1,-,-,-2½-110,+2½-110,-,-,+9½-110,-9½-110,-,-,+5-110,-5-110,-,-,+3-110,-3-110,-,-,+5-110,-5-110,-,-,+6-110,-6-110
2,20130201,p,first,0,-,-,-2½-110,+2½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,20130201,p,first,1,-,-,-1-110,+1-110,-,-,+5-115,-5-105,-,-,+2½-110,-2½-110,-,-,+1½-110,-1½-110,-,-,+3-115,-3-105,-,-,+3-105,-3-115
4,20130201,p,sec,0,-,-,-5-110,+5-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,20130201,p,sec,1,-,-,-4-110,+4-110,-,-,+1½-110,-1½-110,-,-,PK-110,PK-110,-,-,+3½-110,-3½-110,-,-,+4½-110,-4½-110,-,-,-1-110,+1-110
6,20130201,m,full,0,-,-,-190,+175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,20130201,m,full,1,-,-,-130,+110,-,-,+435,-500,-,-,+170,-185,-,-,+140,-150,-,-,+185,-200,-,-,+215,-235
8,20130201,m,first,0,-,-,-155,+135,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,20130201,m,first,1,-,-,-125,+105,-,-,+245,-290,-,-,+140,-160,-,-,+125,-145,-,-,+130,-150,-,-,+155,-175
10,20130201,m,sec,0,-,-,-300,+250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,20130201,m,sec,1,-,-,-260,+220,-,-,+120,-140,-,-,-,-,-,-,+155,-175,-,-,+180,-220,-,-,-130,+110
12,20130201,t,full,0,-,-,192-110,192-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,20130201,t,full,1,-,-,182½-110,182½-110,-,-,190½-110,190½-110,-,-,196½-110,196½-110,-,-,182-110,182-110,-,-,205½-110,205½-110,-,-,195½-110,195½-110
14,20130201,t,first,0,-,-,97½-110,97½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,20130201,t,first,1,-,-,92½-110,92½-110,-,-,94½-110,94½-110,-,-,99-110,99-110,-,-,91½-110,91½-110,-,-,103-110,103-110,-,-,99-110,99-110
16,20130201,t,sec,0,-,-,94½-110,94½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,20130201,t,sec,1,-,-,92½-110,92½-110,-,-,95½-110,95½-110,-,-,100½-110,100½-110,-,-,88½-110,88½-110,-,-,103-110,103-110,-,-,97-110,97-110
18,20130202,p,full,0,-,-,+11½-110,-11½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,20130202,p,full,1,-,-,+11½-110,-11½-110,-,-,-9½-110,+9½-110,-,-,+12½-110,-12½-110,-,-,+4½-110,-4½-110,-,-,+10½-110,-10½-110,-,-,+13-110,-13-110
20,20130202,p,first,0,-,-,+4-115,-4-105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,20130202,p,first,1,-,-,+6-110,-6-110,-,-,-6-105,+6-115,-,-,+7-110,-7-110,-,-,+1½-110,-1½-110,-,-,+6-110,-6-110,-,-,+7-110,-7-110
22,20130202,p,sec,0,-,-,+4-110,-4-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,20130202,p,sec,1,-,-,-1-110,+1-110,-,-,-5½-110,+5½-110,-,-,+3-110,-3-110,-,-,-4-110,+4-110,-,-,+6-110,-6-110,-,-,-1½-110,+1½-110
24,20130202,m,full,0,-,-,+250,-300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,20130202,m,full,1,-,-,+525,-750,-,-,-630,+465,-,-,+650,-1000,-,-,+130,-150,-,-,+475,-650,-,-,+850,-1300
26,20130202,m,first,0,-,-,+180,-220,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,20130202,m,first,1,-,-,+300,-360,-,-,-335,+275,-,-,+325,-400,-,-,+110,-130,-,-,+300,-360,-,-,+350,-440
28,20130202,m,sec,0,-,-,+180,-220,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,20130202,m,sec,1,-,-,-125,+105,-,-,-270,+230,-,-,+175,-210,-,-,-220,+180,-,-,+250,-300,-,-,-135,+115
30,20130202,t,full,0,-,-,181½-110,181½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,20130202,t,full,1,-,-,205-110,205-110,-,-,203½-110,203½-110,-,-,208½-110,208½-110,-,-,195-110,195-110,-,-,202-110,202-110,-,-,194-110,194-110
32,20130202,t,first,0,-,-,90½-110,90½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,20130202,t,first,1,-,-,101½-110,101½-110,-,-,102-110,102-110,-,-,105-110,105-110,-,-,94-110,94-110,-,-,101-110,101-110,-,-,98-110,98-110
34,20130202,t,sec,0,-,-,91-110,91-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,20130202,t,sec,1,-,-,101½-110,101½-110,-,-,103-110,103-110,-,-,104½-110,104½-110,-,-,93-110,93-110,-,-,100-110,100-110,-,-,95-110,95-110
36,20130203,p,full,0,-,-,-1-110,+1-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
