Index,date,bet,length,game_num,aw,hw,ao,ho,ab1,hb1,ab2,hb2,ab3,hb3,ab4,hb4,ab5,hb5,ab6,hb6,ab7,hb7,ab8,hb8,ab9,hb9,ab10,hb10
0,20100101,p,full,0,-,-,+11-110,-11-110,+11-105,-11-105,+11-110,-11-110,+11-110,-11-110,+11-110,-11-110,+11½-115,-11½-105,-,-,+11-109,-11-109,-,-,+11-110,-11-110,+11-110,-11-110
1,20100101,p,full,1,-,-,-8-110,+8-110,-8-101,+8-109,-8-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+8-110,-,-
2,20100101,p,full,2,-,-,+12-110,-12-110,-,-12-108,+12-110,-12-110,+12-110,-12-110,+12-110,-12-110,+12-110,-12-110,-,-,-,-,-,-,+12-110,-12-110,+12-110,-12-110
3,20100101,p,first,0,-,-,+6½-110,-6½-110,-,-6½-106,-,-6½-110,+6½-110,-6½-110,+6½-110,-6½-110,+6½-105,-6½-115,-,-,+6½-109,-6½-109,-,-,+6½-110,-6½-110,+6½-110,-6½-110
4,20100101,p,first,1,-,-,-4½-115,+4½-105,-4½-109,+4½-101,-4½-105,+4½-115,-4½-105,+4½-115,-,-,-,-,-,-,-4½-109,+4½-109,-,-,-4½-110,+4½-110,-,-
5,20100101,p,first,2,-,-,+7-105,-7-115,+7-110,-7+100,+7-105,-7-115,+7-105,-7-115,-,-7-110,-,-,-,-,+7-104,-7-114,-,-,+7-115,-7-105,-,-7-110
6,20100101,p,sec,0,-,-,+7-110,-7-110,+7½-104,-7½-106,+8-110,-8-110,+8-110,-8-110,+8-110,-8-110,+7½-105,-7½-115,-,-,+7½-109,-7½-109,-,-,+7-105,-7-115,+8-110,-8-110
7,20100101,p,sec,1,-,-,-3-110,+3-110,-3-104,+3-106,-2½-110,+2½-110,-3-110,+3-110,-3-110,+3-110,-3-115,+3-105,-,-,-3-109,+3-109,-,-,-3-110,+3-110,-3-110,+3-110
8,20100101,p,sec,2,-,-,+10½-110,-10½-110,+10½+130,-10½-142,+12-110,-12-110,+11½+100,-11½-120,+12-110,-12-110,+12+105,-12-125,-,-,+11½+100,-11½-120,-,-,+11½-110,-11½-110,+12-110,-12-110
9,20100101,m,full,0,-,-,+550,-800,+555,-680,-,-800,+600,-800,-,-,-,-,-,-,+550,-800,-,-,+550,-800,-,-
10,20100101,m,full,1,-,-,-410,+330,-342,+299,-350,+290,-,-,-,-,-,-,-,-,-350,+280,-,-,-345,+285,-,-
11,20100101,m,full,2,-,-,+650,-1000,+760,-,+675,-950,+700,-1000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,20100101,m,first,0,-,-,+335,-420,+322,-370,+315,-380,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,20100101,m,first,1,-,-,-265,+225,-260,+231,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,20100101,m,first,2,-,-,+360,-450,+331,-382,+325,-400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,20100101,m,sec,0,-,-,+340,-425,+346,-400,+325,-400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,20100101,m,sec,1,-,-,-190,+165,-164,+148,-175,+155,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,20100101,m,sec,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,20100101,t,full,0,-,-,204½-110,204½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,20100101,t,full,1,-,-,204½-110,204½-110,-,-,-,-,-,-,-,-,-,203-110,-,-,-,-,-,-,-,-,-,-
20,20100101,t,full,2,-,-,210-110,210-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,20100101,t,first,0,-,-,103-110,103-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,20100101,t,first,1,-,-,103-110,103-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,20100101,t,first,2,-,-,106½-110,106½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,20100101,t,sec,0,-,-,101-110,101-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,20100101,t,sec,1,-,-,101-110,101-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,20100101,t,sec,2,-,-,104½-110,104½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,20100102,p,full,0,-,-,-10½-110,+10½-110,-10-105,+10-105,-,+10-110,-10-110,+10-110,-10-110,-,-10½-105,+10½-115,-,-,-,+10-109,-,-,-10-110,+10-110,-10-110,-
28,20100102,p,full,1,-,-,+6-110,-6-110,+5½-111,-5½+101,+5-110,-5-110,+5-110,-5-110,+5-110,-5-110,+5½-110,-5½-110,-,-,+5-109,-5-109,-,-,+5-110,-5-110,+5-110,-5-110
29,20100102,p,full,2,-,-,+4½-110,-4½-110,+4+103,-4-113,+4½-110,-4½-110,+4-110,-4-110,+4½-110,-4½-110,+4-110,-4-110,-,-,+4-104,-,-,-,-,-4-110,+4½-110,-4½-110
30,20100102,p,full,3,-,-,-6-110,+6-110,-,+6+101,-6-110,+6-110,-6-110,+6-110,-6-110,+6-110,-,+6½-115,-,-,-6-109,+6-109,-,-,-6½-110,+6½-110,-6-110,+6-110
31,20100102,p,full,4,-,-,+3-110,-3-110,+3-103,-3-107,+3-110,-3-110,+3-110,-3-110,+3-110,-3-110,+3-105,-3-115,-,-,+3-109,-3-109,-,-,+3-110,-3-110,+3-110,-3-110
32,20100102,p,full,5,-,-,-3½-110,+3½-110,-3½-101,+3½-109,-3-110,+3-110,-3-110,+3-110,-3-110,+3-110,-3½-110,+3½-110,-,-,-3-109,+3-109,-,-,-3-110,+3-110,-3-110,+3-110
33,20100102,p,full,6,-,-,+2½-110,-2½-110,+2½-108,-2½-102,+2½-110,-2½-110,-,-,+2½-110,-2½-110,+2½-110,-2½-110,-,-,-,-2½-109,-,-,+2½-110,-2½-110,+2½-110,-2½-110
34,20100102,p,full,7,-,-,+1-110,-1-110,-,-1½-109,+2-110,-2-110,-,-2-110,+1½-110,-1½-110,+1½-110,-1½-110,-,-,+2-109,-2-109,-,-,+2-110,-2-110,+1½-110,-1½-110
35,20100102,p,full,8,-,-,+8-110,-8-110,+8-110,-,+8-110,-8-110,+8-110,-8-110,-,-8-110,+8½-115,-8½-105,-,-,+8-109,-8-109,-,-,+8-110,-8-110,-,-8-110
36,20100102,p,full,9,-,-,+5½-110,-5½-110,+7½-109,-7½-101,+7½-110,-7½-110,+7½-110,-7½-110,+7-110,-7-110,+7½-115,-7½-105,-,-,+7½-109,-7½-109,-,-,+7½-110,-7½-110,+7-110,-7-110
37,20100102,p,full,10,-,-,+4-110,-4-110,+3½-113,-3½+103,+3½-110,-3½-110,+3½-110,-3½-110,+3½-110,-3½-110,-,-4-105,-,-,+3½-109,-3½-109,-,-,+3½-110,-3½-110,+3½-110,-3½-110
38,20100102,p,full,11,-,-,-5½-110,+5½-110,-4-105,+4-105,-4-110,+4-110,-,+4-110,-4-110,+4-110,-4½-105,+4½-115,-,-,-4-109,+4-109,-,-,-4-110,+4-110,-4-110,+4-110
39,20100102,p,first,0,-,-,-6-110,+6-110,-6+100,+6-110,-6-105,+6-115,-5½-115,+5½-105,-5½-110,+5½-110,-6-110,+6-110,-,-,-6-104,+6-114,-,-,-6-110,-,-5½-110,+5½-110
40,20100102,p,first,1,-,-,+3-105,-3-115,+3+101,-3-111,+3-115,-3-105,+2½-105,-2½-115,+2½-110,-2½-110,+3-115,-,-,-,+3-114,-3-104,-,-,+2½-105,-2½-115,+2½-110,-2½-110
41,20100102,p,first,2,-,-,+2½-105,-2½-115,+2-101,-,+2-110,-,+2-105,-2-115,+2½-110,-2½-110,+2-110,-2-110,-,-,+2-104,-2-114,-,-,+2-105,-2-115,+2½-110,-2½-110
42,20100102,p,first,3,-,-,-3½-110,+3½-110,-3-112,+3+102,-3-115,+3-105,-3-110,-,-,+3-110,-3-110,+3-110,-,-,-3-109,+3-109,-,-,-3-115,+3-105,-,+3-110
43,20100102,p,first,4,-,-,+2-115,-2-105,+1½-108,-1½-102,+1½-115,-1½-105,+1-105,-,+2-110,-2-110,+1½-110,-1½-110,-,-,+1½-109,-1½-109,-,-,+1½-110,-1½-110,+2-110,-2-110
44,20100102,p,first,5,-,-,-1½-110,+1½-110,-1½-110,+1½+100,-1½-110,+1½-110,-,+1½-110,-1½-110,+1½-110,-1½-115,+1½-105,-,-,-1½-109,+1½-109,-,-,-1½-110,+1½-110,-1½-110,+1½-110
45,20100102,p,first,6,-,-,+1½-115,-1½-105,+1½-112,-1½+102,+1½-115,-1½-105,+1½-115,-1½-105,+1½-110,-1½-110,+1½-115,-1½-105,-,-,+1½-114,-1½-104,-,-,-,-1½-105,+1½-110,-1½-110
46,20100102,p,first,7,-,-,+½-115,-½-105,+½+104,-½-114,+½-110,-½-110,-,-1-110,+½-110,-½-110,+½-105,+½-115,-,-,+1-109,-1-109,-,-,+½-105,-½-115,+½-110,-½-110
47,20100102,p,first,8,-,-,+4½-110,-4½-110,+4½-104,-4½-106,+4½-110,-4½-110,+4½-110,-4½-110,-,-4½-110,+4½-110,-,-,-,+4½-109,-4½-109,-,-,+4½-110,-4½-110,-,-4½-110
48,20100102,p,first,9,-,-,+3-110,-3-110,+4-105,-,+4-110,-4-110,+4-105,-,+4-110,-4-110,+4-110,-4-110,-,-,+4-104,-4-114,-,-,+4-105,-,+4-110,-4-110
49,20100102,p,first,10,-,-,+2-110,-2-110,+1½-105,-1½-105,+2-115,-2-105,+2-115,-2-105,+1½-110,-1½-110,+2-110,-2-110,-,-,+2-114,-2-104,-,-,+1½-110,-1½-110,+1½-110,-1½-110
50,20100102,p,first,11,-,-,-3-110,+3-110,-2-105,+2-105,-2-115,+2-105,-2-115,+2-105,-2½-110,+2½-110,-2-115,+2-105,-,-,-2-114,+2-104,-,-,-2-115,-,-2½-110,+2½-110
51,20100102,p,sec,0,-,-,-6½-110,+6½-110,-6½-101,+6½-109,-6½-110,+6½-110,-6½-110,+6½-110,-6½-110,+6½-110,-6½-115,+6½-105,-,-,-6½-109,+6½-109,-,-,-6½-105,+6½-115,-6½-110,+6½-110
52,20100102,p,sec,1,-,-,+4½-110,-4½-110,+5-111,-5+101,-,-4½-110,+4½-105,-4½-115,+5-110,-5-110,+4½-105,-4½-115,-,-,+4½-104,-4½-114,-,-,+4½-110,-4½-110,+5-110,-5-110
53,20100102,p,sec,2,-,-,-4-110,+4-110,-3½-111,+3½+101,-3½-110,+3½-110,-3-110,+3-110,-3½-110,+3½-110,-3½-110,-,-,-,-3½-114,-,-,-,-3½-110,+3½-110,-3½-110,+3½-110
54,20100102,p,sec,3,-,-,-4-110,+4-110,-4-110,+4+100,-,+4-105,-4-115,+4-105,-4-110,+4-110,-4-120,+4+100,-,-,-4-114,+4-104,-,-,-4-115,+4-105,-4-110,+4-110
55,20100102,p,sec,4,-,-,-2-110,+2-110,-2-106,+2-104,-2-110,+2-110,-2-115,+2-105,-2½-110,+2½-110,-,+2-110,-,-,-2-109,+2-109,-,-,-2-110,+2-110,-2½-110,+2½-110
56,20100102,p,sec,5,-,-,-4-110,+4-110,-3+100,+3-110,-4-110,+4-110,-3-105,+3-115,-3-110,+3-110,-3-125,+3+105,-,-,-4½-109,+4½-109,-,-,-3-115,+3-105,-3-110,+3-110
57,20100102,p,sec,6,-,-,+2½-110,-2½-110,+3-118,-3+108,+2½-110,-2½-110,-,-2½-110,+2½-110,-2½-110,+3-120,-3+100,-,-,+2½-109,-2½-109,-,-,+3-120,-3+100,+2½-110,-2½-110
58,20100102,p,sec,7,-,-,+2-110,-2-110,+2-104,-2-106,+2-110,-2-110,+2-110,-2-110,+1½-110,-1½-110,+2-110,-2-110,-,-,-,-2-109,-,-,+2-110,-2-110,+1½-110,-1½-110
59,20100102,p,sec,8,-,-,+9-110,-9-110,+8½+110,-8½-120,+9-110,-9-110,+9-105,-9-115,+9½-110,-9½-110,+9-105,-9-115,-,-,+9-109,-9-109,-,-,+9-110,-9-110,+9½-110,-9½-110
60,20100102,p,sec,9,-,-,+6-110,-6-110,+6+104,-6-114,-,-6½-110,+6½-110,-6½-110,+6½-110,-6½-110,-,-6-125,-,-,+6-104,-6-114,-,-,+6-105,-6-115,+6½-110,-6½-110
61,20100102,p,sec,10,-,-,+3-110,-3-110,+3-105,-3-105,+3-110,-3-110,+3-105,-3-115,+3-110,-3-110,+3-105,-3-115,-,-,+3-114,-3-104,-,-,-,-3-110,+3-110,-3-110
62,20100102,p,sec,11,-,-,+½-120,-½+100,PK-105,PK-105,+½-125,-½+105,-½-110,+½-110,-½-110,+½-110,PK-115,PK-105,-,-,-,PK-114,-,-,PK-110,PK-110,-½-110,+½-110
63,20100102,m,full,0,-,-,-650,+475,-575,+480,-600,+450,-625,+500,-600,+400,-,-,-,-,-599,+440,-,-,-600,+450,-600,+400
64,20100102,m,full,1,-,-,+210,-250,+177,-197,+178,-215,-,-210,+180,-220,+180,-220,-,-,+175,-205,-,-,-,-210,+180,-220
65,20100102,m,full,2,-,-,+170,-200,+170,-189,+165,-190,+160,-190,-,-200,+155,-175,-,-,+165,-190,-,-,+160,-180,-,-200
66,20100102,m,full,3,-,-,-260,+220,-260,+231,-,+230,-265,+225,-260,+220,-270,+230,-,-,-269,+230,-,-,-260,+220,-260,+220
67,20100102,m,full,4,-,-,+140,-160,-,-148,+130,-150,+130,-150,+130,-150,+135,-155,-,-,+130,-149,-,-,+130,-150,+130,-150
68,20100102,m,full,5,-,-,-155,+135,-150,+136,-155,+135,-155,+135,-155,+135,-160,+140,-,-,-149,+130,-,-,-155,+135,-155,+135
69,20100102,m,full,6,-,-,+120,-140,+121,-134,+120,-140,+120,-140,+120,-140,-,-,-,-,+115,-,-,-,+120,-140,+120,-140
70,20100102,m,full,7,-,-,-104,-116,+109,-120,-,-130,+110,-130,-,-,-,-,-,-,+109,-130,-,-,+110,-130,-,-
71,20100102,m,full,8,-,-,+300,-360,+297,-340,+290,-350,+300,-,+300,-400,+290,-380,-,-,+280,-350,-,-,+290,-350,+300,-400
72,20100102,m,full,9,-,-,+205,-245,+244,-275,+250,-300,+260,-310,+240,-290,+255,-310,-,-,+270,-330,-,-,+260,-320,+240,-290
73,20100102,m,full,10,-,-,+160,-185,+136,-150,+135,-155,+135,-155,+135,-155,+135,-155,-,-,+134,-154,-,-,+135,-,+135,-155
74,20100102,m,full,11,-,-,-245,+205,-185,+166,-190,+165,-190,+160,-175,+155,-180,+160,-,-,-190,+165,-,-,-180,+160,-175,+155
75,20100102,m,first,0,-,-,+115,+313,-330,+289,-365,+305,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76,20100102,m,first,1,-,-,+165,-190,+175,-195,+165,-190,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
77,20100102,m,first,2,-,-,+125,-145,+134,-148,+125,-145,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78,20100102,m,first,3,-,-,-190,+165,-188,+169,-185,+160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79,20100102,m,first,4,-,-,+125,-145,+127,-140,+115,-135,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
80,20100102,m,first,5,-,-,-130,+110,-133,+120,-130,+110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
81,20100102,m,first,6,-,-,+105,-125,+113,-125,+105,-125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
82,20100102,m,first,7,-,-,-105,-115,-,-,-103,-117,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
83,20100102,m,first,8,-,-,+195,-235,+205,-,+195,-235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
84,20100102,m,first,9,-,-,+155,-175,+188,-210,+190,-230,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
85,20100102,m,first,10,-,-,+130,-150,+125,-138,+120,-140,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
86,20100102,m,first,11,-,-,-185,+160,-146,+132,-150,+130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
87,20100102,m,sec,0,-,-,-475,+380,-,-,-475,+380,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
88,20100102,m,sec,1,-,-,+180,-220,+195,-225,+195,-235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
89,20100102,m,sec,2,-,-,-210,+175,-,-,-210,+175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
90,20100102,m,sec,3,-,-,-220,+180,-210,-,-235,+195,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
91,20100102,m,sec,4,-,-,-140,+120,-145,+131,-150,+130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
92,20100102,m,sec,5,-,-,-155,+135,-165,+149,-,+145,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
93,20100102,m,sec,6,-,-,+155,-175,+144,-160,+140,-160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
94,20100102,m,sec,7,-,-,+110,-130,+113,-125,+105,-125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95,20100102,m,sec,8,-,-,+475,-650,-,-,+475,-650,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96,20100102,m,sec,9,-,-,+240,-280,+256,-290,+265,-325,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97,20100102,m,sec,10,-,-,+125,-145,+131,-145,+130,-150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98,20100102,m,sec,11,-,-,-105,-115,-,-,-110,-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99,20100102,t,full,0,-,-,192½-110,192½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100,20100102,t,full,1,-,-,185½-110,185½-110,187-105,187-105,187-110,187-110,-,-,-,-,-,-,-,-,187-109,187-109,-,-,187-110,187-110,-,-
101,20100102,t,full,2,-,-,207½-110,207½-110,-,-,-,-,-,208-110,-,208-110,-,-,-,-,208-109,208-109,-,-,-,-,-,208-110
102,20100102,t,full,3,-,-,200-110,200-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103,20100102,t,full,4,-,-,194-110,194-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104,20100102,t,full,5,-,-,194-110,194-110,-,-,-,-,193-110,-,-,193-110,193-110,-,-,-,193-109,193-109,-,-,-,-,-,193-110
105,20100102,t,full,6,-,-,194½-110,194½-110,-,-,195-110,195-110,-,-,-,-,-,-,-,-,-,-,-,-,-,195-110,-,-
106,20100102,t,full,7,-,-,195½-110,195½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
107,20100102,t,full,8,-,-,227-110,227-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
108,20100102,t,full,9,-,-,203½-110,203½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
109,20100102,t,full,10,-,-,210½-110,210½-110,-,-,-,-,213½-110,-,-,-,213-110,213-110,-,-,-,-,-,-,213½-110,213½-110,-,-
110,20100102,t,full,11,-,-,206-110,206-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
111,20100102,t,first,0,-,-,98½-110,98½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112,20100102,t,first,1,-,-,93½-110,93½-110,94½-119,94½+109,95-110,95-110,-,94½-110,-,-,94½-110,94½-110,-,-,-,94½-109,-,-,94½-115,94½-105,-,-
113,20100102,t,first,2,-,-,105-110,105-110,-,-,-,-,-,-,-,-,-,105½-110,-,-,-,-,-,-,-,-,-,-
114,20100102,t,first,3,-,-,100-110,100-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
115,20100102,t,first,4,-,-,97-110,97-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,97-105,-,-,-
116,20100102,t,first,5,-,-,98-110,98-110,-,-,-,-,-,98-110,-,-,98-110,98-110,-,-,-,-,-,-,-,-,-,-
117,20100102,t,first,6,-,-,98-110,98-110,-,-,-,-,-,98½-110,98½-110,98½-110,98½-110,-,-,-,-,-,-,-,-,-,98½-110,98½-110
118,20100102,t,first,7,-,-,98½-110,98½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
119,20100102,t,first,8,-,-,114½-110,114½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120,20100102,t,first,9,-,-,102½-110,102½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
121,20100102,t,first,10,-,-,106-110,106-110,-,-,107-110,107-110,-,-,-,107-110,-,-,-,-,-,-,-,-,-,106½-105,-,107-110
122,20100102,t,first,11,-,-,104½-110,104½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
123,20100102,t,sec,0,-,-,93½-110,93½-110,93½-104,93½-106,-,93½-110,-,93½-110,93½-110,93½-110,-,-,-,-,-,93½-109,-,-,-,93½-115,93½-110,93½-110
124,20100102,t,sec,1,-,-,92½-110,92½-110,-,92½-115,-,92-110,-,91½-110,91½-110,-,92½-110,-,-,-,92½-104,92½-114,-,-,-,92½-115,91½-110,-
