Index,date,bet,length,game_num,aw,hw,ao,ho,ab1,hb1,ab2,hb2,ab3,hb3,ab4,hb4,ab5,hb5,ab6,hb6,ab7,hb7,ab8,hb8,ab9,hb9,ab10,hb10
0,20170601,p,full,0,52%,48%,+7-110,-7-110,+7½+102,-7½-113,+7½-102,-7½-108,+7½-105,-7½-115,+7½-105,-7½-115,+7-105,-7-115,+8-105,-8-105,+7½-105,-7½-115,+7½-110,-7½-110,+7½-105,-7½-115,+7½-105,-7½-115
1,20170601,p,first,0,41%,59%,+4-110,-4-110,+4½+105,-4½-118,+4½+100,-4½-110,+5-105,-5-115,+4½-105,-4½-115,-,-,+5-105,-5-115,+4½-105,-4½-115,+4½-105,-4½-115,+5-105,-5-115,+4½-105,-4½-115
2,20170601,p,sec,0,44%,56%,+2-110,-2-110,-,-,-8+500,+8-700,+2½-105,-2½-115,+2-102,-2-118,-,-,+2+105,-2-125,+2½-110,-2½-110,-,-,+2½-105,-2½-115,+2-102,-2-118
3,20170601,m,full,0,62%,38%,+255,-310,+281,-320,+280,-310,+278,-345,+270,-320,+240,-280,+290,-360,+255,-310,+270,-330,+278,-345,+270,-320
4,20170601,m,first,0,64%,36%,+195,-235,+243,-282,+230,-250,+241,-295,+215,-255,-,-,+225,-275,-,-,+220,-260,+241,-295,+215,-255
5,20170601,m,sec,0,58%,42%,+135,-155,-,-,+165,-175,-,-,+160,-180,-,-,+165,-190,-,-,-,-,-,-,+160,-180
6,20170601,t,full,0,46%,54%,225½-110,225½-110,225-100,225-110,225-102,225-108,224½-110,224½-110,225-110,225-110,225-105,225-115,225½-105,225½-105,224-110,224-110,225-110,225-110,224½-110,224½-110,225-110,225-110
7,20170601,t,first,0,50%,50%,116-110,116-110,113½-106,113½-106,114½-102,114½-108,113½-105,113½-115,114½-110,114½-110,-,-,114½-110,114½-110,115-110,115-110,114½-110,114½-110,113½-105,113½-115,114½-110,114½-110
8,20170601,t,sec,0,63%,37%,111½-110,111½-110,-,-,121½-590,121½+420,113-115,113-105,112½-125,112½+105,-,-,112½-130,112½+110,113-115,113-105,-,-,113-115,113-105,112½-125,112½+105
9,20170604,p,full,0,49%,51%,+7-110,-7-110,+9-105,-9-105,+9-108,-9-102,+9-115,-9-105,+9-110,-9-110,+9-105,-9-115,+9-108,-9-102,+9-110,-9-110,+9-110,-9-110,+9-115,-9-105,+9-110,-9-110
10,20170604,p,first,0,45%,55%,+5½-110,-5½-110,+5½-106,-5½-106,+5½-105,-5½-105,+5½-110,-5½-110,+5½-110,-5½-110,-,-,+5½-105,-5½-115,+5½-110,-5½-110,+5½-110,-5½-110,+5½-110,-5½-110,+5½-110,-5½-110
11,20170604,p,sec,0,50%,50%,+5-110,-5-110,-,-,-3+425,+3-550,+5½-110,-5½-110,+5-110,-5-110,-,-,+5-110,-5-110,+5+100,-5-120,-,-,+5½-110,-5½-110,+5-110,-5-110
