Index,date,bet,length,game_num,aw,hw,ao,ho,ab1,hb1,ab2,hb2,ab3,hb3,ab4,hb4,ab5,hb5,ab6,hb6,ab7,hb7,ab8,hb8,ab9,hb9,ab10,hb10
0,20130301,p,full,0,-,-,-2-110,+2-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,20130301,p,full,1,-,-,-1½-110,+1½-110,-,-,-6½-110,+6½-110,-,-,-7-110,+7-110,-,-,+4-110,-4-110,-,-,+8-110,-8-110,-,-,+3½-110,-3½-110
2,20130301,p,first,0,-,-,-½-110,+½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,20130301,p,first,1,-,-,-1-110,+1-110,-,-,-4-110,+4-110,-,-,-4-105,+4-115,-,-,+2-110,-2-110,-,-,+4½-110,-4½-110,-,-,+2-115,-2-105
4,20130301,p,sec,0,-,-,+½-120,-½+100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,20130301,p,sec,1,-,-,+½-115,-½-105,-,-,-5-110,+5-110,-,-,-1½-110,+1½-110,-,-,+1-110,-1-110,-,-,+5-110,-5-110,-,-,+1½-110,-1½-110
6,20130301,m,full,0,-,-,-120,+110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,20130301,m,full,1,-,-,-130,+110,-,-,-330,+300,-,-,-295,+265,-,-,+155,-165,-,-,+325,-400,-,-,+145,-155
8,20130301,m,first,0,-,-,-125,+105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,20130301,m,first,1,-,-,-120,+100,-,-,-230,+190,-,-,-210,+175,-,-,+130,-150,-,-,+200,-240,-,-,+120,-140
10,20130301,m,sec,0,-,-,-105,-115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,20130301,m,sec,1,-,-,+100,-120,-,-,-270,+230,-,-,-135,+115,-,-,+115,-135,-,-,+240,-280,-,-,+120,-140
12,20130301,t,full,0,-,-,193½-110,193½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,20130301,t,full,1,-,-,187-110,187-110,-,-,211½-110,211½-110,-,-,199-110,199-110,-,-,198½-110,198½-110,-,-,187-110,187-110,-,-,194-110,194-110
