Index,date,bet,length,game_num,aw,hw,ao,ho,ab1,hb1,ab2,hb2,ab3,hb3,ab4,hb4,ab5,hb5,ab6,hb6,ab7,hb7,ab8,hb8,ab9,hb9,ab10,hb10
0,20140501,p,full,0,-,-,-2-110,+2-110,+2-105,-2-105,+2-105,-2-105,+2-110,-2-110,+2-110,-2-110,+1½-115,-1½-105,+2-110,-2-110,+2-110,-2-110,+1½-110,-1½-110,+2-110,-2-110,+2-110,-2-110
1,20140501,p,first,0,-,-,-1-110,+1-110,+1-105,-1-105,+1-105,-1-105,+1-110,-1-110,+½-105,-½-115,PK+100,+½-125,+1-105,-1-115,+½-105,-½-115,+½-105,-½-115,+1-110,-1-110,+½-105,-½-115
2,20140501,p,sec,0,-,-,+2½-110,-2½-110,+2½-102,-2½-108,+2½-108,-2½-102,+2½-110,-2½-110,+2-105,-2-115,-,-,+2½-110,-2½-110,-,-,-,-,-,-,+2-105,-2-115
3,20140501,m,full,0,-,-,-130,+110,+113,-125,+117,-127,+115,-135,+105,-125,-,-,+110,-130,+105,-125,+105,-125,+115,-135,+105,-125
4,20140501,m,first,0,-,-,-115,-105,+113,-125,+115,-125,-105,-115,-,-,-,-,+110,-130,-105,-115,-,-,-,-,-,-
5,20140501,m,sec,0,-,-,+145,-165,+140,-155,+153,-163,+135,-160,+145,-165,-,-,+145,-165,-,-,-,-,-,-,+145,-165
6,20140501,t,full,0,-,-,187½-110,187½-110,188-103,188-107,188-103,188-107,188-110,188-110,188-110,188-110,188-115,188-105,188-110,188-110,188-110,188-110,188-110,188-110,188-110,188-110,188-110,188-110
7,20140501,t,first,0,-,-,93-110,93-110,92+104,92-115,92-102,92-108,92-105,92-115,91½-105,91½-115,92-115,92-105,92-110,92-110,92-105,92-115,92-110,92-110,92-105,92-115,91½-105,91½-115
8,20140501,t,sec,0,-,-,95-117,95-103,96½-102,96½-108,96½-105,96½-105,96-115,96-105,96½-110,96½-110,-,-,96½-115,96½-105,-,-,-,-,-,-,96½-110,96½-110
9,20140502,p,full,0,-,-,+5-108,-5-102,+4½+100,-4½-110,+4½-102,-4½-108,+4½-110,-4½-110,+5-110,-5-110,+4½-115,-4½-105,+4½-110,-4½-110,+4½-105,-4½-115,+4½-110,-4½-110,+4½-110,-4½-110,+5-110,-5-110
10,20140502,p,first,0,-,-,+3-115,-3-105,+3-105,-3-105,+3-115,-3-105,+3-115,-3-105,+3-110,-3-110,+2½+100,-2½-120,+3-110,-3-110,+3-110,-3-110,+3-115,-3-105,+3-115,-3-105,+3-110,-3-110
11,20140502,p,sec,0,-,-,-4-110,+4-110,-3½+102,+3½-113,-3½-101,+3½-109,-3½-110,+3½-110,-3½-110,+3½-110,-4-110,+4-110,-3½-110,+3½-110,-,-,-,-,-3½-115,+3½-105,-3½-110,+3½-110
12,20140502,m,full,0,-,-,+190,-210,+184,-205,+180,-195,+176,-207,+185,-215,+170,-200,+180,-210,+175,-205,+180,-210,+176,-207,+185,-215
13,20140502,m,first,0,-,-,+160,-185,+159,-177,+155,-175,-,-,+160,-180,-,-,+155,-175,-,-,+150,-170,-,-,+160,-180
14,20140502,m,sec,0,-,-,-200,+170,-175,+158,-185,+170,-190,+162,-190,+165,-,-,-190,+165,-,-,-,-,-195,+165,-190,+165
15,20140502,t,full,0,-,-,191-105,191-105,192½-108,192½-102,192½-107,192½-103,192½-110,192½-110,192½-112,192½-108,193-105,193-115,192½-110,192½-110,192½-110,192½-110,192½-110,192½-110,192½-110,192½-110,192½-112,192½-108
16,20140502,t,first,0,-,-,95½-110,95½-110,95½-105,95½-105,95½-110,95½-110,96-105,96-115,95½-110,95½-110,96-105,96-115,95½-110,95½-110,95½-110,95½-110,96-110,96-110,96-105,96-115,95½-110,95½-110
17,20140502,t,sec,0,-,-,96½-110,96½-110,96-105,96-105,96½-108,96½-102,96-105,96-115,96-110,96-110,97+105,97-125,96-110,96-110,-,-,-,-,96-108,96-112,96-110,96-110
