Index,date,bet,length,game_num,aw,hw,ao,ho,ab1,hb1,ab2,hb2,ab3,hb3,ab4,hb4,ab5,hb5,ab6,hb6,ab7,hb7,ab8,hb8,ab9,hb9,ab10,hb10
0,20121101,p,full,0,-,-,+2½-110,-2½-110,+2+100,-2-110,+2-102,-2-108,+2-110,-2-110,+2-110,-2-110,+1½-115,-1½-105,+2-110,-2-110,+2½-110,-2½-110,+2-110,-2-110,+2-110,-2-110,+2-110,-2-110
1,20121101,p,full,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,20121101,p,first,0,-,-,+1½-115,-1½-105,+1-101,-1-109,+1-110,-1-110,+1-110,-1-110,+1-110,-1-110,+1-115,-1-105,+1-115,-1-105,-,-,+1-105,-1-115,+1-110,-1-110,+1-110,-1-110
3,20121101,p,first,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,20121101,p,sec,0,-,-,-½-110,+½-110,-½-103,+½-107,-1+103,+1-123,-½-110,+½-110,-½-110,+½-110,-1-115,+1-105,-½-111,+½-109,-,-,-,-,-½-115,+½-105,-½-110,+½-110
5,20121101,p,sec,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,20121101,m,full,0,-,-,+120,-140,+118,-130,+115,-125,+110,-130,+110,-130,-,-,+110,-130,+115,-135,+110,-130,+114,-134,+110,-130
7,20121101,m,full,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,20121101,m,first,0,-,-,+105,-125,+120,-132,+110,-130,-,-,+110,-130,-,-,+110,-130,-110,-110,+105,-125,-,-,+110,-130
9,20121101,m,first,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,20121101,m,sec,0,-,-,-122,+102,-116,+105,-125,+105,-,-,-,-,-,-,-125,+105,-,-,-,-,-,-,-,-
11,20121101,m,sec,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,20121101,t,full,0,-,-,201-110,201-110,204+100,204-110,204-103,204-107,204-110,204-110,204-110,204-110,205-110,205-110,203½-110,203½-110,204-110,204-110,204-110,204-110,204-110,204-110,204-110,204-110
13,20121101,t,full,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,20121101,t,first,0,-,-,101-110,101-110,102½+104,102½-115,102-110,102-110,102-110,102-110,102½-110,102½-110,102½-115,102½-105,102½-105,102½-115,102½-110,102½-110,102½-110,102½-110,102½-105,102½-115,102½-110,102½-110
15,20121101,t,first,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,20121101,t,sec,0,-,-,101½-110,101½-110,101-107,101-103,101-117,101-103,100½-110,100½-110,101-110,101-110,101½-110,101½-110,101-110,101-110,-,-,-,-,101-115,101-105,101-110,101-110
17,20121101,t,sec,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,20121102,p,full,0,-,-,-6½-110,+6½-110,-7+104,+7-115,-6½-105,+6½-105,-6½-110,+6½-110,-7-105,+7-115,-7-115,+7-105,-6½-110,+6½-110,-7-105,+7-115,-7-110,+7-110,-6½-110,+6½-110,-7-105,+7-115
19,20121102,p,full,1,-,-,-5½-110,+5½-110,-6-105,+6-105,-6-102,+6-108,-6-110,+6-110,-6-110,+6-110,-6-115,+6-105,-6-110,+6-110,-6-110,+6-110,-6-110,+6-110,-6-110,+6-110,-6-110,+6-110
20,20121102,p,full,2,-,-,+5½-110,-5½-110,+5-105,-5-105,+5½-107,-5½-103,+5-110,-5-110,+5-110,-5-110,+5-110,-5-110,+5-105,-5-115,+5½-110,-5½-110,+5½-110,-5½-110,+5½-110,-5½-110,+5-110,-5-110
21,20121102,p,full,3,-,-,+7½-110,-7½-110,+7½-110,-7½+100,+7-103,-7-107,+7-110,-7-110,+7-110,-7-110,+7½-115,-7½-105,+7-105,-7-115,+7-110,-7-110,+7-110,-7-110,+7-110,-7-110,+7-110,-7-110
22,20121102,p,full,4,-,-,-2½-110,+2½-110,-2½-103,+2½-107,-3-105,+3-105,-2½-110,+2½-110,-3-105,+3-115,-3-115,+3-105,-2½-115,+2½-105,-3-110,+3-110,-3-110,+3-110,-2½-110,+2½-110,-3-105,+3-115
23,20121102,p,full,5,-,-,-3½-110,+3½-110,-3½+100,+3½-110,-3½-105,+3½-105,-3½-110,+3½-110,-3½-110,+3½-110,-3½-110,+3½-110,-3½-110,+3½-110,-3½-110,+3½-110,-3½-110,+3½-110,-3½-110,+3½-110,-3½-110,+3½-110
24,20121102,p,full,6,-,-,+2½-110,-2½-110,+3-105,-3-105,+3-102,-3-108,+3-110,-3-110,+3-115,-3-105,+3-110,-3-110,+3-105,-3-115,+3-105,-3-115,+3-110,-3-110,+3-110,-3-110,+3-115,-3-105
25,20121102,p,full,7,-,-,+9-110,-9-110,+8½-107,-8½-103,+8½-105,-8½-105,+8½-110,-8½-110,+8½-110,-8½-110,+8½-110,-8½-110,+8½-110,-8½-110,+8½-110,-8½-110,+8½-110,-8½-110,+8½-110,-8½-110,+8½-110,-8½-110
26,20121102,p,full,8,-,-,-5½-110,+5½-110,-6-109,+6-101,-6-110,+6-110,-6-110,+6-110,-6½-105,+6½-115,-6½-115,+6½-105,-6-115,+6-105,-6-110,+6-110,-6½-110,+6½-110,-6-110,+6-110,-6½-105,+6½-115
27,20121102,p,full,9,-,-,+4½-110,-4½-110,+4½-110,-4½+100,+4½-105,-4½-105,+4½-110,-4½-110,+4½-110,-4½-110,+4½-110,-4½-110,+4½-107,-4½-113,+4½-110,-4½-110,+4½-110,-4½-110,+4½-110,-4½-110,+4½-110,-4½-110
28,20121102,p,full,10,-,-,-1-110,+1-110,-1½+102,+1½-113,-1-105,+1-105,-1½-110,+1½-110,-1½-110,+1½-110,-1½-115,+1½-105,-1½-110,+1½-110,-1½-110,+1½-110,-1½-110,+1½-110,-1½-110,+1½-110,-1½-110,+1½-110
29,20121102,p,full,11,-,-,+1-110,-1-110,-1½-103,+1½-107,-1½-107,+1½-103,-1½-110,+1½-110,-1½-110,+1½-110,-1-110,+1-110,-2-105,+2-115,-1½-110,+1½-110,-1½-110,+1½-110,-1½-110,+1½-110,-1½-110,+1½-110
30,20121102,p,first,0,-,-,-4-105,+4-115,-4+109,+4-120,-3½-110,+3½-110,-3½-105,+3½-115,-4-105,+4-115,-4-110,+4-110,-3½-110,+3½-110,-,-,-4-105,+4-115,-3½-110,+3½-110,-4-105,+4-115
31,20121102,p,first,1,-,-,-3-115,+3-105,-3+100,+3-110,-3-110,+3-110,-3½-105,+3½-115,-3-110,+3-110,-3-115,+3-105,-3-110,+3-110,-,-,-3-115,+3-105,-3-110,+3-110,-3-110,+3-110
32,20121102,p,first,2,-,-,+3-105,-3-115,+3-107,-3-103,+3-115,-3-105,+3-110,-3-110,+3-115,-3-105,+3-115,-3-105,+3-115,-3-105,-,-,+3-115,-3-105,+3-110,-3-110,+3-115,-3-105
33,20121102,p,first,3,-,-,+4-110,-4-110,+3½-103,-3½-107,+4-115,-4-105,+4-110,-4-110,+4-115,-4-105,+4-105,-4-115,+4-120,-4+100,-,-,+4-115,-4-105,+4-115,-4-105,+4-115,-4-105
34,20121102,p,first,4,-,-,-1½-105,+1½-115,-1½+104,+1½-115,-1½-105,+1½-115,-1-110,+1-110,-1½-105,+1½-115,-1½-115,+1½-105,-1½+100,+1½-120,-,-,-1½-110,+1½-110,-1½+100,+1½-120,-1½-105,+1½-115
35,20121102,p,first,5,-,-,-2-105,+2-115,-2+109,+2-120,-1½-110,+1½-110,-2-105,+2-115,-2-105,+2-115,-2-105,+2-115,-2+100,+2-120,-,-,-2-105,+2-115,-2+100,+2-120,-2-105,+2-115
36,20121102,p,first,6,-,-,+1½-110,-1½-110,+1½-101,-1½-109,+1½-110,-1½-110,+1½-110,-1½-110,+1½-105,-1½-115,+1½-105,-1½-115,+1½-110,-1½-110,-,-,+1½-110,-1½-110,+1½-110,-1½-110,+1½-105,-1½-115
37,20121102,p,first,7,-,-,+4½-110,-4½-110,+4½-108,-4½-102,+4½-110,-4½-110,+4½-110,-4½-110,+4½-110,-4½-110,+4½-110,-4½-110,+4½-115,-4½-105,-,-,+4½-110,-4½-110,+4½-110,-4½-110,+4½-110,-4½-110
38,20121102,p,first,8,-,-,-3-115,+3-105,-3+100,+3-110,-3-110,+3-110,-3½-105,+3½-115,-3½-110,+3½-110,-3½-115,+3½-105,-3-115,+3-105,-,-,-3½-110,+3½-110,-3-115,+3-105,-3½-110,+3½-110
39,20121102,p,first,9,-,-,+2-110,-2-110,+2½-103,-2½-107,+2½-105,-2½-115,+2½-110,-2½-110,+2½-110,-2½-110,+2½-110,-2½-110,+2½-105,-2½-115,-,-,+2½-110,-2½-110,+2½-110,-2½-110,+2½-110,-2½-110
40,20121102,p,first,10,-,-,+½-115,-½-105,PK-105,PK-105,-½+105,+½-125,-½-105,+½-115,-½-110,+½-110,+½-115,PK-105,-½+105,+½-125,-,-,-½-105,+½-115,PK-115,PK-105,-½-110,+½-110
41,20121102,p,first,11,-,-,PK-120,PK+100,-1+102,+1-113,-½-110,+½-110,-½-105,+½-115,-1-105,+1-115,-1+100,+1-120,-1-105,+1-115,-,-,-½-115,+½-105,-1-105,+1-115,-1-105,+1-115
42,20121102,p,sec,0,-,-,-3-110,+3-110,-3+100,+3-110,-2½-121,+2½+101,-3-105,+3-115,-3-110,+3-110,-,-,-3-110,+3-110,-,-,-,-,-3-110,+3-110,-3-110,+3-110
43,20121102,p,sec,1,-,-,-7-110,+7-110,-7½-115,+7½+104,-7½-122,+7½+102,-7½-110,+7½-110,-8-110,+8-110,-,-,-8-105,+8-115,-,-,-,-,-8-105,+8-115,-8-110,+8-110
44,20121102,p,sec,2,-,-,+5-110,-5-110,+5½-113,-5½+102,+4½+101,-4½-121,+4½-110,-4½-110,+5-110,-5-110,-,-,+5-110,-5-110,-,-,-,-,+5-110,-5-110,+5-110,-5-110
45,20121102,p,sec,3,-,-,+8-110,-8-110,+8+102,-8-113,+8-101,-8-119,+8-105,-8-115,+8-105,-8-115,-,-,+8½-115,-8½-105,-,-,-,-,+8-110,-8-110,+8-105,-8-115
46,20121102,p,sec,4,-,-,+4½-110,-4½-110,+4½-101,-4½-109,+4½-102,-4½-118,+5-115,-5-105,+4½-105,-4½-115,-,-,+4½-110,-4½-110,-,-,-,-,+4½-110,-4½-110,+4½-105,-4½-115
47,20121102,p,sec,5,-,-,-2-110,+2-110,-2-105,+2-105,-2-110,+2-110,-2½-110,+2½-110,-2-115,+2-105,-2-115,+2-105,-2-112,+2-108,-,-,-,-,-2-110,+2-110,-2-115,+2-105
48,20121102,p,sec,6,-,-,PK-110,PK-110,-½-121,+½+110,-½-118,+½-102,-1-110,+1-110,-½-120,+½+100,-1-110,+1-110,-1-107,+1-113,-,-,-,-,-1-110,+1-110,-½-120,+½+100
49,20121102,p,sec,7,-,-,+3½-110,-3½-110,+3-110,-3+100,+2½+102,-2½-122,+2½-105,-2½-115,+3-115,-3-105,+3-110,-3-110,+3-105,-3-115,-,-,-,-,+3-115,-3-105,+3-115,-3-105
50,20121102,p,sec,8,-,-,-7-110,+7-110,-7+106,+7-117,-7½+102,+7½-122,-6½-115,+6½-105,-7+100,+7-120,-7½-110,+7½-110,-7-115,+7-105,-,-,-,-,-7-105,+7-115,-7+100,+7-120
51,20121102,p,sec,9,-,-,+8+415,-8-525,-½+102,+½-113,+8+415,-8-525,PK-120,PK+100,PK-110,PK-110,PK-110,PK-110,PK+100,PK-120,-,-,-,-,PK-115,PK-105,PK-110,PK-110
52,20121102,p,sec,10,-,-,+½-110,-½-110,+½-103,-½-107,+1-121,-1+101,+½-115,-½-105,+½-110,-½-110,-,+½-105,+½-113,-½-107,-,-,-,-,+½-110,-½-110,+½-110,-½-110
53,20121102,p,sec,11,-,-,+1-110,-1-110,+1+100,-1-110,+½-102,-½-118,+1-105,-1-115,+1-110,-1-110,+1+100,-1-120,+1-110,-1-110,-,-,-,-,+1-115,-1-105,+1-110,-1-110
54,20121102,m,full,0,-,-,-290,+245,-275,+244,-280,+255,-305,+255,-300,+250,-300,+250,-290,+240,-300,+250,-290,+235,-285,+242,-300,+250
55,20121102,m,full,1,-,-,-250,+210,-235,+210,-230,+210,-265,+225,-250,+210,-250,+210,-245,+205,-240,+200,-240,+200,-250,+210,-250,+210
56,20121102,m,full,2,-,-,+205,-245,+184,-205,+190,-210,+185,-215,+180,-210,+175,-210,+180,-215,+185,-225,+177,-215,+180,-220,+180,-210
57,20121102,m,full,3,-,-,+270,-330,+277,-315,+285,-315,+285,-335,+280,-335,+265,-330,+275,-335,+270,-330,+252,-325,+265,-325,+280,-335
58,20121102,m,full,4,-,-,-145,+125,-133,+120,-140,+130,-140,+120,-145,+125,-150,+130,-145,+125,-145,+125,-145,+125,-140,+120,-145,+125
59,20121102,m,full,5,-,-,-165,+145,-152,+137,-153,+143,-160,+140,-160,+140,-160,+140,-160,+140,-160,+140,-160,+140,-160,+140,-160,+140
60,20121102,m,full,6,-,-,+130,-150,+127,-140,+137,-147,+135,-155,+135,-155,+135,-155,+130,-150,+135,-155,+135,-155,+130,-150,+135,-155
61,20121102,m,full,7,-,-,+365,-460,+373,-435,+400,-450,+370,-450,+370,-445,+350,-500,+375,-475,+350,-450,+350,-450,+370,-450,+370,-445
62,20121102,m,full,8,-,-,-240,+200,-260,+231,-265,+225,-275,+235,-275,+230,-275,+235,-270,+230,-255,+215,-260,+220,-265,+225,-275,+230
63,20121102,m,full,9,-,-,+150,-170,+158,-175,+165,-175,+165,-195,+160,-180,+165,-190,+165,-190,+165,-190,+170,-200,+167,-190,+160,-180
64,20121102,m,full,10,-,-,-102,-118,-108,-102,-111,+101,-120,+100,-120,+100,-,-,-125,+105,-120,+100,-125,+105,-120,+100,-120,+100
65,20121102,m,full,11,-,-,-103,-117,-113,+102,-118,+108,-125,+105,-125,+105,-,-,-125,+105,-120,+100,-125,+105,-122,+102,-125,+105
66,20121102,m,first,0,-,-,-220,+180,-195,+175,-210,+175,-,-,-205,+175,-,-,-195,+170,-110,-110,-225,+185,-,-,-205,+175
