Index,date,bet,length,game_num,aw,hw,ao,ho,ab1,hb1,ab2,hb2,ab3,hb3,ab4,hb4,ab5,hb5,ab6,hb6,ab7,hb7,ab8,hb8,ab9,hb9,ab10,hb10
0,20151027,p,full,0,-,-,+1½-110,-1½-110,+4-105,-4-105,+4-110,-4-110,+4-110,-4-110,+4-110,-4-110,+3½-105,-3½-115,+4-105,-4-105,+4-110,-4-110,+4-110,-4-110,+4-110,-4-110,+4-110,-4-110
1,20151027,p,full,1,-,-,+8-110,-8-110,+6½+100,-6½-110,+7-107,-7-103,+7-110,-7-110,+7-110,-7-110,+7-105,-7-115,+7-105,-7-105,+7-110,-7-110,+7-110,-7-110,+7-110,-7-110,+7-110,-7-110
2,20151027,p,full,2,-,-,+8½-110,-8½-110,+10½-105,-10½-105,+10½-110,-10½-110,+10½-110,-10½-110,+10½-110,-10½-110,+10½-110,-10½-110,+10½-105,-10½-105,+10½-110,-10½-110,+10-110,-10-110,+10½-110,-10½-110,+10½-110,-10½-110
3,20151027,p,first,0,-,-,+1½-110,-1½-110,+2-106,-2-104,+2½-115,-2½-105,-,-,+2-115,-2-105,-,-,+2-110,-2-110,+2-105,-2-115,+2-105,-2-115,-,-,+2-115,-2-105
4,20151027,p,first,1,-,-,+3½-110,-3½-110,+3½+100,-3½-110,+3½-110,-3½-110,-,-,+3½-105,-3½-115,-,-,+4-115,-4-105,+4-110,-4-110,+3½-110,-3½-110,-,-,+3½-105,-3½-115
5,20151027,p,first,2,-,-,+5½-110,-5½-110,+7-105,-7-105,+6½-105,-6½-115,-,-,+6½-105,-6½-115,-,-,+6½-110,-6½-110,+6½-105,-6½-115,+6½-110,-6½-110,-,-,+6½-105,-6½-115
6,20151027,p,sec,0,-,-,+½-110,-½-110,-,-,+½-110,-½-110,-,-,+½-110,-½-110,-,-,+½-115,-½-105,-,-,-,-,-,-,+½-110,-½-110
7,20151027,p,sec,1,-,-,+7-110,-7-110,-,-,+7-110,-7-110,-,-,+7-110,-7-110,-,-,+7-110,-7-110,-,-,-,-,-,-,+7-110,-7-110
8,20151027,p,sec,2,-,-,+3-110,-3-110,-,-,+3-110,-3-110,-,-,+3-108,-3-112,-,-,+3-110,-3-110,-,-,-,-,-,-,+3-108,-3-112
9,20151027,m,full,0,-,-,+130,-150,+152,-171,+155,-175,+155,-175,+155,-175,+140,-160,+155,-175,+150,-170,+145,-165,+155,-175,+155,-175
10,20151027,m,full,1,-,-,+255,-310,+256,-290,+260,-290,+255,-320,+250,-300,+255,-310,+255,-315,+250,-300,+240,-300,+255,-320,+250,-300
11,20151027,m,full,2,-,-,+425,-550,+574,-707,+500,-700,+525,-725,+535,-700,+425,-650,+540,-690,+525,-750,+500,-700,+525,-725,+535,-700
12,20151027,m,first,0,-,-,+125,-145,+138,-153,+140,-160,-,-,+138,-158,-,-,+135,-155,-,-,+135,-155,-,-,+138,-158
13,20151027,m,first,1,-,-,+170,-200,+191,-214,+180,-220,-,-,+190,-220,-,-,+190,-220,-,-,+175,-205,-,-,+190,-220
14,20151027,m,first,2,-,-,+265,-325,+346,-402,+315,-380,-,-,+325,-385,-,-,+325,-405,-,-,+300,-400,-,-,+325,-385
15,20151027,m,sec,0,-,-,+105,-125,-,-,+105,-125,-,-,-,-,-,-,+100,-120,-,-,-,-,-,-,-,-
16,20151027,m,sec,1,-,-,+325,-400,-,-,+315,-380,-,-,+275,-330,-,-,+295,-365,-,-,-,-,-,-,+275,-330
17,20151027,m,sec,2,-,-,+170,-200,-,-,+170,-200,-,-,+165,-190,-,-,+160,-185,-,-,-,-,-,-,+165,-190
18,20151027,t,full,0,-,-,200-110,200-110,198½-108,198½-102,198½-110,198½-110,198½-110,198½-110,198½-110,198½-110,198-110,198-110,199-105,199-105,198½-110,198½-110,198½-110,198½-110,198½-110,198½-110,198½-110,198½-110
19,20151027,t,full,1,-,-,197½-110,197½-110,196½-105,196½-105,196½-103,196½-107,196½-110,196½-110,196½-112,196½-108,197-105,197-115,196-105,196-105,196½-110,196½-110,196½-110,196½-110,196½-110,196½-110,196½-112,196½-108
20,20151027,t,full,2,-,-,212-110,212-110,215-102,215-108,215-110,215-110,215-110,215-110,215½-110,215½-110,215-105,215-115,215-105,215-105,215-110,215-110,215½-110,215½-110,215-110,215-110,215½-110,215½-110
