Index,date,time,game_num,away,home
0,20061031,08:00 PM,0,Chicago,Miami
1,20061031,10:30 PM,1,Phoenix,L.A. Lakers
2,20061101,07:00 PM,0,Indiana,Charlotte
3,20061101,07:00 PM,1,Chicago,Orlando
4,20061101,07:00 PM,2,Atlanta,Philadelphia
5,20061101,07:30 PM,3,New Orleans,Boston
6,20061101,07:30 PM,4,Toronto,Brooklyn
7,20061101,08:00 PM,5,Milwaukee,Detroit
8,20061101,08:00 PM,6,Sacramento,Minnesota
9,20061101,08:00 PM,7,New York,Memphis
10,20061101,08:00 PM,8,Washington,Cleveland
11,20061101,09:00 PM,9,Houston,Utah
12,20061101,10:30 PM,10,L.A. Lakers,Golden State
13,20061101,10:30 PM,11,L.A. Clippers,Phoenix
14,20061102,08:00 PM,0,San Antonio,Dallas
15,20061102,10:30 PM,1,Denver,L.A. Clippers
16,20061103,07:00 PM,0,New Orleans,Indiana
17,20061103,07:00 PM,1,Milwaukee,Toronto
18,20061103,07:00 PM,2,Philadelphia,Orlando
19,20061103,07:30 PM,3,Detroit,Boston
20,20061103,07:30 PM,4,Brooklyn,Miami
21,20061103,07:30 PM,5,New York,Atlanta
22,20061103,08:00 PM,6,Cleveland,San Antonio
23,20061103,08:00 PM,7,Charlotte,Memphis
24,20061103,08:30 PM,8,Sacramento,Chicago
25,20061103,09:00 PM,9,Utah,Phoenix
26,20061103,09:00 PM,10,Minnesota,Denver
27,20061103,10:30 PM,11,Portland,Golden State
28,20061104,07:00 PM,0,Boston,Washington
29,20061104,07:00 PM,1,Cleveland,Charlotte
30,20061104,07:30 PM,2,Memphis,Detroit
31,20061104,07:30 PM,3,Indiana,New York
32,20061104,08:30 PM,4,Sacramento,Milwaukee
33,20061104,08:30 PM,5,Dallas,Houston
34,20061104,09:00 PM,6,Golden State,Utah
35,20061104,10:00 PM,7,Minnesota,Portland
36,20061104,10:30 PM,8,Phoenix,L.A. Clippers
37,20061105,01:00 PM,0,San Antonio,Toronto
38,20061105,02:00 PM,1,Orlando,Atlanta
39,20061105,02:00 PM,2,Miami,Philadelphia
40,20061105,07:00 PM,3,Houston,New Orleans
41,20061106,07:00 PM,0,Washington,Orlando
42,20061106,07:30 PM,1,San Antonio,New York
43,20061106,08:30 PM,2,Milwaukee,Chicago
44,20061106,08:30 PM,3,Golden State,Dallas
45,20061106,09:00 PM,4,Detroit,Utah
46,20061106,10:00 PM,5,Minnesota,Sacramento
47,20061106,10:30 PM,6,Portland,L.A. Clippers
48,20061107,07:00 PM,0,Atlanta,Cleveland
49,20061107,07:00 PM,1,Philadelphia,Indiana
50,20061107,08:00 PM,2,Houston,Memphis
51,20061107,08:00 PM,3,Golden State,New Orleans
52,20061107,10:30 PM,4,Minnesota,L.A. Lakers
53,20061108,07:00 PM,0,Indiana,Washington
54,20061108,07:00 PM,1,Philadelphia,Toronto
55,20061108,07:30 PM,2,Charlotte,Boston
56,20061108,07:30 PM,3,Utah,Brooklyn
57,20061108,08:00 PM,4,Houston,Milwaukee
58,20061108,08:00 PM,5,Phoenix,San Antonio
59,20061108,09:00 PM,6,New York,Denver
60,20061108,10:00 PM,7,L.A. Lakers,Portland
61,20061108,10:30 PM,8,Dallas,L.A. Clippers
62,20061108,10:30 PM,9,Detroit,Sacramento
63,20061109,08:00 PM,0,Chicago,Cleveland
64,20061109,10:30 PM,1,Dallas,Phoenix
65,20061109,10:30 PM,2,New Orleans,Golden State
66,20061110,07:00 PM,0,Orlando,Indiana
67,20061110,07:00 PM,1,Atlanta,Toronto
68,20061110,07:00 PM,2,Milwaukee,Washington
69,20061110,07:00 PM,3,Denver,Philadelphia
70,20061110,07:30 PM,4,Utah,Boston
71,20061110,08:00 PM,5,Miami,Brooklyn
72,20061110,08:30 PM,6,New York,Houston
73,20061110,10:00 PM,7,New Orleans,Portland
74,20061110,10:30 PM,8,Detroit,L.A. Lakers
75,20061111,07:30 PM,0,Boston,Cleveland
76,20061111,08:00 PM,1,New York,San Antonio
77,20061111,08:00 PM,2,Orlando,Minnesota
78,20061111,08:30 PM,3,Utah,Milwaukee
79,20061111,08:30 PM,4,Indiana,Chicago
80,20061111,09:00 PM,5,Memphis,Phoenix
81,20061111,10:30 PM,6,Detroit,Golden State
82,20061112,03:30 PM,0,New Orleans,L.A. Clippers
83,20061112,06:00 PM,1,Brooklyn,Washington
84,20061112,06:00 PM,2,Denver,Charlotte
85,20061112,08:00 PM,3,Houston,Miami
86,20061112,09:00 PM,4,Toronto,Sacramento
87,20061112,09:00 PM,5,Dallas,Portland
88,20061112,09:30 PM,6,Memphis,L.A. Lakers
89,20061113,07:30 PM,0,Orlando,Boston
90,20061113,07:30 PM,1,Cleveland,New York
91,20061114,07:00 PM,0,Milwaukee,Atlanta
92,20061114,07:30 PM,1,Denver,Miami
93,20061114,08:00 PM,2,Charlotte,New Orleans
94,20061114,08:00 PM,3,Portland,Minnesota
95,20061114,08:30 PM,4,Chicago,Dallas
96,20061114,08:30 PM,5,San Antonio,Houston
97,20061114,09:00 PM,6,L.A. Clippers,Utah
98,20061114,10:30 PM,7,Toronto,Golden State
99,20061115,07:00 PM,0,Portland,Cleveland
100,20061115,07:00 PM,1,Denver,Orlando
101,20061115,07:30 PM,2,Washington,New York
102,20061115,07:30 PM,3,Milwaukee,Brooklyn
103,20061115,07:30 PM,4,Indiana,Boston
104,20061115,07:30 PM,5,New Orleans,Detroit
105,20061115,08:00 PM,6,Charlotte,San Antonio
106,20061115,09:00 PM,7,Memphis,Sacramento
107,20061116,08:00 PM,0,Chicago,Houston
108,20061116,10:30 PM,1,Sacramento,Golden State
109,20061117,07:00 PM,0,Brooklyn,Indiana
110,20061117,07:30 PM,1,New York,Miami
111,20061117,07:30 PM,2,Portland,Boston
112,20061117,07:30 PM,3,Minnesota,Cleveland
113,20061117,08:00 PM,4,Washington,Detroit
114,20061117,08:00 PM,5,Dallas,Memphis
115,20061117,08:00 PM,6,Chicago,San Antonio
116,20061117,10:30 PM,7,Philadelphia,Phoenix
117,20061117,10:30 PM,8,Toronto,L.A. Lakers
118,20061118,07:00 PM,0,Cleveland,Washington
119,20061118,07:00 PM,1,Charlotte,Orlando
120,20061118,07:00 PM,2,Miami,Atlanta
121,20061118,07:30 PM,3,Portland,Brooklyn
122,20061118,07:30 PM,4,Houston,Detroit
123,20061118,07:30 PM,5,Boston,New York
124,20061118,08:00 PM,6,New Orleans,Minnesota
125,20061118,08:30 PM,7,Indiana,Milwaukee
126,20061118,08:30 PM,8,Memphis,Dallas
127,20061118,09:00 PM,9,Toronto,Denver
128,20061118,09:00 PM,10,Phoenix,Utah
129,20061118,10:30 PM,11,Philadelphia,L.A. Clippers
130,20061119,08:00 PM,0,Chicago,L.A. Lakers
131,20061119,09:00 PM,1,San Antonio,Sacramento
132,20061120,07:00 PM,0,Dallas,Charlotte
133,20061120,07:30 PM,1,Houston,New York
134,20061120,08:00 PM,2,Orlando,Memphis
135,20061120,09:00 PM,3,Toronto,Utah
136,20061120,10:00 PM,4,San Antonio,Portland
137,20061120,10:30 PM,5,Phoenix,Golden State
138,20061121,07:00 PM,0,Detroit,Philadelphia
